username,comment,time,likes,reply_count
@heidiburgos4362,you can NOT go without context on biscuits and gravy and we also eat them with jelly  I feel like a weirdo now,2일 전,0,
@LukeWlon-j3c,Bro the thumbnail food is the most American thing I have seen,2일 전,0,
@Pearlprincessgames,as l am Britain/British l find this funny.,2일 전,0,
@AmeliaDancesandplaysgames-w3y,2:59 guy on left! I think he has a reading champion badge! Or is that a thing only in my British school? 5:05 real 5:19 yes 5:30 lmao real 6:05 true 6:12 yes 6:32 whaaaaa 6:57 yea 7:37 yea man sure,4일 전,0,
@Lxmbii,"Wait most Americans don't use kettles? I'm American, I also use kettle!!",4일 전,0,
@shawnross1860,These kids are amazing,4일 전,0,
@human-v3h,if you want an actual American biscuit you ask for a “cracker”,7일 전,0,
@PINTO_BOO,Bro did the valley girl accent 😂,7일 전,0,
@Purevanilla-nini,8:07 I’m with my bloody math homework 😂,8일 전,0,
@the_fine_wine77,My british friend sent me this 😭,8일 전,1,
@IAmThanSolo,"3:20 Brits are terrible at American accents, but this kid nailed it.",9일 전,0,
@nannaof06,The hilarious thing is when these kids actually tried biscuits and gravy they loved it 🤣 😂😂😂,9일 전,0,
@pgpgiftery,they did an American accent so good!,11일 전,0,
@CzechMirco,Watching Americans and Brits dissing each others' cuisine is like watching two blind armless people fencing.,11일 전,0,
@Author7567Tano,"gasp  I love biscuits and gravy!!! It looks disgusting, but it tastes so good- especially when it's white gravy with sausage chunks🤤",11일 전,0,
@Author7567Tano,"It's not 'worst-er' it's 'war-shter-shire"".",11일 전,0,
@cloudgaming3043,Lmfao that isnt a british breakfast,11일 전,0,
@patrices8895,The shock of Americans not owning tea kettles 😂,12일 전,0,
@pickleccp,3:10 that was perfect dude i wouldn’t even be able to tell he was british,13일 전,0,
@DeweyTwo-ey,Biscuits and gravy is my favorite breakfast with bacon on the side. Anything with gravy is good. Gravy is a food and a drink around here.,13일 전,0,
@theycallmeabby03,I SWEAR BRO BISCUITS AND GRAVY ISNT THE ONLY WAY WE EAT BISCUITS AUGHHHHHHHHHHHHH,2주 전,0,
@jiribb9300,2:51 this kid is so dryly hilarious 😂,2주 전,0,
@marybarrett6451,Biscuits and gravy. Biscuits with jam or jelly and butter.,2주 전,0,
@cmcmahon8551,"Ha, we Americans gave up and just call it ""Washyoursistersauce""!",2주 전,1,
@scottingalls8460,"4:07. If you live in the south, gravy. We eat them in the northeast with jams, jellies, and butter.   But they are called biscuits. Scones are harder on the outside like a cookie.",2주 전,0,
@scottingalls8460,1:18 no brown sauce?,2주 전,0,
@eshnajizzle,Wuustershr,2주 전,0,
@jesussierra5044,7:54 He is my favorite!!!!!,2주 전,0,
@Dapper_Dude13,4:03 …. We way need to take over again…..,2주 전,0,
@ruggedlemmings9163,"4:03 I love how you can see him die on the inside when he hears about Biscuits and Gravy. To be fair: we do also eat biscuits with jam, butter, honey, or some combination there-of. They also make for great breakfast sandwiches. Cut one in half, slap on an egg, some bacon, and some cheese and you're good to go. :D",2주 전,1,
@joesikkspac7904,The British can't speak their language properly.  Southerners put gravy on their biscuits because they like gross food too.,2주 전,0,
@garycamara9955,"British food is crap,  itsthe worst in the world.",2주 전,0,
@LilyArney-q9z,"at a english person , i personally hate it when americans stereotype us , it’s just so rude and everything is different all over the uk ..",2주 전,0,
@JBV-2925,the american accents took me out.. and im an american,2주 전,0,
@HiddenRealm,"Hey now, we still do cut biscuits in half and have them with butter or jelly/jam.  But yes, biscuits and gravy is a breakfast option people like to have.  As for the picture he's showing you... I have no idea why the gravy looks like that... I think they mixed it with ground up sausage or something...?",2주 전(수정됨),0,
@midnightchannel111,"(I can't take British chocolate, it should be called hard milk with a tiny, TEENSY bit of actual chocolate mixed in. No. Not for me...)",2주 전,0,
@ABC123Scotty,I love the ones with the boys from school. They’re my favorite.,2주 전,0,
@ABC123Scotty,I actually brew my tea in the coffee pot and we also have teapots that are not kettles.,2주 전,0,
@ABC123Scotty,"Oh yeah, British chocolate is hands-down the best! I’m from America and American chocolate burns as it goes down your throat. It sucks.",2주 전,0,
@ABC123Scotty,Look I love these videos. We have a lot more in common than we don’t. I love our cousins across the pond.,2주 전,0,
@ABC123Scotty,American “biscuit” (or “scones” in England) we also eat them with butter and jam.   The other option is to eat that with turkey (or some sort of meat) meal with butter and gravy.,2주 전,0,
@ameliagrabiel5198,3:37 yee haw,3주 전,0,
@RougeCranberry-i6c,i live in worcestor and we still say worcestershire,3주 전,0,
@zenmkultra,Why are you showing Africans? I thought they were supposed to be British,3주 전,0,
@zenmkultra,Africans can't be british,3주 전,0,
@R3DB011,WAIT YUKIKO’S SO PRETTY WHAT??,3주 전,0,
@kaleiahhope,3:12 his accent was so convincing,3주 전,0,
@limeOjello,I’m an American and tea kettles are stupid,3주 전(수정됨),0,
@Bangalangs,I have a kettle on the stove.,3주 전,0,
@milksoccer-9410,I though these were Hogwarts students when clicking on this video… I’m disappointed :(,3주 전,0,
@cathyharris8050,No kettle.  Just put your tea bag in the cup and nuke ity for 1 min 30 secs.  Perfect.,3주 전,0,
@BarcaEditz1632,Yo the black kids American accent was actually spot on,3주 전,0,
@SteezNutz8,I hate the attitude. You’re eating culture is hot garbage. Do better. We owe you nothing including an apology. Get out,3주 전,0,
@purelightapologetics4930,I’m American and I put jam on my biscuits. I don’t do biscuits and gravy. Some people definitely put jam on their biscuits here.,3주 전,0,
@marieneill8278,As someone with British parents the reactions are 1 000 000 000 000% accurate 😂,3주 전,0,
@Thatguyzeke316,I have a question for Ezekiel  Question: does your name get spelled with a letter A instead of a E because it always happens to me because I have that name,3주 전(수정됨),0,
@RakelDaNell,"4:01 No... more often, we have them with jelly or jam... or use it as a the bread for a breakfast sammy.",3주 전,0,
@LouiseRicks-g2o,British guy: Gravy?              American: Fish and whatnow?,3주 전,0,
@davidconnell1959,My friend’s cousin got a ticket for parking at the beach in Australia.  He went to court and showed the judge a photo of the sign where he had parked. It said FINE FOR PARKING  The judge dismissed the case and ordered the signs to be changed.  Yeaman Shore,3주 전,0,
@user-my2mm9or4e,Long live the Brits ps: im not a brit but I've tried Mars bars and kettle tea,3주 전,0,
@DaniyalQazi-q9t,did bro say scon?,3주 전,0,
@kovy6447,"british cars are either: fuckass sportcars, shitboxes, or rebadged opels.",3주 전,0,
@SamanthaPerez-s3r,I lived in England for 2 years and I HATED how the older words had a bajillion random silent words. lol I realized I didn't speak English. I spoke American lol,3주 전,0,
