username,comment,time,likes,reply_count
@vind1293,For god's sake man. Review the x9 haha,5분 전,0,
@GFourGadget,It's basically an OPPO with a different brand now. RIP real OnePlus 💀,11분 전,1,
@JamesOzo-t3w,Ultra version is oppo x9 pro with a very good camera system. As of now of course. Until oppo x9 ultra will come out,12분 전(수정됨),0,
@AbhishekKushlaSharma,"I always like oneplus though from the past couple of years, I feel it's not up to the mark! Hence I am going to switch to something else. While AI works fine on camera normal one hangs a lot! I am using 13 ....",14분 전,0,
@msc_1974,"This channell is so... Product company contacts Marques and throws $$$$$$$ at his wallet = ""This product is SO good 🤑🤑🤑💰💰💰""",16분 전,0,
@ppraish,I wouldn't trust Chinese brand blindly.  Test and verify.,31분 전,0,
@TonyCaptures,Best Intro ever,40분 전,0,
@nyekorare,1. New phone launches 2. Reviewers like it 3. There's no sd card slot 4. I leave,1시간 전,1,
@satishkumarlama2789,Green lines are the main problems in oneplus after the updates,1시간 전,0,
@TapsDev,"Why do you call it ""1+ 15"" the answer is obviously 16",1시간 전,0,
@gurenlagan1307,4:32 Competition will do that to you.,2시간 전,0,
@gurenlagan1307,3:22 now lets put a ugly phone case over it.,2시간 전,0,
@gurenlagan1307,The moment we start accepting what we this is the best of the best is the day we stop getting nice things.,2시간 전,0,
@jjjilani9634,What about vertical green lines?,2시간 전,0,
@brad_the_impaler,"Wait is that a joke? They skipped 14 because it's unlucky, but not 13?",3시간 전,0,
@elfeda00,bro your turkish language translater is trash. if you use cheapest one that can be explain the quality but if you pay normally for this shit. you should change your turkish language voice pls.,4시간 전(수정됨),0,
@probablyhiding,"going from a 7pro mclaren edition, to a 12, to the 15. best phones in production without a doubt",4시간 전,0,
@martyryan1000,No alert slider is a deal breaker for me and the reason I've been using OnePlus phones over others,4시간 전,0,
@Eire369,I'm still using my OnePlus 11 5G and it's still a great phone,4시간 전,0,
@zealman79,"The camera has been downgraded, i'm out.",4시간 전,0,
@meanarkan106,"I'd 100% buy it if the cameras were good. I had a one+ 3 a decade ago, best phone i've ever had by far.",5시간 전,0,
@Akumafeed,"Since the 1+ 9pro, theirs is the only phone I buy.",5시간 전,0,
@DaleBEATBOX,4 is unlucky.. since when 😂,6시간 전,0,
@DaedricJohnson,this is getting rediculous xD,6시간 전,0,
@favoronemu1,"I just love the way you talk about gadgets, it feels so natural.",7시간 전,0,
@shaankhilnani496,HUGE BATTERY,7시간 전,0,
@soulchill9012,"Amazing review as always, Marques. I just wish someone would also review OnePlus customer service — my experience with the OnePlus 13 was a nightmare. Their official case damaged my phone, support pushed me around for nearly 3 months, and I had to take them to court just to get a refund. Would love if customer service quality became part of phone reviews.",7시간 전,0,
@LemsaD,Now Oneplus 15 vs redmagic 11 pro,8시간 전,0,
@Eons_Away_Now,This guy got personal hatred towards apple since then I stopped watching his content.,8시간 전,0,
@jshorts101,OnePlus 13 here.  Love this damn thing.  16g. 512gb  most favorite yet,8시간 전,0,
@tipsy1461,2035?,9시간 전,0,
@OMEGA皇SUPREME,Redmagic phones arent getting enough credit guys!!!,9시간 전,0,
@rp5177,Can you check Oppo X9 PRO ?,9시간 전,0,
@emranakmad6524,"Love it ""call an ambulance but not for me"" 💀💀💀💀💀 3:55",10시간 전(수정됨),0,
@sulavaca,"I'm still running the 1+ 12 and it's amazing. Better pics than my wife's iPhone 13, so we generally use mine on holiday. The battery charges faster than anything and from empty it's full in around 20mins. It's fast, seems to have zero glitches, the battery lasts all day and it's about half the price of a flagship. Oh, and it doesn't have a silly glass back. I haven't been able to fault it after two years.",10시간 전,0,
@YetiLyfChill,"Oh man, I've been hanging for the next OnePlus release, that's so devastating about the camera. I really really don't wanna get an apple just for the good quality camera. Can anyone recommend an android with a great camera and runs fast and smooth? I haven't kept up to date with phones recently, but I'm so due for an update. Why do you do this to us OnePlus? 😢",10시간 전,0,
@Teenewealth,Please marques I need help I can purchase a used s25 ultra of fb marketplace for 900 or a used OnePlus 13 for 950 both perfect conditionWHAT DO I BUYYY?????,10시간 전(수정됨),0,
@stillalongwayfromhome,"Android Authority found OnePlus 15 overheated during benchmark. ""Things quickly fell apart when it came to stress testing the OnePlus 15 in the usual array of 3DMark tests. The phone survived about two-thirds of the test before shutting down the benchmark due to heat. In fact, the phone wouldn’t let us run any apps other than calls or messages until it cooled down. We recorded a scorching 52.7°C (127°F) surface temperature — the internals will be even hotter.""",10시간 전,0,
@robins8969,Glad they skipped the IP67 hype,10시간 전,0,
@knubzyy,"If this comment gets 16 likes, I'm gayer.",11시간 전,0,
@MatthewOuk-c5y,Apple taking notes right now,11시간 전,0,
@TheStandler,0:00 - fun fact to correct the captions: the phrase is actually 'bury the lede' not 'lead.' I don't even know why - it has something to do with newspapers.,11시간 전,0,
