username,comment,time,likes,reply_count
@andrewthorpe6680,We still watching in 2025 December 🎉🎉🎉 Lighting Bolt,11시간 전,0,
@timyu7498,what's back there?????,1일 전,0,
@grantstevensbreak,Asafa Powell basically limped half of the race and STILL ran like 3 seconds faster than my PB,2일 전,0,
@냥냥-v5p,"I've been watching this alone for 25 years. It's the strongest in the human world. It's a record that won't be broken in 100 years at the earliest, or in 1000 years at the latest.",2일 전,0,
@tm0330_,Lmao 9 racers but only 4 counties. 😂 basically just yellow vs red 😂😂😂😂😂,2일 전,0,
@jaydabliu,This was such a legendary era 🔥🔥,3일 전,0,
@oober5150,And he wasn't even gasing at 100,4일 전,0,
@bigbadmi213,He runs like he's still hilding back 🇯🇲,4일 전,1,
@best_inbreed85,"This is history💯 look at the lineup, 1 of the greatest sprinting  lineup on the track that have ever seen in olympics history",4일 전,1,
@godblessyouth9897,The most stocked 100m in history,5일 전,1,
@pantelisliakos2481,"The only reason and i mean the ONLY ONE that 2024 race and others can be compared to this(and still lose), is Asafa getting injured... The guy had the best launch alongside Gatlin and we KNOW he would get a medal..",5일 전,0,
@drstormbringer,Not only he broke the record that final also took other athletes to an undeniable upper level,5일 전,0,
@decarthes,It's so funny that Asafa Powell still ran faster that I probably ever could've even with some proper training,5일 전(수정됨),0,
@sosom_12,here after2025 tokyo championships,6일 전,0,
@Bluexepphoss,The 5 fastest men in history in one race,6일 전,1,
@chaqshimi1329,usain n yoham whoopp whoopp...,6일 전,0,
@adamtaylor1739,"Blake has got to be underrated, any other era and he would have been at the top - this time would have won the 2024 Olympic gold. But against Bolt there's no chance.",7일 전,0,
@jakerauban155,Crazy how Asafa still ran 11.99 after limping. Faster than most people will ever run.,8일 전,1,
@prasunKumarLahari-h8s,What a magnificent speed by U Bolt from Jamaica❤❤❤🎉🎉🎉😊😊😊!!!,8일 전,0,
@prasunKumarLahari-h8s,What a terrific speed by H .Bolt from Jamaica❤🎉😊.,8일 전,0,
@olumideoloyi6880,Their only offense was being in the same generation as bolt 😂,8일 전,0,
@chocolate_truffles,There are as many as seven people in 0.35 seconds. Sometimes I feel that the moment is equivalent to four years. Highlights of the Olympics. It's just that!,9일 전,0,
@joellawson9417,Here in 2025,9일 전,0,
@YouunesBen,Anyone watching this in Sept 2025?,9일 전,0,
@StevenGraves-w2p,Hard to beat that London Olympics. Was spectacular.,9일 전,1,
@Jamie-e6r8p,2025,9일 전,1,
@이준석-s5c,Jamaica 3 USA 3 is insane,9일 전,1,
@officialeugenia,What happened to asafa Powell?he just stopped running,9일 전,0,
@Tagadaaaaaaa,Qui a remarqué à 6min57 Yohan ce fait littéralement pousser par un journaliste,9일 전,0,
@whiizkey7661,Who is watching in sep 2025. The line up still haunts me.,10일 전,4,
@oli9532,"This most nervous Usain has ever looked 😂 he only worried about one person, Yohan Blake 😅",10일 전,1,
@Italian1-x7t,This is such a privilege to be able to see this still. One of the greatest sporting moments of all time!!,11일 전,0,
@cherylqprtweedy,Imagine being Gaye and Blake. Any other era millionaire legends.,11일 전,1,
@mateuszczujko3777,It will never be such a champion and showman in any of sports,11일 전,0,
@omarabdullahibotan8504,Greatest race of all time,11일 전,1,
@AyushBenvanshi-e6r,Look at the crowd cheering after Usain bolt won the race❤❤🔥🔥👏👏👏,12일 전,2,
@marvellousmutilwa1524,So it was a final race between Jamaica and USA and Jamaica won😂,12일 전,0,
@ritwikjs,"context is everything here. Blake ran a 9.75. in all but TWO olympic 100 mts final in history, that would have been a winning time. The only other? bolt 4 years prior in beijing. Bolt is something else altogether",13일 전,0,
@isakhammer6558,Bottle flying at 05:05!,13일 전(수정됨),1,
@josephpaul2347,Top 5 most insane athletes of all times.. Ronaldo  Messi Usain bolt Mike Tyson  FAITH KIPYEGON,2주 전,0,
@Mr-je2jr,He got injured,6일 전,0,
@Tagadaaaaaaa,Moi !,9일 전,0,
@ShedrackAbodunrin-yv1pk,Genius,2주 전,1,
@lincorp9104,world afrian 100m race,2주 전,0,
@RAJ-ty4sd,"2025 and I’m still reliving this moment. Came here after world championships. Another 1,2 oblique and kishane.",2주 전,2,
@mariolawolny7491,2025,2주 전,1,
@SleepyFjord-jg6ik,Bangladesh ❤❤❤,2주 전,1,
@tumztrance,"2025 we heree,GOAT 100m race",2주 전,1,
@cyrilsquirrel7573,I'm faster squirrel on planet do you follow me people of world ❤,2주 전,2,
@mohdhafiz6747,Did everyone notice that someone throwing bottle to track before start?,2주 전,2,
@BellaBellaElla,"1:07 I get it girl, me too",2주 전,0,
@JenniferFraser-p6l7m,"Story of powell life,this was the race of all races,the greatest 100m field ever assembled,the race of his life,the settlement  of all argument and he pulls up",3주 전,4,
@BlacksonMinds,Then he kept running even after he won....wow😅,3주 전,1,
@theretrogk,Imagine if he bothered for the first 4 seconds!,3주 전,1,
@InnerCityGirl1,"2025, anyone?",3주 전,0,
@Timbre_Titan,2025!,3주 전,0,
@raphaelmartel8350,Watched it live..still great in 2025.,3주 전,1,
@Anubhavsingh023,Kon kon 2025 me dakh raha hai,3주 전,0,
@michshae,His last name is BOLT ⚡️ He was born to,3주 전,3,
@uglyrankings,Fastest 100m ever❤,4주 전,0,
@johnho1321,Anyone watching 2025???,4주 전,1,
@Go-shawkkkk,lol that’s it ?,4주 전,0,
@leeski3146,Great champion. Beat all of the greats in his era. You can't do any better that that.,4주 전,0,
@woody230bal,Watching in 2025 !,4주 전,0,
@shotz10001,Still here,1개월 전,0,
@sojiroseta98,This has got to be the greatest lineup of sprinters all time sheeesh if it wasnt for Bolt being a mutant any one of these men could have won gold except maybe for the netherlands guy 😅,1개월 전,0,
@jesiaparvinnisa848,Anyone watching from 2025 ?,1개월 전,0,
@beastmarston-wf6cy,What if ishowspeed there🏃‍♂️🏃‍♂️💨💨🤣🤣,1개월 전,1,
@Lee-ye3ev,9.63 seconds? Wow. I can't do anything in that time. It took me 10 seconds to watch him do it,1개월 전,0,
@Moses_Okal,BOLT THE GOAT,1개월 전,0,
@eduardithpolinar,Bolt ⚡ vs gatlin,1개월 전,0,
@cyrile.6754,Everyone in this lineup was a 100m champ. Coldest lineup of all time!,1개월 전,1,
@sraven25,"""'Cause I seen them all talk until they start g*nnin', quicker than Usain Bolt the fastest thing runnin'"" -Akon",1개월 전,1,
@FabienCORNELIE,"Very, very great ! 💪🏾👏🏽👏🏽👏🏽💪🏾",1개월 전,1,
@abdulwadudthiago8531,no one is touching bolt ❤,1개월 전,0,
@LompohAti-u2f,sukurmse,1개월 전,0,
@LompohAti-u2f,nbanikeusa,1개월 전,0,
@LompohAti-u2f,winakatering*,1개월 전,0,
@LompohAti-u2f,inggriscec,1개월 전,0,
@RounelJaranilla-o5w,💙💚🧡💛❤️🌄🌅🌈........,1개월 전,1,
@kalibapi13,"Every time I prepare for a run, I always watch this for additional motivation",1개월 전,1,
@kawaters,Is it just me... what a handsome bunch!,1개월 전,0,
@hamidreza_Kia,Me me 😂,1개월 전,0,
@SankofaNYC,All of them were flying!!! Wow what a race!,1개월 전,0,
@MAINACOLLECTIONS,The 2008-2016 years was the best era for both football and track field.,1개월 전,1,
@andrewenglish2901,He's quite sharp..,1개월 전,0,
@mutant5047,Yohan blake is faster than bolt. He has just have a smaller legs than bolt.,1개월 전,0,
@MichelleMercado-o4e9p,Yssufffff allright,1개월 전,0,
@ArifSk-e5b,What a performance this is that comes from usain Boult,1개월 전,0,
@bc9629,Yeah 9.80 gets you only a 4th place! Insane.,1개월 전,0,
@bahamasgangsta,Imagine Noah Lyles in this race 😂😂😂,1개월 전,0,
@abusadek7571,"I saw it live, clearly remembering how eager i was to see the final live in front of television back in the days. Now i am watching the full event again in 2025. Life is really beautiful because of these heavenly moments",1개월 전,0,
@beenfullofit,"A comment on this video mentioned 4 years ago that infact were watching this race decade later, says how impactful he was, well 4 years later in 2025,same thought",1개월 전,0,
@jogheenavaneeth4485,Looks like all are from Africa,1개월 전,0,
@PunhalKc,2025 and still counting..,1개월 전,0,
@JLNC_Muzik,"Watching this is 2025 tells you how fast and dominant this guy really was, I don't think there will be any breaking of his record any time soon.",1개월 전,0,
@tavis2205,"I really don't care that everyone in this race was absolutely loaded with drugs, this was the greatest era of the sport without any doubt.",1개월 전,1,
@Conrad-k8n8z,Asafa Powell would have been in third place if not for the injury,1개월 전,0,
@Rakeshkrydv,Who is watching this race with me in 2025?,1개월 전,5,
@Chineduanaz,Still here to watch this 13 years later,1개월 전,3,
@Ebony-mr4zn,Asafa Powell face,1개월 전,0,
@ruslanrautiola7791,Usain Bolt was amazing. He had incredible aura,1개월 전,3,
@oshankaveel6815,Who is waching in 2025 ❤,1개월 전,2,
@kidfromse6,always crumbles under pressure,1개월 전,0,
