username,comment,time,likes,reply_count
@MrBeast,Subscribe and you could be in a future video!,2년 전,16만,
@donalattanadet5280,ຢາກໄດ້ເລືອໃຫຍ່😂,35분 전,0,
@Edison-Mendez,1 Billion dollars 😂😅,1시간 전,0,
@gray_vive_feliz,Team hershes,1시간 전,0,
@CarinaTambun,Aku menyukainya😊,3시간 전,0,
@yashvardhanyadav9758,Alloo khoage,4시간 전,0,
@yashvardhanyadav9758,Alloo khoage,4시간 전,0,
@yashvardhanyadav9758,Alloo khoage,4시간 전,0,
@yashvardhanyadav9758,Aloo khoage,4시간 전,0,
@yashvardhanyadav9758,Aloo khoage,4시간 전,0,
@yashvardhanyadav9758,Aloo khoage,4시간 전,0,
@yashvardhanyadav9758,Aloo khoage,4시간 전,0,
@QuangMinh-s3d3p,I am your fan,4시간 전,0,
@99louisaromana51,😊😊😊,5시간 전,0,
@99louisaromana51,Je t'adore❤❤,5시간 전,0,
@AkmalDaud-q7g,300🛳🛳❤❤🎉🎉😊😊😊500,5시간 전,0,
@fleglov-4743,❤❤❤❤❤❤❤❤,6시간 전,0,
@nitayawanthongsang,ที่ทำอะไ ❤,7시간 전,0,
@ЛоринаБегалиева,7:52  .,8시간 전,0,
@EvanHardiyanto-m3y,🥳🤩😎🤑😲🤭🫨,9시간 전,0,
@kennethmonteros3685,hello,2년 전,1.7천,
@samallen406,cool,2년 전,1.1천,
@bebabaloubop,Why did you comment so late?,2년 전,833,
@maximusk_vlogz,done!,2년 전,595,
@impredator4697,yay,2년 전,475,
@MiraBektaslar,Ok,2년 전,429,
@hinomoriw,Eighth,2년 전,350,
@j0n.n,yes,2년 전,313,
@soy_RYUyy,Cookie de Mister vi,2년 전,267,
@covilam-rx7oz,Ok,2년 전,221,
@Kolus.Mapping,Early,2년 전,184,
@iasuosemcu8122,10th,2년 전,154,
@WanderingHermitCrab,a,2년 전,140,
@Ultimatesports3121,I’ve been subscribed since 2018,2년 전,154,
@GreaterCincinnatiFireBuff,Deez nuts,2년 전,126,
@PringleRing,ok,2년 전,111,
@aspect_winstreak,Did,2년 전,112,
@drewwatchesyt,yessir 🫡,2년 전,96,
@Small_Heaven,Yes,2년 전,92,
@leonardomagalhaes6565,Ok,2년 전,92,
@arkinferno7497,"ill be sure to keep that in mind, but in the mean time. Keep doing what you are doing Jimmy you're doing great!",2년 전(수정됨),78,
@FriendlyDE_Enthusiast,W,2년 전,67,
@Евгений-е7б3х,no,2년 전,59,
@dawidhyeshua7138,ill try man,2년 전,59,
@sugisa9270,Yo,2년 전,51,
@cyberwolf9543,WHAT IF ICANNOT BUY UR HONEY CHOCALATES !!!,2년 전,54,
@БорисНиколаев-ш7ы,8,2년 전,53,
@JBIRD.33,29th lol,2년 전,39,
@EricSafta,Come on in Romania please:(),2년 전,37,
@markway5158,Ok,2년 전,37,
@GoatedGojoYT,Daddy Beast 🥵,2년 전,42,
@alexisvargas578,OK,2년 전,31,
@matthewbrook25,Lala,2년 전,33,
@Lfc_Nath1,Ok,2년 전,36,
@jelly_donut69,ME,2년 전,34,
@Dhruv45124,Damn,2년 전,37,
@shaikhabujar5819,Fun,2년 전,32,
@MedicLisa,Explosion,2년 전,34,
@Offical_Notrus,Mister beast,2년 전,29,
@whlied,MR BEAST,2년 전,31,
@Shampoo_TPOT,W,2년 전,28,
@TobytheNugget,I'm 10  :(,2년 전,31,
@immersiagames,No,2년 전,30,
@ShadowGreeks7854,first,2년 전,25,
@randomshortsandvideose808,love you,2년 전,25,
@doubleburger1731,already SUBSCRIBED 😎😎😎,2년 전,22,
@x-man6442,Already subscribed:),2년 전,20,
@MUGKRIS,Mr beast ur amazing 🤩,2년 전,18,
@DrethMan1,Balls,2년 전,15,
@Tanjiro_Love,W,2년 전,15,
@CapitandelaOscuridadMW-gn2kz,Yes,2년 전,17,
@frr1252,First,2년 전,19,
@SexyBengy,me next,2년 전,8,
@JJThreeWheels,Pp kaka,2년 전,14,
@theoandbobo5713,I'm a potato,2년 전,22,
@llma,hello,2년 전,19,
@hmzam8956,مستر بيست ارجو الرد,2년 전,19,
@hitman47487,wsg,2년 전,12,
@ÇingizAğayev-s1c,Ok,2년 전,11,
@احمدحراش,.,2년 전,0,
@SplashYT.,Yoo,2년 전,12,
@FarzeenJaved,Mr beast plz sent me choclate bars,2년 전,16,
@josewillamys213,💚Brasil 🙋‍♂️,2년 전,14,
@loriherbold2575,Ofc my fav YouTuber,2년 전,9,
@Motea_Alessaly,How tall are you mr.beast?,2년 전,11,
@ÇingizAğayev-s1c,Ok,2년 전,9,
@User-20871,ok,2년 전,7,
@SplashYT.,​ @bebabaloubop  fr,2년 전,6,
@funniestmaker9766,Bro come Pakistan all the needy people need you,2년 전,9,
@FauZansopo,Aku dimana?,2년 전,8,
@Ker1mch1k,Man u and ur team r the best,2년 전,10,
@FridgeTheAnimatior,​ @progamerryan2013  r,2년 전,7,
@Keichoula,Yes,2년 전,8,
@shubhajitray8227,First,2년 전,6,
@holayoseremi1788,Always suscribed,2년 전,8,
@Mr_op_1,First comment❤,2년 전,9,
@hmzam8956,مستر بيست ارجو الرد,2년 전,7,
@dovidkahn,Ok,2년 전,9,
@BirvoSomething,"I'm already waiting, dw.",2년 전,7,
@brooklynfinch9613,Hello Mt beast,2년 전,8,
@Mr_op_1,❤,2년 전,6,
@shubhajitray8227,Done,2년 전,5,
@prowalktours1406,MrBest ay love you ❤❤😢,2년 전,5,
@MasonGaddis,Aight bet,2년 전,1,
@楊潤升-f4m,love you Jimmy  from Taiwan,2년 전,5,
@applenoir3595,cool:chillwcat:,2년 전,5,
