username,comment,time,likes,reply_count
@hubermanlab,"Thank you for watching. If you enjoyed this topic and episode, please click the ""like"" button and subscribe to our channel here on YouTube.  Thank you for your interest in science!   -- Andrew",1년 전,1.1천,
@teblar,1:36:20,1일 전,0,
@sahoc9267,12523,6일 전(수정됨),0,
@isaiahkarekezi5225,Huber man is one the best lecturers I have seen. His focus is tremendous to the point he can even blink his eyes at all. Thanks your insight,8일 전,0,
@bradaxelrad,"Pure brilliance, gents. Thank you",2주 전,0,
@abbasabbass8126,"Freud was deeply concerned about the issue of sexual boundaries in therapy, since many patients in psychoanalysis developed what he called transference; projecting desires or feelings onto the analyst.  He believed sexual involvement with patients would undermine therapy and considered it unethical (even by early 20th-century standards).  Historians agree that Freud did not engage sexually with his patients, though some of his followers (like Carl Jung) crossed those boundaries, which caused scandals at the time.   Freud did have close, sometimes emotionally charged relationships with some patients and colleagues, most famously with Sabina Spielrein. She was first Jung’s patient, not Freud’s",3주 전,1,
@cathystreher4130,Really enjoyed it😊,1개월 전,0,
@dr.danielclips,GREAT VIDEO🔥,1개월 전,0,
@ShivShankar-iw9hp,"Right now, there are people all over the world who are just like you. They're either lonely, they're missing somebody, they're depressed, they're hurt, they're scarred from the past, they're having personal issues no one knows about, they have secrets you wouldn't believe. They wish, they dream and they hope. And right now, they are sitting here reading these words, and I'm writing this for you so you don’t feel alone anymore. What really helped me start overcoming the pain and actually move toward my goals was reading Manifest the Unseen by Luna Rivers, it opened my eyes in ways I didn’t expect. Always remember, don’t be depressed about the past, don’t worry about the future, and just focus on today. ❤",1개월 전,0,
@PunithrGowda-s7n,"This comment section probably won’t remember me, but maybe someone scrolling needs this. A few months ago I hit a wall. Nothing made sense. I bought Manifest the Unseen by Luna Rivers after seeing it here on yt. I had no expectations. But chapter by chapter, it broke something open in me. Not motivation — momentum. Wishing that for you too.✨",1개월 전,353,
@prakashsikotariya3498,"Right now, there are people all over the world who are just like you. They're either lonely, they're missing somebody, they're depressed, they're hurt, they're scarred from the past, they're having personal issues no one knows about, they have secrets you wouldn't believe. They wish, they dream and they hope. And right now, they are sitting here reading these words, and I'm writing this for you so you don’t feel alone anymore. What really helped me start overcoming the pain and actually move toward my goals was reading Manifest the Unseen by Luna Rivers, it opened my eyes in ways I didn’t expect. Always remember, don’t be depressed about the past, don’t worry about the future, and just focus on today. ❤",1개월 전,0,
@DD-xr3nu,"Ads are running every 5 min, don't get me wrong I'm all for supporting but every 5 min it's too much",1개월 전,2,
@thycallmehan,Thank you very much for all the knowledge .,1개월 전,0,
@blecalec,great video,1개월 전,0,
@siddhikotian2762,So where's the part where you learn to find the purpose?,1개월 전,0,
@cometbynight,"To be honest it’s sort of the opposite, wisdom comes with time. Nonetheless it’s not a prerequisite",1개월 전,0,
@cometbynight,A bit crooked how obsession is schizophrenic really,1개월 전,0,
@anwarbshar4991,did anyone gather any quotes? 😅,1개월 전,0,
@tosinakande3754,"Thanks Andrew for listing the books you recommend. I have been an economist for decades but I have always been fascinated by biology and the brain (mind). Recently, I bought the Principles of Neural Science and I have been slowly going through it page by page. So thanks for recommending it; I feel validated for reading it.",1개월 전,0,
@kingcong5754,"First time i listen to the podcast while awake haha I feel like i been learning loads in my sleep Been using your language and some thoughts in daily life Hypnosis? It's working, gimme more of it please",1개월 전,0,
@lukebriggs7471,this episode was incredible!,1년 전,138,
@goatpower7714, @lukebriggs7471 ,1년 전,3,
@MarvelousMaterial,"I read all of Mr. Greenes books and I listened to this podcast recently and when Mr. Huberman describes the shirt around 2:46:00 ...I said I need to watch that video one day.  The fact that he saved the shirt that they cut off him and just sewed it up and wore it is incredible, the sign of a humble man.",1년 전,65,
@robertshaw9685,​ @lukebriggs7471 and then we will see if they can 0:14,1년 전,0,
@robertshaw9685,​ @lukebriggs7471 is the only one 🕐 0:14 a few months 0:14 to be sure 😄 he is,1년 전,0,
@robertshaw9685,​ @lukebriggs7471 and the you were,1년 전,12,
@robertshaw9685,​ @MarvelousMaterial is it called when you get,1년 전,6,
@bandstuffing389, @MarvelousMaterial ,1년 전,4,
@DejavuDog,🎉😅 22:10 🎉8😂oo,1년 전,7,
@rowlandh25,Such a a great podcast.,1년 전,4,
@felipelibanotorrejon6880,"Thank you for this amazing conversation, it is truly a life changing 3 hour listening moment of your life, that seems to be a wake up pill from meaningsless moments and thinkings of a materialistic life",1년 전,3,
@ChristineReel,"I loved listening to this episode! One thing I noticed all of these conversations missing when it comes to relationships, is that it’s not finding or choosing. It is the fact that life is a divine mystery. You resonate relationally based off of your core soul frequency. This is your frequency beyond your beliefs, beyond your social programing, beyond your preferences. You touched on it but still not quite there. It’s an alignment. A divine orchestration. Relax into the mystery and you just feel it to the core of your being. A full body YES! You don’t choose this. It is destiny. A soul contract.",1년 전,1,
@dragabistreit,"Thank you dr. Andrew. This was one of the best episodes you've ever done. Robert Greene is a genius. I had to stop several times to think about my life and I got emotional and cried thinking about things he said, and that, through your expression during the podcast, also made you think. Two human beings of light. I'm a big fan of yours and I admire you a lot. Thank you very much for so much.",1년 전,2,
@TwoPartyIllusion,"What an incredibly interesting book! If there is an audio version, I'd really love to listen to it❤",1년 전,0,
@Entheos84,Beautiful interview!,1년 전,1,
@marcusarcher-maile651,😂😂😂 🎉😂😂🎉🎉😢,1년 전,2,
@ellenisaacs6883,Eye Sentient!,1년 전,1,
@michaels.125,"@hubermanlab, thank you for hosting Mr. Greene, and after a tbi in mma and a car accident last year, i've had a wonderful arduous journey exploring rewiring my brain with some nifty yale students and i feel that, in my study of social science and engineering, there are individuals such as myself that survive moreso through the mammalian brain and to be engaged in modern society at times, I know, is a very unique experience, understand that my space in time feels to me, to be that more of a shark in water, than an average person trying to just live his life.   skateboarding, mountain biking, poetry, painting, and various other nuanced practices, and i feel like a strange modern samurai, well, moreso a ronin, but i use the practice of ""art"" to get into the flow state, though i'm not the best at any of it, after multiple brain injuries, i myself, have gone through multiple changes, almost like puberty again, its weird.   i see student doctors from yale n stuff and i've always wanted to be one, like, i used to like sociology but the grander concept of Social Engineer is just a wild concept to me, so much so, i've dedicated almost a decade fighting the darkness of traumas and not becoming a statistic unless its for a positive reason, to figure out exactly what my purpose is and to fulfill it.   The way the two of you spoke of the expansion of our consciousness through that internal dialogue that can generate a flow state, its hard at times, but achieving it through a singular means, to me, was vary narrow minded, so i attempted multiples of activities simultaneously to activate the flow state to try and rewire the neurological damage that has occured in my brain.  That and mushrooms.   It has been working. I also try to teach people how to use their minds properly and it gets me in trouble sometimes.   Time is a lie and i think those who think not of it are the ones that live forever.   Where did time come from? the compass, not the sun dial, though we knew the sun and weather changed yet we did not yet know of ""time."" The compass was used in conjuction with the sun to follow declination toward or away from the sun at sea, in what was called, minutes and hours, and using that knowledge progressed human consciouness to derived and even more precise device that can predict the suns appearance and disappearance, the clock. minutes and hours left the compass and became the clocks named handles.   To percieve time is different than to exist in time.",1년 전,0,
@Yahsaves144,Are you a believer by any chance?,11개월 전,0,
@SallyBunBun,what a lovely warm man you are Robert x,11개월 전,0,
@emrepehlivan914, @MarvelousMaterial ,11개월 전,0,
@michaelgarrow3239,So many people want to stop you on your path. My destiny has been stolen.  FTW,11개월 전,1,
@1401196616091996,😊 A NH y😮😮😮😮,11개월 전,1,
@michaelgarrow3239,There are demons in the world that have stopes me from my life’s work. I have been so close.,11개월 전,1,
@jennymaldonado6196,L ok,11개월 전,1,
@Frenchick,I I I I I I I I  s,11개월 전,1,
@jesseheck8176,"Powerhouse cast....some of the best back and forth commentary insight and ideas.....really helped me push forward and ""dance"" with my anxiety.  Very much appreciated",11개월 전,1,
@benbroderick1422,😮😮d d:4:,10개월 전,0,
@dontocco1341,"Hi Andrew, you need to read the Holy Quran in English translation, all of your questions about everything are answered. The Holy Quran tells you about the Past, Present and Future. Islam is not only a religion, it is a way of life…",10개월 전,0,
@8888-w1l,Thank you for your condescension.,10개월 전,0,
@manuelbradovent_ai,"Excellent and insightful podcast, really enjoyed it.",10개월 전,0,
@spilledit,I'm farting right now,9개월 전,0,
@MindsetBriefChannel,"Two incredible minds coming together for such an insightful conversation! 🧠✨ Thank you, Andrew, for facilitating these deep dives into science and life, and Robert for sharing your wisdom. This podcast truly bridges knowledge and action! 🙌🔥",9개월 전,0,
@juno7760,"That book is worse than mein kampf, don't buy it",1개월 전,1,
@kingcong5754,"1:41:57 most powerful choice i can imagine is to choose everything haha Be all and more, can't go wrong with that",1개월 전,0,
@kingcong5754,2 gods punching each other and the rest of the world Badass!,1개월 전,0,
@bettomonteiro9439,"Please, release subtitles for Portuguese (BR)! Greetings from Brazil!",1개월 전,0,
@sonjajetti,This is an eye opening interview that covers new ground - fascinating!,2개월 전,0,
@terivl,"Thank you for having @RobertGreeneOfficial on the podcast. I'm a UW Madison Alum & loved hearing of Robert Greene's insights. Dr. Huberman, your insights about your own purpose finding hit home for me. I was a kid who liked to turn over rocks in our back yard and look for all the little critters that would crawl away. Learning about biology became my passion from a young age. I also like learning new things and organizing that information.  I taught at the high school and middle school level for several years. Today, I work in the public health space. I'm a woman at age 50, who made certain choices to put career in the back seat while I raised children, who also have a passion for biology and science. All in all, it's been a good life so far. I thank you for bringing this great information to the forefront. I listen several times a week and learn something new that I can use in my personal life or teach in my classes in the community all the time. I have downloaded the book Mastery, to listen to soon. Again, many thanks for this interview and the many you put out into the world. It has helped me up my game in my personal life. The learning I do via Huberman Lab benefits my community in the classes I teach in Public Health. I know I'm passing along good information!!",2개월 전,0,
@ssv8364,"Finding a purpose is one thing. Being able to pursue it is another. In your late 30s, with a fair salary, with children, with bills, with not much time to spare, chasing your dream can be a luxury thing.",2개월 전,0,
@torantiebigsharks8743,"This was a  amazing watch , so many jewels reconfirmed",2개월 전,0,
@Rolo_Bambino,10:29 DNA 11:10 Maslow 14:00 voice 16:51 45:26 dynamics 46:35 tw2p 58:50 Freud 1:52:46 anxiety 2:17:47 body language 2:19:56 Freud 2:20:10 Milton Erickson 2:22:19 micro expression 2:23:10 the smile 2:24:30 eyes 2:26:34 voice 2:30:26 social skills/ social media/ dating apps 2:32:33 ai 🤖 2:36:27 Chat GBT 3:00:39 walk 3:01:54 death ground,2개월 전(수정됨),1,
@dylonwalker7980,🎉❤ 8:36,2개월 전,0,
@TomorrowWeLive,"""Topping from the bottom"" is not a phrase I ever expected to hear on this of all podcasts lmao. Took me very off guard...",3개월 전,0,
@zachZzZzZzZ,goated,3개월 전,0,
@dw8588,"Amazing interview ,super grateful you made this happen",3개월 전,0,
@ajyaluna,Read the quran.... find your true purpose for existence ... saves you a lot of time and money and straight forward simple guidance,3개월 전,0,
@Y.AndreaRusso,two absolute greats! thanks for helping me find my Y,3개월 전,0,
@rolandozamorachavarria3351,46:15 definition of power.,3개월 전,0,
@ValidParentheses,2:57:27,3개월 전,0,
@ValidParentheses,1:57:00,3개월 전,0,
