username,comment,time,likes,reply_count
@kiddetroit8403,Upper Nile skull badger😂😂😂😂😂😂😂😂😂😂😂😂😂,8시간 전,0,
@kiddetroit8403,A f**** Mongolian Bush tiger😂😂😂😂😂😂😂😂😂😂😂❤,8시간 전,0,
@kiddetroit8403,Some of the most rare and exotic animals in the world😂😂😂😂😂😂❤❤ like this short spine Peruvian mongoose,8시간 전,0,
@kiddetroit8403,Is it good thing you brought his rifle with him😂😂,8시간 전,0,
@odielag,He could do an Ace Ventura in his sleep.,1일 전,0,
@babizee5316,The knee-high socks really work for Will Ferrell.,11일 전,0,
@dooleh84,"As soon as he said it's a mongoose, the cat looked at the camera, breaking the 4th wall, and completely ruining the bit...",4주 전,1,
@PhoebsBananaHammock,I laughed a ton but at the havent you seen a chicken before i died!,1개월 전,0,
@Shell_Michelle,The music 🎶 😂😂😂,1개월 전,1,
@ci62bln474,"When he said ""we are gonna have to cross it with something (for breeding)""..the look on the kitten's face said, ""oh no!""",1개월 전,2,
@user-yz5mn2go2d,"When they brought out the chicken, it was a total missed opportunity to bring out a rooster instead, just so will could pet the rooster and say ""Oh this? This here is my cock. He enjoys it when I stroke him"". 😂",1개월 전(수정됨),0,
@clevelandeastsider878,"Will Ferrell is often times not funny, just goofy and dumb. This skit was no exception.",1개월 전,0,
@justinkiehlmeier563,Stephen Colbert is a coward and he sold out years ago!!!!!,1개월 전,0,
@Shadowcat-25,Cilantro 😂😂 comedy gold!,1개월 전,0,
@SubjectiveFunny,Before everything got political. Trump ruined these people. Shows how corrupt they all are. Good riddance.,1개월 전,0,
@codimceldowney7969,They need to bring Will back as animal expert and have Robert Irwin come and have will try to one up Robert,1개월 전,0,
@CiceroSolo,Norm Macdonald did this but better and got bitten by a snake while doing it,2개월 전,0,
@jackydooley6053,I get the laughing but I HATE people cheering so loudly when they SHOULD know that the poor animals are terrified!,2개월 전,0,
@Georgie-t1k,"Haven't you ever saw a chicken , the most unlikely thing you would expect to hear after how crazy all the other animals crazy names and descriptions , that's awesome. Expect the unexpected from Will.",2개월 전,0,
@PyramidIcon10,I’m definitely a animal expert!,2개월 전,0,
@johncopeland3826,"Off to the dancing , big man ... obviously?",2개월 전,0,
@angelicafraoula5355,Why does he have a gun?,2개월 전,0,
@ajm6040,funny boy....,3개월 전,1,
@March1966,“Don’t you know a chicken when you see one?” The extensive set up was worth it!,3개월 전(수정됨),0,
@NenaFiver,2:19 the identity crisis in Mulan's eyes,3개월 전,0,
@abimaelmartell,naming my next dog Cilantro 🤣,3개월 전,0,
@RealHuman-mb1ry,Is there much bush in Mongolia?,3개월 전,0,
@frankbatista4guitar,"One of the best skechest ever made, awesome.",3개월 전,0,
@user-hm5zb1qn6g,two of the unfunniest humans on earth.,3개월 전,0,
@aaarod75,"That’s a short spine, Peruvian mongoose liger bear",3개월 전,0,
@margotgorske6986,I laugh every time!,4개월 전,0,
@AntonioGraziano-x8v,💐🌴👍🌴💐,4개월 전,0,
@JoJo-j4e7l,😂 😂,4개월 전,0,
@shankarbalakrishnan2360,World is a labourers market everyones going through pregnancy,4개월 전,0,
@Samuelofthewinter9,I personally live the non-venomous short spined Peruvian mongoose,4개월 전,0,
@AbrielLeal,Funny and at the end there you could tell Will was almost about to loose it.,4개월 전,0,
@jessicamoore3143,That was awesome!,4개월 전,0,
@paolovallejo8022,This would have been so much better at Conan,4개월 전,2,
@ewolbach,Guinea pig!🐹,4개월 전,0,
@LauraWodtke-Rulifson,Payton Manning was my favorite!,4개월 전,0,
@kiddetroit8403,A Mongolian Bush tiger😂😂😂😂😂😂😂😂😂😂😂😂😂,5개월 전,0,
@Hhfgdrghvdsddfj,Anyone else think Andrea is gorgeous?,5개월 전,0,
@MackenzieMcdonald-l3w,Won't chase you guys all I care about is Money 😂😂😂,5개월 전,0,
@Nomadcreations,such Straight Delivery!!!,6개월 전,0,
@karenosolin6061,Love him. I’m falling over 😂😂😂😂.,6개월 전,0,
@Cheedodustt,"Am I the only one that remembers a video of the host of this show with a scared naked child painted up, dancing to the song somebody I used to know?",6개월 전,0,
@wildoceanappaloosawomangay2535,Exploitation of animals 😞♾️,6개월 전,0,
@RRogers0123,‘They eat their way out through your mouth and scream for you’ didn’t get the laugh it deserved.,6개월 전,0,
@jordanbrettabbott,"""And scream for you"" should have gotten a lot more laughs.",6개월 전,0,
@CailynAlexander,The only way steve can compete with Jimmy and Steve Irwin.... was this........,6개월 전,0,
@bubbagump5869,Will Ferrell sucks,6개월 전,0,
@bigstef313,Did u feed him backstage?? I told u NOT to !! 😅,6개월 전,0,
@HelenHannah-m2u,Mongolian bush tiger. Stop.😂😂😂,7개월 전,0,
@andreaswank3524,😂😅,7개월 전,0,
@SHOman_86,"Will’s improv skills are just insane, I have a feeling a lot of them are innate",7개월 전,0,
@cdickenson82,I only see Bush when I see Ferrell now.,7개월 전(수정됨),0,
@daniellamantia7324,Luv Stephen Colbert's show he is too fickin Funnie💜,7개월 전,0,
@daniellamantia7324,OMG it's too Funnie💜,7개월 전,0,
@V14dSta-u2c,They like onions :),7개월 전,0,
@aquitaineq,best guest ever,7개월 전,0,
@marklaborde3199,Little debby animal expert,7개월 전,0,
@evawilldrive,"when I was a kid, there was this book about animals , and it wasn't MY schoolbook, but some old edition, don't remember from where, somehow the joke of reading about one animal as if it was another came up, and I dropped dead laughing, reading about Cuckoo's lifestlye, except replacing every cuckoo word for a bear. I am so serious. Because I know a lot about healthy respectful awareness.   💖✴🙏  ^^ The Bear had to be flying from nest to nest and framing its eggs to other birds.",7개월 전(수정됨),0,
@Wisconsinclssic,"Like him or not, you have to admire Will Ferrell can commit to a bit.",7개월 전,0,
@michaeljg420,Colbert’s a douche,7개월 전,0,
@ianarchibald1423,That was just a waste of 8 minutes of any person's life.,7개월 전,0,
@karenosolin6061,😂😂😂😂😂😂😂,7개월 전,0,
@TheGreatBoomy25,Back before Colbert came down with one of the worst cases of TDS I’ve ever seen.,7개월 전,0,
@TheGreatBoomy25,Back before Colbert came down with one of the worst cases of TDS I’ve ever seen.,7개월 전,0,
@elizabethhoward1023,I miss this America.,7개월 전,3,
@CatharineA-k6z,Am I even blamed for Jack Hannah? Lol...do you know what today's date is? Lol  Fri mar 21 ..,7개월 전(수정됨),0,
@Keith-p6l,Will Feral is an overrated hack.,7개월 전,0,
@CAKS90983,Stephen is like hot garbage conan way better,8개월 전,0,
@justingilbert9249,Justy niloticus will,8개월 전,0,
@TeeenageWasteland,Gold!,8개월 전,1,
@LIZA8030,That duck looks very angry😂,8개월 전,1,
@LIZA8030,IT WILL CHARGE 😂,8개월 전,0,
@toniallen1130,😂😂😂,8개월 전,0,
@Blue_Dutchman,Not funny at all. What happened to talent?,9개월 전,0,
@threats84,Cilantro 😂😂😂😂,9개월 전,0,
@bataafeub2472,Fun fact there are moose in in northern mongolia,9개월 전,1,
@Genny-Zee,Who’s here after watching Will’s fantastic performance handling an alligator in You’re Cordialy Invited 😂😂,9개월 전,0,
@sammichemaker,“It’s got nothing to lose”🤣🤣🤣,9개월 전,5,
@whoaskedforthisbs,Cilantro was pissed.,9개월 전,0,
@whoaskedforthisbs,The leather hat was the frosting on the cupcake.,9개월 전,0,
@juliel4734,I love that Cilantro was what finally made Colbert break.,9개월 전,0,
@scottyjoe22,Colbert has lost touch of reality again if he can't recognize an animal expert such as this guy!,9개월 전,0,
@thomasmoran1533,Will Farrell is NOT funny!!!!!,10개월 전,0,
@Iamanillusion1,Musicians on this show sound like a super mario game terrible,10개월 전,0,
@sowmyanatz,😂😂😂😂😂,10개월 전,0,
@supafupa28,they really played drake holine being that's crazy,10개월 전,0,
@louiseczupryna2963,Discovered this video two months ago and need to watch at least once a week.  Will is very funny!,10개월 전,0,
@earthmama5659,A short spined Peruvian Mongoose,10개월 전,0,
@ritsakara3476,😂😂,10개월 전,0,
@N4RCissus,When talk shows were talk shows and not political propaganda.,10개월 전,3,
@mimestatic,Colbert is a disappointing has-been,10개월 전,2,
@larry-g8e,Never notice this before but people do not say his name as Stephan .,10개월 전,0,
@beaucurtis7524,"You are going to prison, STEEEEEEEEEEEEEVE!!!! They don't like kiddie Diddy diddlers in prison, STEEEEEEEEEVE!!!",10개월 전,2,
@wcgebn,The tension was not high,10개월 전,0,
@timmy10100,Is the tune one dance by drake,10개월 전,0,
@socalsal627,This skit was 10x funnier than Zoolander 2!,10개월 전,3,
@CXC-Records,Will’s charisma is unmatched! 😂 His humor always hits just right—no wonder you keep coming back for more!,10개월 전,0,
@MickyMartin-g4p,There are moose in Mongolia,10개월 전,0,
@Zbs38kWlOTP1,I love it. He almost broke on cilantro.,10개월 전,0,
@graysonhartlein4168,Brain Pam,10개월 전,0,
@RainaHendricks-d3k,I like the music in the beginning,10개월 전,1,
@Lindsayisanosyhooch,Will cant show up as himself because then he is boring as fuck,10개월 전,1,
@benitao659,😂😂😂😂,11개월 전,0,
@bedlam589,😮,11개월 전,0,
@kimberlydufficy1279,"Steven sets it up, Will knocks em down .😂❤",11개월 전,0,
@Saraileah310,5:52 Cilantro 😂😂😂😂😂,11개월 전,12,
@Saraileah310,4:31 😅😅😅😅😅😅😅 This guy!!!!,11개월 전,2,
@Saraileah310,3:40 Mongolian bush tiger with a huge strip sack! 😂😂😂😂😂,11개월 전,0,
@Saraileah310,2:22 😂😂😂😂😂😂😂 A mongoose! 😭😭😭,11개월 전(수정됨),3,
@dvb8637,People legit find this even a bit funny or humor?? Pisspoor low standards yall have. This was terrible and boring. 😂,11개월 전,1,
@michaelfontenot102,Will improved the whole thing and Steve didn't fake laugh,11개월 전,1,
@iantharp7033,Will Farrell - man - one of the funniest humans ever.,11개월 전,2,
@kellyhoy3902,Marlin Perkin's is rolling in his grave.,11개월 전,1,
@Juliet475,HIS likeness to George W Bush is more pronounced with that hat on.,11개월 전,0,
@margaretclemens9553,Makes me die every time,1년 전,0,
@5400bowen,He was channeling Dickie Smothers there with the duck. Watch the facial expressions.,1년 전,0,
@fdsjlaf,walking into ha light bling is the cherry on top,1년 전,0,
@clay_freespirit,"Why is that funny, I'm dumb",2개월 전,0,
@mrmtoad,But I sat here and watched it just to complain. Shut up TRUMPANZEE,10개월 전,1,
@bdell519,Watching in 2024 😂😂 ❤❤❤,1년 전,2,
@charleswhite5996,Anytime I'm stressed I can go to these for laughs,1년 전,0,
@gabrieltan612,How do you have a breeding program when theres only 1... oh god,1년 전,1,
@mlrobinson228,Poor cat!,1년 전,0,
@zjhuma,Never gets old...lol,1년 전,0,
@picknbeansmamma,Kayak the Mongolian Bush-Tiger 😅,1년 전,2,
@pamelaolson5614,Cant stand Steve Colbert.  😂,1년 전,0,
@BonnieEvelynBlandTheOnlyOne,❤ 3:36 hahahahaahaha,1년 전,0,
@BonnieEvelynBlandTheOnlyOne,Hahahahaha you know your a boss when you show up for a real interview as a character lol 😂   Oh my gosh so amazing 🤩 haha 1:48 Hahahahah hahahahahahaha 2:35  he is such a great actor oh my goodness 2:47 Steven whos wearing the vest! lol 😂,1년 전,0,
@Komediennekymd2009,Hilarious,1년 전,0,
@elenawolf5939,Jesus is coming soon! Repent and believe in the gospel❤,1년 전,0,
@LaurieValdez-zk3dy,Wicked Cool 😎,1년 전,1,
@lethiapage4767,I hadnt seen this but its every bit as good as his Little Debbie appearance on Fallon. ❤ Love Will.,1년 전,0,
