username,comment,time,likes,reply_count
@kmtacos8260,テニス知らないNBAファンだと、ヤニスのダンクで可愛い反応してたおじさんくらいに認知してたけど、そんなすごい人やったんか,9일 전,0,
@mousakasule256,What did Kevin Durant tell Rihanna,3주 전,0,
@LearnToWin9683,Not Like Us by Kendrick Lamar.,1개월 전,1,
@Gigaqueen-w2l,0:30  “he likes a billionaire” 😭,1개월 전,1,
@paulwilliams3930,Everything Cavs  https://youtu.be/FfKMHlD_BlE?si=Qo5l5aU4E8SF0wBd,1개월 전,1,
@TheNeutralizer27,I miss this show. The Starters,1개월 전,1,
@NoobToProGods,Who clicked on popular,1개월 전,2,
@LimaStone11,Anyone in 2025,2개월 전,2,
@hutchsawyer,Rihanna faded af,2개월 전,2,
@QuincyRodney-n9f,Good morning,2개월 전,1,
@Lewispluss,I know it’s off topic but nba 2k25 is cooked,2개월 전(수정됨),0,
@KevlekandEmma,NBA is cool🎉🎉🎉,2개월 전,1,
@shaina2323,Justin Bieber looks like a tool 😂,3개월 전,1,
@rares_21,How about making a video about this:💩💩💩,3개월 전,1,
@Artemis_A-24,"Always knew drake was a manchild, just glad everyone sees it now",3개월 전,0,
@OliverWasiliev-oo8rj,Dallas oh yeah.🎉🎉🎉🎉🎉🎉,4개월 전,1,
@flapp-jck,that Diddler and the mascot clip didn’t age well 😭💔,4개월 전,11,
@Greg_Gregowski_real,Reaction of the crowd for 4pts Larry shot Knicks Pacers.,4개월 전,0,
@kennyd2134,Celebraties in their own minds,4개월 전,1,
@NBABoysPlus,😂😂❤❤,4개월 전,0,
@ptech88,Basketball still sucks. Nothing can help it.,4개월 전,0,
@danipastrana6838,#8: where is the baby oil?,4개월 전,4,
@JaiveerSingh-zh2rc,Man 2017 warriors were so good look at jd getting wide open threes minute after minute in those finals,5개월 전,1,
@uzaku7372,Jack Nicholson’s last one is priceless 😂.,5개월 전,0,
@Sizdothyx,It's genuinely depressing that the most viewed video on the official NBA channel is a CELEBRITY REACTIONS video. What happened to basketball?,5개월 전,1,
@RankThatPlay,Who clicked papular? 👉👍,5개월 전,1,
@jamandaparker,They need to put up glass like hockey 🤣. Everybody stfu and watch the game,5개월 전,0,
@pinterszabolcs6753,Where is Snoop&Luka?,5개월 전,0,
@LadyDiuto,"woow woow woow, don't read lips, got me. But he read subsequent ones.",5개월 전,0,
@lejyoner6961,1:09 He’s wearing both sunglasses and a hat indoors—what a complete idiot.,6개월 전,2,
@ArenaDominance,Great!,6개월 전,0,
@DinglesFrags,0:47 is that the diddler 💀,6개월 전,5,
@ardabltli,Those refs can't handle truth,6개월 전,0,
@tonyliang8099,Snacks in danger too 💀,6개월 전,0,
@tonyliang8099,No cheerleaders in one audience and no singers on the other audience 💀,6개월 전,0,
@SANGUESANTO,The mascot made fun of didy and jay-z very well 😁😂,6개월 전,1,
@SiphokaziLuthuli-q5n,No P,7개월 전,0,
@dlc4147,anyone wants to watch these guys now they’re no dunks on youtube still great,7개월 전,0,
@DiorDillon-u3n,Who is that next to Jay-Z?💀💀💀💀,7개월 전,9,
@samr64,Go watch them over @nodunksinc.,7개월 전,1,
@ChinaSoccerTeam,me!,5개월 전,2,
@糊x,💀💀💀,6개월 전,0,
@Luxurious.187,#rihanna the Queen ❤,7개월 전,0,
@brucelau2023,Jay z and WHO NOW,7개월 전,16,
@hansolsen9337,What some dumb people just because they are famous and half of them are morons,8개월 전,0,
@TheSachinRoblox,Jay z and who,8개월 전,11,
@eyeseer1,Leave it to the Joker to overstep Batman as a better starter celebrity.,8개월 전,0,
@sahilkandel2731,now we know why justin lookeDDD so scareDDDDD,8개월 전,3,
@AdnanGul-r7y,wow what a great sport. just run 3 steps and the tallest win easy.,8개월 전,1,
@AlejandroHache,0:39 ⊙﹏⊙,8개월 전,1,
@MorticiaAndGomez13,"Jesus, these commentators are more catty and judgy than the ladies at my wife's nail salon.",8개월 전,0,
@CabitoSugarDaddy,0:46  didi,8개월 전,1,
@亡党亡国共产党灭亡,😂😂😂😂😂😂,8개월 전,0,
@jishcreative-1717,can't believe this is the most popular nba video here in youtube. Shout Our to the No dunks Inc. previously the starters.,8개월 전,3,
@chanendlerbong,#8 aged like milk 💀,8개월 전,0,
@chanendlerbong,Till this day I never realized why The Starters stopped,8개월 전,1,
@brimai1,"Drakes actually a shit poor sportsman 🤔 to even involve yourself in a professional game.. what a distraction, in this atmosphere he needs to take a back seat 🙄",8개월 전,0,
@chrisbrown6952,coming back to this in 2025 is wild.  Hope Benny the Bull made it out ok,8개월 전,4,
@yeyo1k,Benny the bull trying to get invited to the parties not realising what was to be. 😂😂,8개월 전,6,
@juvenalleonperes3553,jack nicholson is the biggest fan ever,8개월 전,0,
@308Hunter,Der Legende nach lacht P.Diddy immer noch nicht😏,9개월 전,1,
@goodpainlive,The mascot was too old for the diddler.,9개월 전,1,
@milk-el8vq,The jay z one is crazy,9개월 전,0,
@Fvkeblvke,0:44 When the freak off runs out of baby oil,9개월 전,14,
@Jhureyah,Seeing this after KD said on impaulsive that Rihanna is one baddie he'd always acknowledge courtside but never get distracted by 😂,9개월 전,0,
@davidzimmerman3778,Benny the bull wasn’t walking straight for three days after that,9개월 전,3,
@AnasBouzayen-t6y,Michael Jordan is The Goat 🐐,9개월 전,1,
@therealKingStone,0:41 💀💀💀💀,9개월 전,0,
@saige_za,Wait so Kobe was the celebrity reacting 😂,9개월 전,0,
@RicardoJoséGomesVieira,Gosteiiiii 👏💯,10개월 전,0,
@Chadjessup41,Great video the NBA is Great too,10개월 전,0,
