username,comment,time,likes,reply_count
@TechLead,Join ex-Google/ex-Facebook engineers in my new coding interview training program here. http://techinterviewpro.com/,5년 전,211,
@RayonDai,"7:25 why is he sharing himself being racist???  he don't even hate the work, he hate the race????? if they work well there, and you get paid well, so what's wrong with that?? he feel bad for them being enslaved?? he disgusted that the tech scene is about enslaving immigrant?? what a joke, no one cares about that, he included",10일 전(수정됨),0,
@sevuszeld5015,Starting with my Journey i already have a Computer-Science degree. So my Year 0 is actually what? like 3 Years? dude wtf are you talking about...,2개월 전,0,
@jaybobdoodles,And you consistently tarnish it with very uncreative content. 10 years a waste.,4개월 전,0,
@justmohaXD,To much ppl sayingthat you quit alot well My teacher told us if your not confortable with your job dont do it he did quit 2 engenering posts for teaching in highschool so I can understand that you simply didnt like any of wat you where doing,4개월 전,1,
@glaberSimiaBrasiliensis,such a happy boy. what a tragedy.,5개월 전,0,
@tsitka98,I miss that dude,7개월 전,0,
@marktalltree7166,You have a beautiful life!,8개월 전,0,
@JACKcathalMAK,This guy's soooo full of 💩💩💩,8개월 전,0,
@gameswithufps,COME BACK MAN WE MISS YOU!!!,11개월 전,1,
@elijahu_1,Huh what happened to the old you?,11개월 전,1,
@abochristy9005,One question. Do you feel fulfilled? Is that void in your soul gone. Hi from 2024😂😢🎉,11개월 전,1,
@arthursfist7090,I miss the old you.,1년 전,3,
@Coloride,"""You either die as a hero or you live long enough to see yourself become the villain.""",1년 전,15,
@stickyppc1626,"hey tech lead, daily reminder to let you know that you suck. okay bye.",1년 전,10,
@ashrafaseer18,Wht a great tour...,1년 전,2,
@stevebutter3k,Inspirational,1년 전,1,
