username,comment,time,likes,reply_count
@LegendThrones,😅😂😂😂,10시간 전,0,
@susannebradley6498,I love how he acted out plot points in the series and quoted the book! 😂,14시간 전,0,
@juantorres-fk7bk,"It’s interesting how a character who has a hard time standing out in his own world, stands out like a green elephant in the normal world.",1일 전,0,
@ClippyvonClippystein,That was hilarious. I didn't get the one with the knives though,3일 전,0,
@mounirElbourakadi,جون أنتَ مُتشائم مؤكد 😂,3일 전,0,
@SevenOf9-Seven,I guess this is probably funnier if you’re an American,3일 전,0,
@ollieox9181,Seth needed to do more of these skits. Bring Tyrion Lannister to a 12-Steps program. Or Ramsey Bolton to a Scared Straight meeting.,4일 전,0,
@micl4021,CrossFit 😂😂😂😂,6일 전,0,
@caleidozkopie8344,Cant believe this is 10 years old,9일 전,0,
@MariamAbdullah-zp9kn,Jon snow travel to the future😂😂😂,10일 전,0,
@mccalltrader,"I would rather sit and drink with Jon, then stay with those beta male liberals for a second",11일 전,0,
@jimmmy7680,This is the perfect depiction of time travelling a worrior from the 400s from england to present day,11일 전,0,
@frantictoast3741,"It still amazes me, to this day, how much of a global phenomenon this show was. I miss it.",13일 전,1,
@analogrealms,"Man the fake laugh and clapping samples are so annoying while Jon speaks. I hate it, bad sound work.",2주 전,0,
@shaundavenport621,The red wedding knives in the chair!,2주 전,0,
@insuchaway,"""The brussel sprouts are amazing!""",2주 전,0,
@Easterntitan77,@4:30 “You know nothing John Snow”,2주 전,0,
@kevinrogers9495,Incest😂wtf.,2주 전,1,
@mounirElbourakadi,لستَ لقيطا ، أنتَ من نسل ريگان تارگيريْن السّيّاف الأسطوري مُحتَرِف اليدين,3주 전,0,
@ollieox9181,This was brilliant. Never get tired of it.,3주 전,0,
@caleidozkopie8344,Its so funny because Jon is pretty damn liberal 😂😂,9일 전,0,
@Me-tb8rs,This made my night😂,4주 전,0,
@deet8332,This is hilaaaarious...this entire skit is gold,4주 전,1,
@RingoMonsanto,Jon Snow sure is the life of the party hahaha 😂,1개월 전,1,
@jenniferparker6348,"Watching this September 2025. It feels like Winter is coming right here, right now.",1개월 전,1,
@pulsare.m.6719,Kit is hilarious😂,1개월 전,0,
@Vickyholicvlogs,Anyone from 2025,1개월 전,3,
@gardenlover9663,"As a fan of (Adam Ray as) Dr. Phil, when there was a lull in the conversation after Jon went really dark, I imagined Dr. Phil asking, ""So, did anyone see Oppenheimer?""",1개월 전,0,
@Indo604,This makes me even madder how the season ended. This dialogue is literally better then the final season and this is a comedy sketch,2개월 전,1,
@rafkong,WINTER IS COMING,2개월 전,0,
@Blacklla,I wish there was a part 2 where he meets back up with him after season 8,2개월 전,0,
@BlankspaceWaste,Not fair id be his friend total honesty,2개월 전,0,
@MrJustbrowsing12345,3:57 I missed the episode with wolverine in it,2개월 전,0,
@lowrider81hd,Omg I’m sorry I never thought that I’d ever laugh about Ned Stark getting beheaded,2개월 전,0,
@kieranrayner8195,This would be funnier now if George was there talk about winds of winter that is never going to happen 😂,2개월 전(수정됨),0,
@HeWhoIsNamedPatrick,Jon snow in The Front Desk,2개월 전,0,
@rjko2001,Freaking hilarious,2개월 전,0,
@pshayes,How did I never see this!?,2개월 전,0,
@HollyRodSuperFLY,Idk how I never seen this before now but this was hilarious 😂😂😂😂,2개월 전,0,
@pamyuhnke8143,Sounds like John is from Buffalo! #gobills,2개월 전,1,
@GGranking,Nah this is still funny af lol,2개월 전,0,
@virginiathornton,"I thought that was a perfect opening to say, ""Finger Lakes, huh?"" Actually Finger Lakes sounds a bit like a GOT place name.  Lakes of the Fingers.",1개월 전,0,
@TheHare-rv3hj,That was actually funny watching Jon Snow do comedy.,2개월 전,0,
@dansmonpropremonde,3:52 him imitating Joffrey’s death LMFAO,2개월 전,10,
@dansmonpropremonde,1:31 the respond😂😂😂,2개월 전,3,
@Eve_xx932,His accent is on point for a northerner.,3개월 전,0,
@white_wolf2011,😂,3개월 전,0,
