username,comment,time,likes,reply_count
@lokilxix,I know that this was 12 years ago but even by then people had forgotten how huge a goofball Tom Hanks actually was in the 80's,1일 전,0,
@PaullRoneypaull,Not a fan of Hanks at all !!!!!,3일 전,0,
@kevinsierra-j5k,je,3일 전,0,
@alanwilson5741,This is back when SNL was still funny,3일 전,1,
@youthofyesterdayrecords,2:55 pathetic propaganda world.,4일 전,0,
@DavidDutcher-r5p,I'm not a big fan of Will Farrell but he's great in these sketches.,4일 전,0,
@porterwake3898,Remember back when late night TV was funny and not 24/7 ripping on conservatives?,5일 전,0,
@Madmen604,I never get tired of this skit!,7일 전,2,
@HelenRicklefs,hanks was hilarious,7일 전,1,
@seanmadison6360,"""Come on, hand it over tree bark."" Haha...I don't think anyone caught that.",8일 전,0,
@JuddieMcDobbins,Sad truth. Tom hanks is the worst actor out of all of them.,9일 전,1,
@kevinescobar370,Jesus these Tom Hanks lookalikes are getting atrocious,9일 전,0,
@moonjen24,Kvizić,9일 전,0,
@swampfuel20,P3d0 Hanxy!,9일 전,0,
@KittyTrish619,The ending hits a lot different now than it did then 😔,10일 전,0,
@ragdollmusic,Cath the semen 🤣🤣🤣 Le tits now 😭😭😭,10일 전,0,
@RickS-h2x,Who played Burt Reynolds on Saturday night livd,10일 전,0,
@robertkane691,Damn SNL used to be funny,11일 전,1,
@BobbyL-jm1hq,BWAAHHAHHAAA.....I have watched this 1000 times and it never gets old....what has happened to late night comedy today!,11일 전,0,
@markscheetz1608,Tom Hanks was very funny back then now he is a horrible person,11일 전,0,
@AreYouSmarterThanALibertarian,Norm McDonald,9일 전,1,
@LorraineMoranHernandez,Woody.... 😂,12일 전,0,
@gmr7494,Best SNL skit ever!,13일 전,0,
@callesierra,"The girl playing Kathie Lee was absolutely brilliant. Tom Hanks was not acting,he really is THAT STUPID.",2주 전(수정됨),0,
@juliabryan8083,Omg 4:15 is literally me,2주 전,0,
@heatherdavisful,Sibelius. YES!!,2주 전,0,
@jonathansweet7205,I want to bang Kristen Wig,2주 전,0,
@LizzyLizard65,When SNL had better writers!,2주 전,0,
@jeffreynocera4017,How Will Ferrell didn't break and crack up during these is pure professionalism..,2주 전,0,
@entert.veinment677,I can't fuckin stand that my own father is a bad actor...,2주 전,0,
@justinpinson8575,comedy gold lol,2주 전,0,
@adamshow1685,😂🎉🫶🏼🍆💦🤬💋,2주 전,0,
@alexandercalder2143,Hanks is pretty talented!,2주 전,0,
@iamtheone-i7d,Tom Hanks Tom Hanks Tom Hanks!!! Oh Hellz Yeah!!! WhoOt WhoOt WhoooooOt 🥰 🎉,2주 전,1,
@LXXXVIII-88-8-88,dryer than a nuns nasty,2주 전,0,
@HarleyQuinn-nl7zv,Woody is SO good in this.,2주 전,0,
@philshea3471,Once upon a time before celebrities became political pawns,3주 전,0,
@PaytonHibberd,RIP Burt,3주 전,0,
@ColleenJC-n6j,😂,3주 전,0,
@djalbo,“I’ll take catch the semen for 800”😂😂😭😭😭,3주 전,0,
@AmusementPerks,Will Ferrell straight poker face is exact opposite of Jimmy Fallon's fake grin every two words,3주 전,0,
@StephenChase-x4w,"Exactly 49,697,806 views.",3주 전,1,
@0_HappyHalloween_0,When things weren't so political!,3주 전,1,
@aguyinhisden,Tom Hanks is probably the greatest actor out there. So genuine and making fun of himself - classic.,3주 전,0,
@warmbeer2,I'm so happy comedy has evolved since then.,3주 전,0,
@Skitlez179,"Trebek, You interpret correctly.",4주 전,0,
@Skitlez179,Kathie Lee: Where is the vowel? Me: hOdA kOtb! The vowels are capitalized.,4주 전,0,
@Skitlez179,"When Sean Connery is a contestant, I find at least one category that he will screw up. In this case, “Catch the semen”.",4주 전,1,
@wadewilson7045,Worst writing sketch,4주 전,0,
@Trucker-John-B,Hanks. What a fkn nightmare.😑🍺,4주 전,0,
@forrestlana,OMG !!.. This sean connery deserve a netflix series !.. ahuahauhuahha,1개월 전,3,
@aaronhutchcraft2288,Kristen W was always the MOST ANNOYING as KL...funny and true..but OMG!,1개월 전,0,
@MrJRYLANDER,God… I really miss the Normster…,1개월 전,0,
@bravendyer9529,Hanks ? Piece of “ I don’t understand “ what ? I’ve been black listed by who ? “ EVERYBODY “ what ? Why ? “ I don’t understand “ ?,1개월 전,0,
@eazyridin7283,I watch these skits right after I have ……… with your mother,1개월 전,1,
@sven6319,Ton Hanks is so unfunny,1개월 전,0,
@TurdPlop,Oh that’s not supposed to fart like that,1개월 전,0,
@TurdPlop,What the hell happened to that sha naw naw naw 😢,1개월 전,0,
@TurdPlop,Please 🙏 stop sticking your hands in my ass 😅,1개월 전,0,
@TurdPlop,Something just shot outa my ass did anybody get the name of buss 💥 pow,1개월 전,0,
@TurdPlop,Floppy woppy ding 🛎️ dong dang wow my ass hurts,1개월 전,0,
@TurdPlop,"I farted, too hard, and my brain hurts with somebody dying of anise failure",1개월 전,0,
@franks6608,Sean Connery is the best 👍👍😆😆😆,1개월 전,1,
@zboy8726,Pedohanx,1개월 전,0,
@randyjohnson5426,Tom Hanks wasn't funny...the rest of the cast were hilarious!,1개월 전,0,
@ct1811,This is one of the best ones I've seen.,1개월 전,0,
@peterpatrisson6847,"Sean Connery has -$69? That means he’s in first place, not last",1개월 전,1,
@PhillyFrank1,The misread category titled crack me up every time.,1개월 전,0,
@5400bowen,"It's a microcosm of SNL. Totally funny performers and material mixed with talentless cast members and really bad writing. Just like the cycle of green awkward people, some developing well and others....",1개월 전,0,
@JJA8020,"She's got a point about Kotb, what's happening there?",1개월 전,0,
@ncooty,"On paper, this is just stupid.  Performed by this cast, it's unbelievably funny.  No one could've played Turd better than Ol' Norm.",1개월 전,1,
@ncooty,"Fantastic.  From top to bottom, this was superb.  Tom Hanks was perfect.",1개월 전,0,
@JohnPatterson-kz8jr,"""I'll take'Catch The Semen'For $800.00 Alex!!""😢😅😊😂😮",1개월 전,2,
@whodiedtoday-usa,"These skits used to make me laugh with my dad every weekend. He’s gone now, but this still brings a smile. Curious—do any of you have memories tied to these sketches too?",1개월 전,0,
@michaeliglesias8172,This is when SNL was still funny. Don’t know what happened but I stopped watching after a couple of bad years I imagine they’re still not funny.,1개월 전,0,
@bryansmileys6449,Why didn’t they have Tom Hanks scream sibilence into the microphone like he did during the Aerosmith skit?,1개월 전,0,
@stephenrose8300,"When first watching these, I searched to see if Sean Connery actually had an issue with Trebek.",1개월 전,1,
@OGBillyTheGOAT,Norm is the best!!!!,1개월 전,1,
@dublinjazz1,Catch these men🤣 Brilliant!,1개월 전,1,
@JamesShelnutt2,Norm Macdonald looks exactly like Burt Reynolds.,1개월 전,1,
@TrainerCTZ,I almost forgot........,1개월 전,0,
@markscheetz1608,Tom Hanks was funny in this but years later he was very disappointing in alienating more than half the country now I won't watch him. I won't..,1개월 전,1,
@BestSpuds-h2m,This is when SNL was funny b4 all the woke propaganda bullshit they've been passing off as comedy for the last 15 urs,1개월 전,2,
@freqenc,Just stick with movies. Writing sucks in NYC.,1개월 전,0,
@andrewsmith-cm9qw,Scottish humour can be quite close to the bone.😂🏴󠁧󠁢󠁳󠁣󠁴󠁿,2개월 전,1,
@markbarresi6356,"Sad, Alex and Sean passed away 8 days apart in 2020...",2개월 전,0,
@JustOne-qe7jl,Never gets old. So funny. OOOH.,2개월 전,0,
@liquidninja04,"The last n***a on earth, starring Tom Hanks",2개월 전,1,
@cara4226,I think Kristen Wiig honestly steals this one,2개월 전,0,
@alwaysbeclosing66,"I absolutely lost in on ""catch the semen""",2개월 전,0,
@AtropalArbaal-dk8jv,Tom Hanks is awful.,2개월 전,0,
@Araffura,4 of those people aren't with us anymore.,2개월 전,0,
@CoffeeConnoisseur34,Back when SNL was actually funny.,2개월 전,1,
