username,comment,time,likes,reply_count
@Husisangti,My memories here.,4개월 전,2,
@Onlocationtours,The decor is SO good!,6개월 전,0,
@alizethegreat,Anyone else still binge watching her videos in 2025??,8개월 전,20,
@withlovegracies,i miss her videos sm i used to watch it in my middle school days and now im halfway through my college😭 bestdressed come home pls,8개월 전,5,
@ncissaa_,I miss her sm,10개월 전,4,
@shikha_herself3811,It's  3 months before we step in 2025 .. and here I'm missing Ashley on the first day of my period. Ashley I need you to come back ✨💖. I miss you 🥺,1년 전,4,
@kiwistea,"Rewatching this videos after years (2024 august) and all the comments are from 2019 and it’s so funny seeing how we used to talk and interact back then, but still sweet and nostalgic, I miss 2019.",1년 전,3,
@prettyflowers-l9o,We miss you :(,1년 전,2,
@startupunfilter6101,if she can create one video a month still will be awesome,1년 전,2,
@elzayusmaretha1328,is it vynil floor?,1년 전,0,
@Mauve1993,I miss you!!!,1년 전,5,
@aurora3655,"I Heard she had a Japanese family member who was a dirty politician, and the Yakuza abducted her, and forced her into prostitution in Russia.",1년 전(수정됨),0,
@msbeliber143,Beginning of 2024 and it’s I still enjoy this video,1년 전,3,
@eloradanan7102,Anyone here in 2024?,1년 전,14,
@puresuga219,"I watched this video years ago, I came back to find the song playing in the background at 6:32. Help!",1년 전,1,
@amairhapokala,This will always be iconic,1년 전,3,
@ByCaitibug_,Looking through the comments seeing if I am the only one reminiscing bestdressed 🥹,1년 전,3,
@looooouuuuuuuu,Soo proud of where she is now,2년 전,3,
@mechellejanecanlog2194,"She is the ""FIRST"" aesthetic girl i know😌",2년 전,4,
@riya_rupsa,Ashley please come back!,2년 전,1,
@chaidie7056,yup!,7개월 전,1,
@kiwistea,She literally posts on instagram you weirdo 😭,1년 전,2,
@aurora3655, @kiwistea  that could be anyone.,1년 전,0,
@kiwistea," @aurora3655  it’s giving weird conspiracy theorist, she literally posts her fashion deals on her instagram, please get a life and a job",1년 전,4,
@pcpsanbatvlog7397,Video xem rất tuyệt và thật nhiều màu sắc đẹp,2년 전,0,
@hoangvy8538,I like,2년 전,0,
@lildai1535,Just watched this again 4 years later on July 2023 🥹,2년 전,2,
@V0idyp0o,Does anybody know why she doesn't post anymore? :(,2년 전,1,
@cherylgrace2744,Your diy brick wall is amazing 👍,2년 전,1,
@EvaRoses0,June 2023,2년 전,3,
@veronicaguilamoreyes,"And I guess, I just miss her … even though she isn’t really gone.. things are just different… ever since she moved to nyc… pa pa pa. 😭",2년 전,6,
@EmmaMarch,"I sometimes come back here, and remember how awesome this human is ♥ At least I still have these old Youtube videos to go back to",2년 전,39,
@BaoNgoc-hb8gt,Tôi rất thích thương hiệu này,2년 전,0,
@myluanee,tôi thích thương hiệu này,2년 전,0,
@cjh2204,miss u,2년 전,3,
@nerdphobia,THIS WAS RECCOMENDED AND I PANICKED BUT IT'S FOUR YEARS OLD 😭,2년 전,5,
@ddyololol,End of 2022 and I’m back here again. Idk if Ashley will ever see this but I really miss her. Her videos are so well made and so rewatchable even after a number of years. Ashley seems to be doing well on Instagram and I hope she continues to do well no matter what path she chooses to follow.,2년 전,483,
@Leo.Albuquerque02,não tem legenda português (Brasil)😥,2년 전,0,
@nicolteves6125,i will love u and ur videos forever,2년 전,2,
@adityislam972,Nearly got a heart attack when this video came to my suggestions. Thought she uploaded a new video. We miss your videos Ashley.,2년 전,1,
@mongle22,this was the first video i watched from ashley as a middle schooler and here I am now rewatching it 5 days before my university entrance exam 🤠🥺,2년 전,1,
@idinahui4545,Why this thing has a squirrel voice and 3+ mln subs? Never understood that shit,2년 전,0,
@richiebeirach3671,totally lovely charming sweetheart of a bright stunning intelligent young woman !!  god !!! im in LOVE !!!,3년 전,0,
@hoax44573,Just revisiting your video and God the nostalgia,3년 전,3,
@bunnyofdeath8465,i think she mentioned on an instagram story she just didn’t feel comfortable on youtube anymore- she mentioned overworking herself on here a lot- like she was maxxing out on credits while editing for hours since she had to film multiple takes for everything she recorded because she was so finnicky about making the viseo perfect so tbh i’m not surprised she burned herself out and moved on. i’m sad she never gave us closure but i don’t blame her for wanting something different for herself,2년 전,3,
@V0idyp0o, @bunnyofdeath8465  ohh ok! tysm :),2년 전(수정됨),0,
@veronicaguilamoreyes,We still here for her 🥹❤️,2년 전,2,
@mylangnguyen9193,It’s the end of 2023 and I’m still missing her 🥹🥹,1년 전,10,
@nayantarabiju1928, @mylangnguyen9193 same 🥺,1년 전(수정됨),0,
@gilikr819,Mid 2024 and I still miss her ):,1년 전,7,
@Playsch00l,so true about it being rewatchable! im here after 6 years!,1년 전,6,
@L05caF,Feb 2025 here 🥲,7개월 전,7,
@axellisenstain9970,Follow-up question: how do did you develop your hand writing? It's gorgeous,3년 전,0,
@axellisenstain9970,"Ngl you made this whole thing way more interesting than it had any right to be, gj",3년 전,0,
@nudzejma8476,please Ashley sometomes i sit and just think what are you doing what does your apartment looks like how do you sew and your mental health hows going,3년 전,2,
@ThobiH,I miss your videos,3년 전,2,
@sophieimison3035,"Really miss her, I keep checking to see if there is anything new even though I have the notification bell on.  I just wish that she’d start posting again, I’ve literally watched all the videos there are!",3년 전,2,
@eufhoryzue8630,"I love you, keep going.",3년 전,0,
@pavithrahmuniandy7503,Not bad but its not my taste,3년 전,0,
@roseanneroces2748,Not this being suggested to me :( I miss this Channel,3년 전,3,
@phoebetberg4324,"I honestly miss your content Ashley, will you ever think coming back? No pressure though~",3년 전,3,
@user-vk6cm5zo9i,Still the only bedroom makeover I would come back to rewatch,3년 전(수정됨),7,
@Chief-qk5pb,my comfort video.. glad to see her thriving on IG though,3년 전,4,
@negro.hitopitufo7643,lindo bideo,3년 전,0,
@hackmanowusu8604,How are you daby,3년 전,0,
@arielzshell,"i still miss her videos so so so much, i wish she can make new videos on youtube, even 1 a month would be good, or 1 every 6 month",3년 전,54,
@monicageller4730,only a year?????? bitch if i did all that work i would've lived there for EVER.,3년 전,2,
@_itzririi_2003,Proud proud proud,3년 전,0,
@lovelemonvillarde5617,I AM HERE MANIFESTING YOU TO UPDATE! I MISS YOU☺️❤️,3년 전,0,
@luissoie,the nostalgia…,3년 전,1,
@qiqi_guaiguai,1:02 @ ariana grande ;P,3년 전,0,
@backparker9264,Omg covering the old carpet with nice rugs is such a good idea!! I hate the color carpet in my room and was trying to figure out what I could expensively make it look better. I didn't think about just covering it! I was thinking about pulling the carpet up but the carpet is flat and uuuuused so two big rugs will look perfect over it🤩,3년 전,0,
@EmmaMarch,"haha, yeah I relate. At this point once a year will make me happy !",2년 전,5,
@TheHothotheatlive,"The ribbon around the pot is so very Chanel and pretty, but as an Asian giant white ribbon around a black thing immediately made me think funeral lol",3년 전,1,
@emily-tp2wb,omg you accidentally made napalm,3년 전,0,
@gigiryanvlogs2395,biggest flex is that this came out on my birthday,3년 전,0,
@gigiryanvlogs2395,i’ve watched this video like 100 times,3년 전,1,
@beckyb5964,Its 2022 and I still come back religiously to watch this video,3년 전,3,
@ofsanli,I already miss the old Ashley :(,3년 전,2,
@aalastair,I'm totally using this as inspo for my future apt!!,3년 전,0,
@yajinghuang6559,You've done so much(!) yet constantly think yourself lazy. Your low self-esteem is so relatable.,3년 전,0,
@finalspace297,Tbh people hate this girl and act like they know her like u don’t know her or her life she’s trying to find her way leave her alone if ur gonna say anything selfish mean or harassing,3년 전,1,
@snewtypie,i miss you,3년 전,0,
@sarahnavarro3220,Rug link please!,3년 전,0,
@erika.434,"im in my first year of architecture school and im amazed at how ashley, a film student (at this time) thought of drawing the floor dimensions to fit her rugs",3년 전,0,
@xavcla6403,i miss you,3년 전,3,
@janamahlich,Wow you're so creative!! I could never do all this to my room lol I'll give it a try though one day,3년 전,1,
@lea_lh6925,I watched this while eating oatmeal,3년 전,1,
@abiribamar336,"Could you put subtitle in portuguese, please? I didn't know who you were, but my students like you a lot and they brought me here.",3년 전,1,
@pratikananda1715,Hey. Aren’t you making videos anymore? I look forward for you to get back to YT.,3년 전,1,
@selfran7573,Legends say they made the ashley home store in honor of ashley,3년 전,2,
@danielletischer3940,"I just found you because I was searching about how to shop for clothes and find your style.  Well, this was the second video I found of yours, and I just love your personality.  I don't even normally comment on videos, but you're just an adorable person, and I love how real you are, and I love your editing and video-making abilities.  You are so good at it, and I have already learned and been inspired by you so much!  You're so cool for real.",4년 전,1,
@jennifer_3683,BEST ROOM MAKEOVER VLOG EVER 🎉🎉🎉🥳,4년 전,1,
@annikagibbons4146,I want that mirror so badddddd,4년 전,1,
@sshivani7939,Ashley please start making videos dont mind negative people just keep going man,4년 전,1,
@misheelbayasgalan2678,<3,4년 전,0,
@oofer754,What do you do about the dust that collects?,4년 전,0,
@truptibenpatel3245,"When you saw that crap at 8:11, it made me so happy ,thank god,I am not the only one who creates mess!🙃",4년 전,0,
@inesgil6103,Anyone else was introduced to this beautiful human being with this bedroom makeover? 😊,4년 전,7,
@LM-ti4nt,Omg would love to see a more informative tutorial on how you made that copper clothing rack! :),4년 전,0,
@edwardmartinez4507,I'm only watching you cuz you're super cute and you're personality is growing on me.,4년 전,0,
@ashleychang6941,I keep coming back to your videos for resources. thank you luv u you're amazing,4년 전,0,
@grevie-tan_8936,Woman 😒,4년 전,0,
@juniorsaye484,Can someone tell me what the carpet is ? If anyone knows..,4년 전,1,
@hiranaqvi7018,Omg you're so hilarious as well as hard working!,4년 전,0,
@olgagis4341,それはとてもかわいい部屋です、私はあなたのビデオが大好きです 英語の素敵な部屋が分からなくても,4년 전(수정됨),0,
@hqunting.hunter,"OMG I LITERALLY SAW YOU IN THE PAINT CHIP OR WHATEVA AISLE AND HOLDING UP THE CAMERA AND I WAS LIKE ""omg thats ashley"" (but i was with my  parents at the time so i wasnt able to go up to you-)",4년 전,1,
@vishwanathjadhav7666,Just here cause Olivia Rodrigo subscribes u,4년 전,1,
@hellodahling1744,Hello 👋. Love your channels. Question: What was the name of your rug?,4년 전,0,
@Userfriendlee,I’m new here love your content and your attitude,4년 전,0,
@ladygrooveguru,i miss u girl,4년 전,0,
@tatztheexplorer2255,"I enjoy watching you from beginning to end never notice this video is 20mins😅, great idea though. Never doubt to Subscribe.Your amazing girl.keep it up",4년 전,0,
@tenzinngagdon7814,you  say bad word at first ewk,4년 전,0,
@LifeCoaching1,Sound is bad....,4년 전,0,
@vanshikarattan6251,"don't know how many times i'm gonna come back to this video,, but since you're not uploading new stuff this will have to do :((((",4년 전,2,
@dejanlovren6145,"The burly taiwan theoretically spark because wasp conspicuously meddle among a puzzled cattle. superficial, brave pain",4년 전,0,
@nithishaneethu59,This is the video where it all began...,4년 전,1,
@SC-ss8vb,I miss you. Hope you are doing ok and return soon.,4년 전,0,
@elliesherin9052,<3 this.,4년 전,0,
@aster1847,got this in my recommended and i thought she finally came back 😭,4년 전,5,
@yvaine5446,i miss you╥﹏╥,4년 전,0,
@aishash3518,Looks more like a shop  Where you can't touch things if you they'll fall,4년 전,0,
@mycalligraphy6854,"""We write with calligraphy"" sign",4년 전,0,
@pranashaktiyog,Ayeoo! Hey girl was watching this video and I wonder if you found that screw some how? 😂,4년 전,0,
@emiliamodrusan,Rewatching Ashley's old videos again just to feel something 😭,4년 전,1,
@Priyagrace.2345,I'm impressed your amazing,4년 전,0,
@banished4eva,Son interesting to see people put a room together from scrap,4년 전,0,
@JoannaRoxanne,You are the queen of aesthetics! Hope you're doing well and staying safe!! 😊,4년 전,0,
@tisentan2696,please give away my😭 i from Indonesia,4년 전,0,
@keyagupta235,5:56 girl just get a magnet 🏃🏾‍♀️🏃🏾‍♀️🏃🏾‍♀️,4년 전,0,
@sgk1313,did u find the screw yet lol,4년 전,0,
@falak4535,Where is this table 11:14,4년 전,0,
@orangkampung62tea,I present comrade from indonesia my friend 🌐,4년 전,0,
@heyimexhausted,"I doubt she'll come back to read this, but this was the first video I ever saw of Ashley and god have things changed, in terms of her and her content, and they've changed for the better. I watched this and immediately knew I had to subscribe, and I've stuck around since because no matter what she's doing, she brings such a relatable and comfortable personality to it, along with her always improving editing skills. ahhhh this is just such a throwback for me lol",4년 전,22,
@WhitneyStylez,The mirror 🪞 is gorgeous 😍,4년 전(수정됨),0,
@WhitneyStylez,How long does it take you to edit your videos because girl!!! You are are amazing!!! You’re so talented! I could never ... but your creativity and DIY -ness is an inspiration ♥️‼️🙌🏽,4년 전,0,
@WhitneyStylez,You are hilarious! Love your personality ♥️,4년 전,0,
