username,comment,time,likes,reply_count
@timferriss,"Take 10 seconds and sign up for my free ""5-Bullet Friday"" newsletter: https://go.tim.blog/5-bullet-friday-yt/ Each Friday, you’ll get a short email from me with five things I've discovered that week, sending you off to your weekend with fun and useful things to ponder and try. 🙌",3년 전,24,
@leesheldon2024,Absolutely amazing,6개월 전,0,
@Felafant,"Someone mentioned Jocko on another podcast and it’s about the third time I’ve heard his name. He’s been mentioned by other Navy Seals who were deployed with him. So I knew he had a ‘strong mind’ and I wanted to hear what he had to say. I thought it was interesting to hear him use the word humility. I do hear it when he speaks about his navy seals he led in Ramadi. You definitely need to be a listener and be willing to still be teachable as a leader. I am grateful for his determination, discipline, and will power. It definitely makes for a strong mind. I think what was very surprising to me was when he was asked if he had any weaknesses and he said he couldn’t think of any.  Jocko is such a focused and determined person he doesn’t have a second to lack discipline or have weaknesses. That’s awesome! That’s probably what God was trying to impart to the world in teaching us that “an idle mind is the devil’s playground.”  I enjoyed this podcast and I am grateful that Jocko is still alive to tell his story, inspire others and impart his wisdom. God bless him! 🙏 (I’m a cancer survivor of 4 different cancers plus diabetic complications. Been battling with it for 23 years now off and on. Yeah I have a strong mind and very determined too just lack physical strength due to disabilities. Listening to Jocko was helpful.)",6개월 전,0,
@sunnydays3829,"Scariest ? Do t think so, I have heard other seals question his claims and he has been outed as bit of a bullshit artist",6개월 전,0,
@marcbrajak,"1:49:02 - You got that right, Jocko  John 15: 13 Greater love hath no man than this, that a man lay down his life for his friends.",8개월 전,0,
@MatrixCore2060,28:31,8개월 전,0,
@uncleba715,No video?,9개월 전,0,
@richardgdwilliams6538,Everyone should read Blood Meridian compulsory by law. Slowly.,9개월 전,0,
@nckylv1717,"“You overcome that fear of death, what is there to be afraid of now?”   Jocko dropping gems",1년 전,0,
@user-xz1wy4to4o,jocko gets bummed out when wars end 💀💀💀,1년 전,0,
@topsysdad1,"I wish the UK could have Jocko to actually lead and run our country. No lies, full of humility, fantastic listener, and driven.",1년 전,0,
@ItsAllApsyop,UFC fan boys getting upset 😂,1년 전,0,
