username,comment,time,likes,reply_count
@hubermanlab,"Thank you for watching. If you enjoyed this topic and episode, please click the ""like"" button and subscribe to our channel here on YouTube.  Thank you for your interest in science!   -- Andrew",1년 전,517,
@nataliaramirez7782,37:27,1개월 전,0,
@nataliaramirez7782,36:11,1개월 전,0,
@toonmati,"Super interesting talk but unbearable whistling when pronouncing “s” sound from the guest!   Love what you do, Andrew!",2개월 전,0,
@volcanoboyz,Value upon value,2개월 전,0,
@erazn9077,1:07:47,2개월 전,0,
@BarrePinske1962,Too much BS nutrients it’s no different then 100 years ago!,3개월 전,0,
@SUPERCARS_X2,"is it bad that, at least after  upper body, I feel a huge pump and the muscle contract, but no soreness at all after-words",3개월 전,0,
@SUPERCARS_X2,Question - So even if my back and biceps feel fine and aren't sore at all after around 24-48 hours I should still wait a little longer for all the muscular processes to occur? Do I basically want to hit each muscle group as much as possible as long as it has gone through the whole recovery phase?,3개월 전,0,
@drewpolly,"Dr. Galpin- ""I'd rather have you look at your muscles than your phone.""  :-)",4개월 전,0,
@santialoubser6500,Incredible podcast!,4개월 전,0,
@watdew1502,"Shout out to the cute dog photo. Behold all the chubs and wrinkles what a chubster. I begged my parents for a shar pei when I was a kid, and we got two. I named them Mr. Pugglesworth and Pennelo-pei. They were neurotic af :( Very nice to us but terrible with other dogs. Turns out the breed has quite a few issues, mostly due to the fact that the breeding pool in the states was from a mere 200 dogs. If I ever get a wrinkle dog again I will get a bulldog, or possibly a pug. I love pugs but like shar pei, they seem to suffer from many health problems. I have a 13 year old hound/golden retriever mutt I got from the pound when she was 10 months old. She's fantastic, never had health issues, still loves running, and bc of the hound in her she does have some good wrinkles and chubs around her neck. And that's how you write a comment for the algorithm, thanks for the great content!",4개월 전,0,
@raphaelbalert6047,14:30 😮😮😅😢😮 14:31 😮😊😮 .   Ö M 14:36 😢😮😮😢😅 14:38 😮😅😮😮 14:39 😮😮😮😮😅😅😮😮😮 14:43 😮😢😢 14:44 😅😢😅😮 14:45 😮😮😮😮😢😮 14:46 😮😮😢😮😢😮😢😮😮😅😮😅😮😮😅😮,5개월 전,1,
@YCYST,This was so helpful! I’m definitely going to share this with my friends.,6개월 전,0,
@Game7Mode,heavy isometrics are a godsend to avoid chronic pain. aim for minimum 30 seconds,6개월 전,0,
@Game7Mode,"if you're getting funny looks, you must be doing something right",6개월 전,0,
@DrewbattleTheGreat,As a gym bro it’s fascinating how much basic gym bro knowledge is valid af,6개월 전,0,
@brandondang7156,"Hey Darko, besides raw meat, do you recommend raw honey as well. Also, do you have a recommend toothpaste/recipe",7개월 전,0,
@Ama_Allin,If you all think this podcast is long you’ve seen nothing 😂,7개월 전,0,
@StanleyIpkiss8,That whistle when he says an s is surely close to a dog whistle,8개월 전,4,
@meedy92,"Can you please make a video on how to stay optimistic & resilient when faced with unexpected challenges or adversities (to overcome) & rise up to a brighter day? I’m caretaking for three family members & often at risk of burn out but I’m doing my best & pushing forward. Self care isn’t always easy cause everyone is so demanding & stubborn at times (all geriatric & with their own comorbidities / disposition). I always seek to optimize their health & help stabilize or reverse their conditions with dietary, supplement or exercise intervention etc but compliance isn’t always there. Takes lot of patience. Covering this topic in some shape or form would greatly help me Andrew huberman. Your support to the community is very much appreciated!",1년 전(수정됨),139,
@abyzzboy904,⁠ @meedy92 ❤ ❤ы ку-ку,1년 전,35,
@guyallan453,K​ @meedy92 ,1년 전,0,
@guyallan453,I'm. M..,1년 전,9,
@ItsOnlyGenjutsu,"""Drewberman"" comin' in clutch for me! With such an insane level of atrophy; family doesn't recognize me. So, I wanted to make sure I got the science on my side for the fighting, for the restoration of muscle mass that can stabilize me. Cause, I look like I might break from a light breeze... hell, maybe even improper lighting, will kick in the bend of my right knee.     This is so stupid, the rhyme scheme... but can't you tell that I'm hyped, see?       Much love yo!",1년 전,9,
@naomifarkass573, @meedy92 u can 😊,1년 전,4,
@Jansonxxx, @meedy92 🎉❤你女票默默默默默默哦哦o ni,1년 전,3,
@slightkek,5 ads 14 minutes in shit is impossible to watch,10개월 전,3,
@trump2609,Coming from a little guy,10개월 전,0,
@markfitzsimons4242,❤❤❤❤,10개월 전,0,
@umangsrivastava9651,😊,9개월 전,1,
@Oluice,😮😊😅😮😊😅,9개월 전,1,
@davidarbuckle8371,45:43 454 45:47 ⁴44 45:49 45:54 ⁴😢4⁴⁴ 45:58 45:59 ⁴445 46:01 46:01 4 46:01 44 46:03 46:04 46:04 46:05 46:06 46:07 46:08 46:10 46:11 46:12 46:12 46:14 46:17 46:20 46:21 46:23 46:24 46:24 46:25 46:27 46:28 😢 46:29 😮 46:30 46:31 46:32 46:32 46:34 46:35 46:35 😮 46:35 46:36 46:37 46:38 46:38 46:40 46:41 46:41 46:44,9개월 전,0,
@SnoringVids,So many sponsors.. I get it Dr Huberman but be straight with me.  Is the YouTube money not enough?  Tons of over head for the pod?  I prefer not listening to ad reads but please help me understand why it's necessary?  I'm hoping to grow my YouTube channel but I'm planning on only taking at most one sponsor per video and if I really make it maybe 0.  But seriously please help me understand why it's necessary?,9개월 전,1,
@economicfusion6065, @hubermanlab  not interesting at all when algorithms force it on me,7개월 전,0,
@masonholland3936,I’m,5개월 전,0,
@bhuuthesecond,1:07:00,8개월 전,0,
@jayhall646,"Andrew I just wanna say thank you.  The fact that you make this information available, for free, is unbelievable.  Especially in this day and age.  The conversation in this video is about as high level of human interaction as possible.  Two absolute geniuses going tit for tat.  I feel smarter, literally, by watching.  Well done mate.",8개월 전,6,
@crooket956thotz,I always land on this guys videos at night without really listening to it I’m dead ass asleep lol 😂,8개월 전,0,
@billystylish,"“I hear your question, let me preface it with this 15 minute speech then I’ll answer.”",8개월 전,0,
@hologramhouse729,I think Andy and I have a 99.7% identical baldness pattern.  And like me he looks better with head closely trimmed,8개월 전,0,
@wise9022,I was searching for the best cheeseburger in the USA and ended up here.,8개월 전,0,
@ret_nuh,holy shit a talking ad,9개월 전,3,
@closinginonclosure,"22:28 ""What we call volume"" 😆 Why'd he say ""what we call"" as if the word ""volume"" is some kind of coined word or term that's used in a niche way. Haha.   Anyway, I'm going to pause here and listen to the rest later. I need to eat something, because I'm what I would call, hungry.",9개월 전,1,
@PrashantBhati,Armaf just released their CDN Lionheart 😂,9개월 전,0,
@anthonyjfitzgerald,Your openness in allowing us all to share your journey and thoughts is really appreciated. Best of luck!!!,9개월 전,1,
@hologramhouse729,Is Andrew a Bulldog?,9개월 전,0,
@ger.acosta,It's importante,9개월 전,0,
@IslomTurobov-n7q,Hello english lerners😂,9개월 전,0,
@AJ-si3zl,Bro I started by searching for best torque wrench and ended up being here 😭,9개월 전,1,
@samuelgenovese2214,8 min 28 second intro. Just saying.,9개월 전,2,
@MarkSmithhhh,Dude im so sick of this video...every fucking night this is what wakes me up,9개월 전,1,
@scrumpymanjack,HTF do I never see this channel ever again????,9개월 전,0,
@Nooblifter,Just imagining Blood flow restriction training was making me uncomfortable and how it would feel,9개월 전,0,
@killerkamali,"halpin doesnt know dhit , look at his physiiq",9개월 전,1,
@topher_512,I have to complain about this video... YouTube auto plays this video everyday if I step away from my TV. I sm so sick of this Andy Gaulpin guy. He's not even that jacked? He doesn't visibly look any better than I do.,9개월 전,1,
@youareIndenial981,Learners,8개월 전,0,
@Kayette,You go outside and play.,9개월 전,0,
@youareIndenial981,"Hey genius, do you know about the BLOCK button?",8개월 전,0,
@youareIndenial981,The word training does do that to the weak.,8개월 전,0,
