username,comment,time,likes,reply_count
@Salmabagum-s6w,জাংকুক জিমিনের নাম্বার টা দাও,6분 전,0,
@Salmabagum-s6w,চিকেন খাবো ভাত খাবো,7분 전,0,
@Salmabagum-s6w,💜💜💜💜🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩,7분 전,0,
@issacmedidiissacmedidi15,2025 November ❤,1시간 전,1,
@sethuparvathips-x6z,❤❤❤❤2025,1시간 전,1,
@sethuparvathips-x6z,Dre❤❤❤❤300,1시간 전,0,
@LalnunPuia-f6i,Next world cup will win portugal,1시간 전,1,
@stanley1433,Coming back here after Singapore qualified for the AFC Asian Cup.,3시간 전,1,
@RaquelsilvaXavier,como o tempo passado rápido parece q a copa foi ontem,4시간 전,0,
@lamech151,❤❤❤❤❤ Jungkook Love ❤❤❤❤❤❤,6시간 전,0,
@BarteX-c6q,3 years ago😢,6시간 전,0,
@imtiarahman5566,November 2025,8시간 전,1,
@imtiarahman5566,I am really proud of you Kook. Don't know why but I always cry .,8시간 전,1,
@CatalinaReinoso-c8m,Saquen la de Emilia y traigan a kookie de nuevo😭😭😭,8시간 전,0,
@evangelistimmanuelengeno2959,This is the best songs,8시간 전,2,
@TeodoraButnaru-m7z,❤❤❤,9시간 전,0,
@sandybeap,Dreamers,9시간 전,0,
@Fatima-z1e3u,اني من العراق وقت هذه الاغنية و كأس العالم كان وقتها شتاء ٢٠٢٢ كنت صف ثالث متوسط مُعيدة و كنت قد اكتسبت صديقات يخبلون احبهم هواية و احب الاجواء اللي كانت و اليوم اني صف سادس اعدادي اخر مرحلة بالمدرسة تفصلني عن تحقيق حلمي و دخول الجامعة و ان شاء الله هذا اللي يصير اللي اكوله ان الايام تمشي بسرعة بدون ما نحس و يا رب كل انسان على وجه الارض يحقق حلمه,10시간 전,2,
@MARWANBRAZIL,2022😭😭💔💔,10시간 전,1,
@ARMYCerafet,❤❤❤❤❤❤❤❤😊❤😊❤😊😊❤😊❤❤😊😊❤❤,10시간 전,1,
@AnthonyLopez-h8f,Que hermosa musica 😍😍😍,10시간 전,0,
@ornobmalik4535,November 2025,11시간 전,1,
@UHla-d3y,❤,11시간 전,0,
@Adikurniawan-z4g,Pray for indonesia,12시간 전,0,
@MarwaneUp,Make me crying in 2025,13시간 전,0,
@beessan3132,🥺🥺😭😭😭😭😭😭😭😭,14시간 전,1,
@BennyPoulose-lg2ke,Really surprised everyone on the inauguration ceremony with this one,14시간 전,0,
@BennyPoulose-lg2ke,An unexpected combo and an energetic song,14시간 전,1,
@zidanalviano-s7x,11 12 same Africa,14시간 전,0,
@hwkxja-v3j,Anyone here November 2025,16시간 전,1,
@jamesdiams9127,The best World cup 😊,16시간 전,2,
@NaeemullahAliShaheen,Anyone today 😄😀😂,16시간 전,2,
@ArmyBts-m7y,i remember watching this with my army sis and that time i was not an army💜💜,17시간 전,0,
@Rayhanul-i5m,노래가 없습니다❤❤❤,18시간 전,0,
@KimEva-i6t,2025 November anyone 💞😙😙,19시간 전,0,
@shambhusada-h7d,I love you💜🌹🌹jk💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜😌😌😌,19시간 전,0,
@MagicalMessi10GOAT,Anyone here 18 november 2025 ❤,20시간 전,2,
@SkAsha-p8e,January 2026 anyone ❤,1일 전,0,
@AnjanDey-wb9br,2026 World Cup coming😢 another song?,1일 전,0,
@giovanihualuquecoarite7018,7 meses más y de nuevo el mundial,1일 전,1,
@tanvir-456-p2j,😢,12시간 전,0,
@tanvir-456-p2j,1:58,12시간 전,0,
@beverlycastilloobina6839,"Nov 18,2025",1일 전,0,
@lilianajilaja6997,Dreamers siempre será esa canción que transmite buena onda para todos y sobre todo el respeto para las personas,1일 전,1,
@InesJaouadi-h2d,🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳❤❤❤,1일 전,0,
@Gayusatheesh95,Who are all listen daily,1일 전,0,
@DeepakKumar-s4u1i,My favorite song dreamer jk songs all💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜🌆🌆💜💜🌆🌆🌆🌆💜🌆🌆🌆💜🌆🌆🌆🌆🌆🌆🌆🌆🌆🌆🌆🌆🌆🌆🌆🌆💜💜💜💜🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡😘😘😘😘😘😘😘😘😘❤️❤️❤️💛💛💛💛💖💖💖💙💚💚💚♥️♥️🥰🥰🥰🤎🤎🤎🤍🤍🖤🖤🖤🧡🥰💖💖💖💖,1일 전,1,
@RobyCluj,I like this song,1일 전,2,
@joseandresgonzalesflores652,Hermosoooo🎉,1일 전,1,
@MDRahul-b1b,Who like it? Me=❤❤❤.,1일 전,0,
@sandybeap,Dreamers,1일 전,1,
@ThutaAungsett,Is that Wales shark,1일 전,0,
@Arifmuhammad-m7f,Anyone here December 2025?✅,1일 전,0,
@mash_i7,Jungkook saved that year. Period!,1일 전,1,
@luongbaonam5250,so nostalgic,1일 전,0,
@Imalsha-x9p,Jk❤,1일 전,2,
@euphoria.07,This song brings so many emotions . Whenever i hear this song i remember the moment that messi lifting the world cup and its the most beautiful moment in my life . ❤,1일 전,4,
@SebastineRMARAK,The only one song i love from bts,1일 전,0,
@romerovargaserikaliliana8026,Dreamers,1일 전,0,
@vivekkumarwithblessing,JUNGKOOK LIKE TERE NAAM looks,1일 전,0,
@reou1638,😍🥰,1일 전,0,
@VICKROM-j7,🎉,1일 전,0,
@queengrace8463,Jungkook got writing credit for this song btw,1일 전(수정됨),0,
@ProBoiys7,Where's 2026 World Cup Song ?,1일 전,0,
@محمدرقيةمصطفى,هل يوجد عرب في 2026,1일 전,0,
@vaishnavi.b.8926,"Tears till this day. All the memories are back. Jeon jungkook was just 25 when he became the first asian artist to write and sing the official song for FIFA World Cup and to even perform it! I'll always be proud of this. ARMY it's close to reach 500M, can we make it reach it ??? Lets do it!!",1일 전,2,
@shambhusada-h7d,💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜,1일 전,0,
@LimuKhatun-r7d,Jungkook 😩🫶,1일 전,0,
@rikara_my_world,Look who we are we are the army's and we love❤ our jk🥰🥰🥰🥰🥰,1일 전,3,
@asmabegum365,Anyone here in 17 November 2025🖤💜,1일 전,1,
@memezarea360,No one notices Fahad's voice 🙂,1일 전,0,
@shasanksvlogs97,Anyone from Assam North East ?,1일 전,1,
@ElvaPerez-z1x,"Pronto su aniversario, sigamos apoyando aquí y en Spoti.",2일 전,4,
@PaulineTrinh莊银铢,500M let's go keep streaming it fighting please thank you very much for your support,2일 전,6,
@HowladerSorowar-k2p,BTS jk,2일 전,1,
@Rijju-s8s,My favourite song ✨❤️,2일 전,1,
@Adikurniawan-z4g,Pray for indonesia,2일 전,1,
@sandybeap,Dreamers,2일 전,2,
