username,comment,time,likes,reply_count
@tamtam3606,Well madea is a male dressed in drag.,1일 전,0,
@dr_tandros4586,Kiefer response contained some sadness in it...😢,9일 전,0,
@robertbrindamour8309,I liked that concept.,3주 전,0,
@Jeanette-i1s2v,“Well to who ever wrote this it’s not for the lack of trying. Oh and 🖕you”,4주 전,0,
@congressoftherhino3603,Some of these weren’t even mean,8개월 전,0,
@MarkGlayton,Everybody knows what's going on 😊,8개월 전,0,
@KungFuHonky,Do all celebrities who lose relevance go on to Jimmy Kimmel?,9개월 전,0,
@JohnnyAce-ud7qd,Robbie has a big; scary mouth.,9개월 전,1,
@Beefeater911,I love it when they laugh at the insults.,9개월 전,1,
@Dd-td6jl,Lov u margot!!!❤❤❤,9개월 전,0,
@pavelgirard2091,Whoever says spaghetti diner is bland has completely lost control of his life,9개월 전,0,
@majidmagray4232,What is the background music? Anyone plz.,9개월 전,0,
@sub-zero700,Wanda Sykes had the best response.😂,9개월 전,1,
@Wrathalot,yeah kiefer boi !!!   + you rocked so hard in dark city !!!,9개월 전,0,
@hallucy2215,first one 😂😂😂😂😂,9개월 전,0,
@johnnystephenson6908,Rayan Gosling is Beautiful!!,9개월 전,0,
@JonWick88,I'm surprised they put that Margaret Robby one on there. Seems pretty darn sexually graphic. Also very true.,9개월 전,0,
@NathanAlexander_Love,I love when they laugh at the tweets.,9개월 전,0,
@Jecht2024,Paul Rudd definitely had Spaghetti for Dinner with his Wife before this show lol thats why he laughed before he read it.,9개월 전,0,
@sarahberkner,Anthony Mackie is a very handsome ardvark.,9개월 전,0,
@mrfocigaz4942,"Darude, Sandstorm",8개월 전,0,
@Buck_roo,Chris Evans is a cute dork,9개월 전,0,
@BlackEnigma79,Russle Crowe 😂😂😂😂😭,10개월 전,1,
@BlackEnigma79,Zack Efron 😂😂,10개월 전,0,
@BlackEnigma79,Mackie 😂😂😂,10개월 전,0,
@MegaSkills9,God people are mean. They all are jealous of celebrities money. (Pretty Pathetic.),10개월 전,2,
@That_lady_Styles,Bryan's swith from McConaughey to Carrey was flawless,10개월 전,1,
@everybitofViolet2024,Is it just me or does Jimmy Kimmel like Canadian actors than most?,10개월 전,0,
@kalen01,Margot Robbie one is on point.,10개월 전,0,
@davidbergeron9865,I think these normalize cyberbullying,10개월 전,0,
@jamtrini2546,Delightfully paradoxical…🤣🤣🤣🤣,10개월 전,1,
@TheMensRoom2024,The last one with Kiefer Sutherland was da best,10개월 전,2,
@jet2612,The Norman Reedus one wasn't even an insult lol it was just creepy asf rizz.,10개월 전,0,
@Billy-e2n8e,Blacks are so adorable and funny with their racism and supremacist attitude .,10개월 전,1,
@Lebronaim,Way better when they laugh the clap backs are never good,11개월 전,1,
@SahilRaj-tw2xb,So we're gonna act like Kiefer Sutherland didn't just admit to be suicidal?,11개월 전,1,
@b_parthian,How can someone hate norman reedus ? Omg 😮 he is awesome and talented ❤ without him and andrew lincoln there was no walking dead,11개월 전,0,
@aemilius142,The meanest thing i can say about this narcissistic and histrionics is this: dont know half of you and i do not want to know,11개월 전,0,
@charlotteD_13,1:45 I LOVE PAUL SMMMM I CANTTTT 0:39 I actually love chris evens hahahahha 0:44 thats so creative im cryinnggg but shes beautiful 1:14 I LOVE HER  2:15 relatable and RANDOM. I loooove Wanda! 2:47 IM DEADDDDD,11개월 전,0,
@joefuentes2466,Actually Norman Reedus and Margot Robbie tweets were complements lol,11개월 전,0,
@keara.ls3,"Some of these are so creative and funny, I would actually appreciate the time and effort put into writing them and consider it a compliment if one was about me 😂😂👌🤦‍♀️",11개월 전,0,
@OzuRay,The Reedus and Robbie ones just seem like horny tweets.,11개월 전,0,
@SlackrUk,Bless Wanda Sykes!,11개월 전,0,
@JesusChristmyMESSIAH,Judd Apatows daughters are gonna grow up to be doormats for slobbish jerks.,11개월 전,0,
@tv.viixxxen2024,"People have voted, they don't like you",11개월 전,0,
@cansadececan1207,Here before Keifer’s death.,11개월 전,0,
@checkmatupland,"MARGO ROBBIE AND RYAN GOSLING IN THE SAME VIDEO 8 YEARS AGO, THE BARBIE MOVIE WAS PREDICTED HERE",11개월 전,0,
@luischiriff936,Amy Poehler and Tiny Fey … are still very very Hot😊,11개월 전,0,
@stevendilello3144,This one is the best of the mean tweets so many home runs!,11개월 전,0,
@tv.viixxxen2024,Most fighting scenes in the movies must have them pist 😅,11개월 전,0,
@tv.viixxxen2024,"They make you sound worser than Napster, is that fine 🙂 or not",11개월 전,0,
@tressoccerchick,Wanda sykes had me 😂😂😂,11개월 전,0,
@Stone5588,Don’t be disrespecting David from lost boys 😂,11개월 전,0,
@chocoeuxlatier,They were NOT being mean to Margot 💀,11개월 전,0,
@This-Is-Trevor,😂 2:10,1년 전,0,
@LandofLibby,Cranston tho!,1년 전,0,
@MarcusJunior-i1n,Damn they did Ryan gosling dirty 😂😂,1년 전,2,
@S1wj,Ryan gosling got me dead 💀,1년 전,0,
@v1antbo,all of Hollywood is irrelevant.,1년 전(수정됨),0,
@Cheif_Queef26,1:24 nobody laughed at that bc it’s true,1년 전,3,
@CoolName04,Some of them r not hate comments,1년 전,0,
@amalvarghese,i thought not many actors could pull Jim Carrey and Bryan did it just like that,1년 전,0,
@vunnnamvarshini7520,The Russell Crowe one was clever 😂😂😂,1년 전,0,
@ackattack1002,The fact that Jane Lynch’s is from the Iron Sheik makes it even funnier,1년 전,0,
@ahtishamalvi8969,bryan cranston really look likes both jim carry and mathew macanhey whatever his name is,1년 전,0,
@JackRabbit-y4k,"I can honestly say that not one of these tweets is wrong, or off base.",1년 전,0,
@avandelay2342,This is the best one for sure. <3 mean tweets!,1년 전,0,
@siilver1,"-18th oct, 2024 @12:16 am, Thursday",1년 전,0,
@SavannahOneil-Pindar,"I f**king love Melissa McCarthy!  She's my soul sister.  Ha, ha, ha, ha, ha!  Stay awesome, girl!",1년 전,0,
@ThomasMackay-i8h,Margot is beautiful.,1년 전,0,
@TheWiseDoge,Norman Reedus’ mean tweet felt more like an invitation…,1년 전,0,
@stouttaaddis989,The Madea of white people....omg ahahaha,1년 전,1,
@Aslısibeltekin,HUGH QPXLWĞWPKXSPW9OXPSW9OXKSĞQ9DOX9W9XOĞS9WOX,1년 전,0,
@oscaralvarenga4391,Chris Evans’s laugh might be the fakest I’ve seen in a while.,1년 전,0,
@billumand,Bryan cranstan is appropo 👌,1년 전,0,
@andrewblanchard2398,2:15 to 2:39 😂,1년 전(수정됨),0,
@TeamShorly,"""... If it makes you feel better: it's not for the Lack of trying,"" Dark 😅",1년 전,0,
@abbyhess1200,The people who write these twitters are so pathetic. Does it really make them feel better by insulting someone else. I know it's supposed to be funny. But... n,1년 전,0,
@vairagya108,Russell Crowe is SOOO cute..,1년 전,0,
@DukeDarkshadow,The tweet about Cranston is even funnier when you remember that Jim Carrey played Matthew McConaughey on SNL Jeopardy.,1년 전,0,
@sagarus-x4,2:21 That was genius.,1년 전,1,
@irogerg,Jimmy kimmel es un naco y estupido. Copia y pega esta verdad,1년 전,0,
@phousefilms,"Lmao, the Chris Evans one was so funny. I shrieked laughing at Hugh Grant asking if they made these up to be nasty.",1년 전,0,
@HarrisNtemar5O5,Olivia Wilde's tweet was pretty creative and inventive!! Leaves a lot to the imagination:face-green-smiling:!!,1년 전,0,
@HarrisNtemar5O5,I was expecting a harsher Tweet for Melissa McCarthy; maybe they could've compared her to Ursula from Little Mermaid🤣😆,1년 전,0,
@Bobson_unknown,the Paul Rudd's one had me dying like what do normal people do at family dinners LOL,1년 전,0,
@janperry120,The public comments are way funnier than the   entertainment,1년 전,0,
@landofthelividdead,0:54 ?????,1년 전,0,
@Zaque-TV,The kate hudson one is brutal af 😂😂😂,1년 전,0,
@account9595,Vanilla insults are the best.,1년 전,0,
@account9595,Laugh for US CHRIS!,1년 전(수정됨),0,
@473mishke,How dare they come after Paul Rudd! Haha,1년 전,0,
@SEXYMAN11127,2:38 cant say the same thing about his father,1년 전,0,
@rogueguardian,1:43 oh Paul never change bud.,1년 전,0,
@ScentsofStyle99,Who doesn't like Paul Rudd? He's lovely.,1년 전,0,
@NashaBelle78,I think all this haters got no life......leave the celebrities alone....😅,1년 전,0,
@MohamedAzmi-l6g,That middle finger from Kiefer response smiling angry  old dud don't forget that,1년 전,0,
@rankinlas,"Some of these insults are actually pretty good, creative and funny 😂🙈",1년 전,1,
@luzluna6808,The Russle Crowe tweet😂😂😂😂😂😂😂 I like Brian Cranston's reaction.,1년 전,0,
@friend-ik4jt,jimmy Kimball.  I loved. Your Mother's day texts.  ❤,1년 전,0,
@MN-VD_Stories,Brinh back mean tweets,1년 전,0,
@rbodetti,Wanda Sykes one is the best one by far. her reaction just kills me 😂😂,1년 전,0,
@somethingsomethingsarcasm,Okay but I can kinda see the Melissa McCarthy one 😂,1년 전,0,
@elgringodeanbago,0:47 - Probably one of Iron Sheiks tamer tweets 😂,1년 전,0,
@codstaaaa,"1:57 no, no he has not 😂",1년 전,0,
@SNIFFMYWEINER,if i were ryan gosling id go to church more ... specially after barbie movie.,1년 전,1,
@yoLilDuckl8n,Zac Efron 😂,1년 전,0,
@zachwhite6823,Idk ... I've seen some huge people with small asses,1년 전,0,
@yakumile,"I can't understand how anyone could be a Margot Robbie hater. In addition to being talented, she is beautiful and is always so kind to her fans.",1년 전,6,
@kellydisciullo8589,This is the only funny thing Jimmy Kimmel does,1년 전,1,
@hendrikromkes,ok,1년 전,0,
@demangelonic7339,This video isnt even funny except zac efron and wanda.,1년 전,0,
@joseantoniomillabrito2764,"In retrospective, I now love the Olivia Wilde part. I hope more of those coming...",1년 전,0,
