username,comment,time,likes,reply_count
@ToddSalvati,swear i have a lifelong crush on her,2주 전,1,
@nosleepdelirium1214,from Fantastic Beasts I never would have expected him to be so CHARMING! definitely the same nervous energy but none of the awkwardness!,4주 전,0,
@nosleepdelirium1214,Jennifer Lawrence is such a pro at making anyone break composure. its my favorite thing ever and she must be everyone's best friend,4주 전,0,
@jenniferfriesen7691,Eddie is amazing. Jennifer is exhausting.,1개월 전,1,
@baneblackguard584,both of those photo shoots need to be re-enacted as a skit.,1개월 전,1,
@JayHutto-sv8qb,She's drunk,1개월 전,1,
,Jennifer Lawrence: You don't have my pictures. Internet: I'm gonna stop you right there!,2개월 전,1,
@johnwieler7469,"jenni ff r;' ,  huntin bitt coin er  kanaye dee n oaRe watt  ... ,  due uU Luv Gwenith ?",2개월 전,0,
@eligebrown8998,Jennifer is Hot,2개월 전,0,
@laernulienlaernulienlaernu8953,I am absolutely in love with Jennifer Lawrence 😍,3개월 전,0,
@charchar541,Love this interview 😂❤,3개월 전,0,
@Loaferess,I’ve seen her pictures and Taylor swift too,3개월 전,0,
@EverSpaceTime,The fact that I've seen Jennifer Lawrence's everything makes me laugh.,3개월 전,1,
@DD-sw1dd,Franck from Father of the Bride,3개월 전,0,
@jazzcat5950,Awesome interview. Really annoying that we have to watch 1080p low definition from 2007 instead of 4K 60fps. My cell phone shoots 4K 60fps video!,4개월 전(수정됨),0,
@susmitanayak2101,Newt schammander in muggle interview.,4개월 전,0,
@narvickdevil,"First of all I'd like to apologise, I am a hetrosexual 😁 .The entire time during that clip , I was waiting intensely for Jennifer Lawrence to uncross and recross her legs 😅 sorry about that but it's called being a normal bloke.  Had to bring it to your attention, to highlight that us normal behaving & thinking fellas are still out there , what with all this sexual diversity sh1t going on . 😲",5개월 전,1,
@arabianflowers,2:16 - 2:25 Best moment of the whole interview. Eddie is hilarious and the way Jen just throws her her head back laughing is the icing on the cake. 😂,5개월 전(수정됨),0,
@robbieracer3294,And why has Eddie never played The Doctor?,5개월 전,0,
@SHARK-vi9tx,uhhuh not me:face-blue-smiling:,7개월 전,1,
@jenshaw8085,"Nah, you’re just a perv who feels the need to share this to the world wtf… #incel",3개월 전,2,
@maddyc2412,Creepy weirdo,3개월 전,0,
@hectordejesus3350,Jennifer Lawrence is adorable.  I'd spread her on a cracker.,7개월 전,1,
@jamesallen8917,Wow shes amazing,8개월 전,0,
@ninjadudeofficial,That sleeve has way too many buttons. Should be a law against more than 4 lmao,8개월 전,0,
@piomiguelraymundo8725,Jenn is hot!,8개월 전,0,
@acco724,Time Jen and Eddie does a barbarian movie together with big clubs and big Dino's :P,9개월 전,0,
@timmclaughlin4590,Graham is a global treasure.,9개월 전,0,
@feihungwong7128,"I love Jennifer, such a down to earth person",9개월 전,0,
@henrymcvey6538,He’s so bloody annoyingly English!,9개월 전,0,
@darkstarr2321,Jennifer's legs - wow,9개월 전,0,
@Binge_Chronicles,What are they sipping ? Water or some vodka or white rum or a wine ?,9개월 전(수정됨),0,
@inabel.24,"For me eddie is the weirdest, oddest yet hottest looking guy i’ve seen on tv ever😮😮 not to mention his talent in acting is just out of this world. I don’t just have a crush on him, it’s just… it’s just this big big awe that i have for him. I cannot even explain.",9개월 전(수정됨),1,
@aadidandekar07,Graham Norton laughs how an old car engine starts.,9개월 전,0,
@slammajamma5435,Appreciation for both of them just grew. Sweetheart’s.,9개월 전,0,
@fw1421,Jenifer is so funny when she’s tipsy.,10개월 전,1,
@DonnyJosee,❤i love the show.,10개월 전,0,
@PaulCarew-j9j,"Jen, those legs, damn girl they are delicious, l love great legs and yours, are beyond great.",10개월 전,0,
