username,comment,time,likes,reply_count
@AveryJamesAsio,Best finals ever!,2일 전,0,
@aceitosquest2813,KD just couldn’t mind his damn business,3일 전,0,
@Mosherose08,Bron is literally one of the best defenders ever,4일 전,0,
@jdub7382,Dray was ballin’,5일 전,0,
@RicardoBalabat,❤❤❤,2주 전,0,
@wsamuel_12,9:12 9:14 9:18,2주 전(수정됨),1,
@marleyant5694,I came back here always than i dont feel the enough motivation.. OUT,2주 전,0,
@LeeXiongWaey-t4m,the best nba final of all time😮,3주 전,0,
@rabbitinthemoon8981,So no one gona notice how89 plus irving with 3 points is 93???,3주 전,0,
@alfianfirdasya,2025 anyone??,3주 전,0,
@Wjbankz89,Great freaking block!!,3주 전,0,
@LawrenceCabungcal-b7p,LAWRENCE❤❤❤🎉🎉🎉,3주 전,1,
@yannmarion6350,I was fckin 15 and i remember seeing this my parents allowed me to see it on the big screen they never saw a game and they were so locked in even my mom who never was a sport fan in any kind lol this final will be always in my mind,3주 전,1,
@yesyow4294,Lebron is so hyped the blocked overshadowed the   Kyrie 3… even if iguodala made that shot kyrie will still be able to make the 3 then they  still won,4주 전,0,
@JhoncliffMackanga,🎉🎉 irving,1개월 전,0,
@LearnToWin9683,Kyrie Irving & Lebron James was one of the greatest duos in NBA history.  Both Kyrie and LeBron were so great playing together and fun to watch from a basketball perspective.   I only wished those two played longer in Cleveland together.,1개월 전,0,
@Artetahatewatcher,I had to watch game 7 to see that he is lying lol 😂,1개월 전,0,
@Driaan17,Who's watching this today? 😅,1개월 전,1,
@arturlelis1923,"Irving and Curry, 1 on 1, Irving puts it up….it’s GOOOOD!! Kyrie Irving from downtown! And the Cavaliers by 3!!",1개월 전,0,
@MrAjtotte,Here in 2025,1개월 전,0,
@andrejones2147,There was a free throw made by bron they didn’t show,11일 전,0,
@ShaqaliciousMagic,Without kyries 3 LeBron still makes the free throw to give them the lead which leads to the cavs winning,8일 전,0,
@GritznGravy08,Cavs was so lazy on defense no idea how they won lol,1개월 전,0,
@GritznGravy08,Dray was cooking RJ😂,1개월 전,0,
@GritznGravy08,The cavs looked bad first few minutes crazy they Pulled it off,1개월 전,0,
@DanielNunes-s6m,PRIME,1개월 전,0,
@Drak022,89-89 James scores a 3 and it goes to 93? Even curry made tha 3 they still would lost cs it’d be 92 but they both had 89 y they give him four points .,1개월 전,0,
@demetriusarmstrong300,"If u pay attention Richard Jefferson on the bench sitting down, he had his hand in a fist already when they got half court cuz he seen LeBron the whole time for that block  8:55 (beautiful when u believe and know what your teammates can do)",1개월 전,0,
@user-dq2ul4vb2p,virgin curly choking the only important game hes ever had in his entire career 😂,1개월 전,0,
@vincentisidrocastrojr3396,Just realized draemond had so many 3s,1개월 전,0,
@anassaeed8600,This match is the best kyrie was so special,1개월 전,0,
@makur625,How did we go from this to thunder and pacers phony ass game 7… sad,1개월 전,0,
@willifieldedouard7847,Love the testimony at the end,2개월 전,0,
@rapysula6151,Lebron u are the best of all the best.,2개월 전,0,
@syaoloh,Where is durant?,2개월 전,0,
@gregoriojaspiojr.7146,Hope last season of King James will be in Cavs as a Championship,2개월 전,0,
@ThereIsNothingHere.,This is the best finals in nba history omg,2개월 전,0,
@tricktrippinnn,The greatest game 7 of the history of the sport right here. Literally down to the absolute last seconds,2개월 전,0,
@agata-w4p,blocked by james!!!!,2개월 전,0,
@greengang210,Kyrie the coldest omg,2개월 전,0,
@mutuliadams7574,W draymond,2개월 전,0,
@camrvon,i cried,2개월 전,0,
@Yewmadatme,Why did Kyrie have to leave bro 💔,2개월 전,0,
@IbrahimRaza-p4o,idc if curry won the next two years bro he ges carried bro stop the glazing bro he trash and lebron owns him,2개월 전,1,
@niyoyitaallainserge1251,Am still here today 2025,2개월 전,0,
@Thatboijustbetter2011,BLOCKED BY JAMES!!!!,2개월 전,1,
