username,comment,time,likes,reply_count
@lillian8482,LIVED by this video when it came out and now coming back for the nostalgia in 2025. reliving my 2019 freshman in high school fashion era (am now a junior in college). hope she's doing well off the internet!,1개월 전,2,
@Leo_Power_Rising86,This video has replay value!,2개월 전,7,
@Lzlixty,I'm a guy but this video was so entertaining!! :D,2개월 전,1,
@cnc-1994,This video is art,3개월 전,0,
@yourmelody5118,Its 2025 and I always come back to you.,8개월 전,19,
@betsy.-val,I miss this era but I'm so glad it existed ❤,8개월 전(수정됨),8,
@rookiemonster646,i miss you so much Ash 🩷,8개월 전,3,
@kuneho4998,i miss this era life was so colorful,8개월 전,4,
@jessicaforster9882,wearing a dress as a shirt permanently shifted my brain,8개월 전,2,
@Elly-z7q,Pattern mixing is fun,8개월 전,2,
@piafreesia,binging ashley’s old videos cause i miss this time of my life 🥹,9개월 전,25,
@hani6183,i miss u,10개월 전,8,
@shoyuramenoff,"Damn, I miss Ashley, I hope she's doing ok wherever she is. People were WAY too hard on her.",11개월 전,11,
@ENGAGEFITNESSMD,my wife like this,11개월 전,1,
@streamkarma8,"i saw so many cute outfits and stuff that i've seen in stores but never bought, and turns out she linked them all in the description.....can we just appreciate that for a second?",1년 전,3,
@adrianasb4213,here to rewatch ... now I feel like trying a black tutleneck underneath lingerie,1년 전,5,
@FamiliaBuno,This vlog will always be my comfort vlog😊,1년 전,6,
@msayap,I MISS YOU EVERYDAY,1년 전,8,
@trishasukhtankar8851,I never thought I'd miss a YouTuber this much but I hope she's living her best life out there❤️,1년 전,23,
@brrr3997,i always come back to u 🙏🏼🙏🏼,1년 전,5,
@leylagonzaga1998,frrrr,7개월 전,3,
@BetteDavis19,i just started doing this too lol,7개월 전,4,
@piafreesia,@ rightt? super nostalgic 😭,7개월 전,3,
@soleil706,"I miss her, her vids are very  comforting for some reason.",3개월 전,0,
@piafreesia, @soleil706 super comforting! still binging from time to time 🙈,3개월 전,0,
@JayDrawsPinkxoxo,SHE IS SHES ACTIVE ON INSTA AND HAS GOTTEN A LOAD OF HIGH END BRAND SPONSORSHIPS ❤,1년 전,4,
@syra1541,rewatching for the nostalgia 🥹🥹,1년 전,5,
@yoserbenali3308,I miss her existence here,1년 전,2,
@Taehyungslefttoenailhair,😂😂😂,1년 전,1,
@Booklover57-d7v,The amount of times I have rewatched this video is insane,1년 전,11,
@rashnikonwar98,"I miss you, your videos",1년 전,4,
@asukaokubo2496,I miss her.,1년 전,59,
@sloppypotato4681,ill wear that one,1년 전,1,
@CeltySins_,great❤,1년 전,0,
@trcemalemretr,If you have nothing to wear how the hell you wear something or have 50 different things to wear on ?,1년 전,0,
@amieol3408,I love Ashley's taste and clothes! I just wish there was a name for it.,1년 전,2,
@himakshibatra,So ahead of time and a trendsetter,1년 전,6,
@mirrorball1,she was ahead of her time,1년 전,17,
@annaburke8537,Omg I have worn all these outfits am I....best dressed??,1년 전,3,
@Rebecca-hr8bz,Come back queen,1년 전,5,
@erinjkrizakk,feeling nostalgic for this video rn it was the beginning of my style awakening,1년 전(수정됨),90,
@dishabaranwal7853,Jeans tshirttt,1년 전,0,
@adrianasb4213,Can't believe Ive watched this so many times in different years because this video is so good and to me was actually very helpful,1년 전,13,
@laraejones3160,Oh my God you are fucking hilarious and you look really good,2년 전,1,
@meridam5728,God I miss ashley,2년 전,8,
@paulinetomlinson8954,"And for the woman with more kilogrammes, wath you can propose ?",2년 전,0,
@hunny_bunny2440,So damn much😢,1년 전,5,
@MIRA_CLE,Me too.,1년 전,2,
@thisknitmachine,What happened,10개월 전,0,
@channie_bestboy,Sooo much,8개월 전,1,
@katgallaugher,me too,7개월 전,0,
@sloppypotato4681,me too,1년 전,0,
@jauxro,creative combinations,1년 전,0,
@onewildwoman,you get it i miss this channel so much like this woman single handedly raised me,1년 전,5,
@BetteDavis19,@onewildwoman SAME,7개월 전,0,
@-SHADOW-THE-HEDGEHOG.,I only have random colour shirts and black sweat pants😀😀,2년 전,0,
@citrusfighter3925,<3,2년 전,1,
@Anadyomene24,You were the first person to help me develop a sense of style. Now i watch this video out of nostalgia. I genuinely miss you Ashley and i hope you’re doing well,2년 전,346,
@FlowersMakeMeHappy,Who else just keeps coming back like this is the best fashion advice ever!!,2년 전,7,
@ludivinamendez6387,Genius❣️❣️❣️❣️,2년 전,0,
@sage-kc3px,"Ashlee, we miss you on YouTube, ur content is unparalleled ❤❤❤❤",2년 전,0,
@sargamsharma9870,This is where it all started for me 😩,2년 전,18,
@The_Super_NOVA,"Oh my gosh, outfit 43 is almost exactly a Sailor Jupiter outfit! 😍  Really miss that weekly dose of Ashley's sass and personality. Just gonna keep rewatching her old videos I guess.",2년 전,1,
@mcristinaxoxo,when you found this video about four years ago and then fell in love with ashley immediately watched all of her videos and now miss her cause it seems we’re either each others best friends or i’ve slowly turned myself into the walmart version of her,2년 전,8,
@pilotkey6526,I miss Ashley's videos so much :(,2년 전,5,
@mimanshaagrawal5911,this has become my comfort video that I rewatch every long night I have,2년 전,5,
@alittlebitofeverything6731,"When you're young, slim and cute you can get away with anything.  Oh, and can that pink dress be any shorter??!!! Where does she get all that energy 🙂",2년 전,0,
@helen-pk2eq,rewatching old videos religiously like every couple of months,2년 전,3,
@talynnamazing85,My favorite 4 yr old vid💜💜💜💜💜,2년 전,1,
@carolinamora5237,Queen!!,2년 전,1,
@angel_aki,1:38 1:57 2:17 3:28 4:09 9:56 10:53 11:13,2년 전(수정됨),1,
@someone._.,"this is definetly one of my few comfort videos, idk what it has or what she does that made me watch it tons of times, nor exaggerating, I've probably watched this video 30 times during the past 3 years, I know which outfits shes gonna show and what she's gonna say about them but I feel very comfortable watching it for some reason, also every detail it has ties all up together and it's amazing, thanks a lot ashley <3",2년 전,2,
@amysuuueev1685,The first minute had me subscribed 😂,2년 전,1,
@IwatchSo,"The fact that this is helpful due to me not used to dressing up, but ended up wanting to learn due to OOTD day in school",2년 전,0,
