username,comment,time,likes,reply_count
@kemillegreene9743,Watching this is 2025. Because it’s in my favorites and lucky enough she’s kept it up for her fans 🤷🏾‍♀️🥰,3개월 전,3,
@mebinb,june 2025 anyone?,3개월 전,4,
@Mistardmuster,I'm kind of amazed at how well these outfits have held up 6 years later. Like the layering over the turtleneck is maybe? dated just a little but I would wear every one of these today.,4개월 전,5,
@EmineWigfall,Krásná energie a pozitivita,4개월 전,0,
@karenleon5371,Whhhhheeeere did you go!!😭🥲,5개월 전,0,
@burntbeansoup,"If you have a standard awkward normal-weight not curvy and not sticklike white person build, please try Lucky for jeans. They are so nice, at least in the low-mid waist versions I buy. They are all around $60 and Lucky offers so many discounts if you sign up and wait a few days.  If you think dr. Martens boots hurt and are hard to break in, try the Combs Women's Poly Casual Boots (or Combs W; they're not actually just for women, they're quite unisex) or other sneaker-material boots by them. For some reason, leather boots are fine with me, but the shape of docs hurts my ankles.",6개월 전(수정됨),0,
@barbieloveschappellroan,comfy video of my younger self - u were my comfy person Ashley! thank you for being,7개월 전,3,
@joanagutierrez7082,I miss you ashley,8개월 전,3,
@Elly-z7q,I love this video still not sure of my own style or life tbfh so here for comfort,8개월 전,2,
@Perry1994PSP,I miss videos from her,10개월 전,8,
@ajapple6968,The cussing in this video is unbearable,11개월 전,0,
@ケイト-n6x,THIS IS SO NOT 5 YEARS AGO,11개월 전,2,
@TalkWithE442,“Now that I’m a fake adult” 😂😂 She’s the best,1년 전,2,
@Kara-ke1ph,why am I getting bestdressed recommendations 😭😭😭😭I miss my girlie,1년 전,4,
@avg7444,"16:30 It’s 2024, I’m watching this video, because I miss her, and I now I know where my “Falaffel Kajanken” mispronunciation came from",1년 전,3,
@PlumBlossomsAtSea,Reading these comments make me feel so goddamn nostalgic man,1년 전,2,
@luna_intheclouds,"currently cleaning out my closet and yours was the first video. what a time, miss you Ashley!",1년 전,2,
@madebymissy_,I miss this bitch sm god I love her,1년 전,6,
@beephie4411,"Watching this as a sophomore in highschool, it was not realistic for me to build an entire closet like this right away, but now as a senior in college I feel like my closet is finally at this point! So if anyone is watching this and feeling like this is unobtainable, it’s because on short notice, IT IS!! And that’s ok. Building up a closet like this takes time but starting out with a few of these pieces will still add so much to your wardrobe. Since highschool, my style has developed a lot more but this video was such a good foundation for me and my closet, I hope people continue to find it :)",1년 전,12,
@kolmeluise7121,I miss Ashley sm,1년 전,1,
