username,comment,time,likes,reply_count
@kendravasiloff6974,You should make dip and dots,2주 전,0,
@anyaruyii,BRING THIS SERIES BACK WITH HER,4개월 전,1,
@SoftComputerMan,Brad has big 'Christopher Meloni in Wet Hot American Summer' energy in this video,7개월 전,0,
@danielcorona151,She needs to color that great hair,7개월 전,0,
@chuggie436,Why am I obsessed with watching this?,8개월 전,2,
@Tamed_Delirium,"I love how authentic and real this video is, not scripted nonsense. Claires personality comes off great I need to see more of her",8개월 전(수정됨),0,
@AliceMurphy-mt8yc,she is the og nara smith,9개월 전,2,
@Carnivore-Explosion,you cant use a raw egg like that. to risky,10개월 전,0,
@jesusaa5951,Wait so does gourmet means made by hand?,11개월 전,0,
@newtexan1,Wat too many commercials on this channel.,1년 전,1,
@thewhitedread7572,Green apple is blasphemy,1년 전,0,
@berrisfueller6221,"I don't mind the green apple flavor, but lime was better",1년 전,0,
@rehippie,"Che si no vieron la pelicula ""La dictadura Perfecta"" de Luis Estrada... es el momento para verla :) Esta gratis en youtube y es buenisima.",1년 전(수정됨),0,
@amandaredd3057,"I'm kinda glad my palate isn't as evolved as this lot's because I've never said ""yuck"" while eating a Skittle (the original flavored ones, anyways!)",1년 전,1,
@amandaredd3057,The green ones are my favorite actually. Limey goodness,1년 전,1,
@connorupton4200,Now make it so you can produce millions of them a day and make them able to be eaten fresh after sitting in the back of a gas station for 9 months,1년 전,0,
@elizabeth-lmhxmx,Still and always hated skittles,1년 전,1,
@overthemoon8011,I still giggle every time she says OG Skittles lol,1년 전,0,
@ImjustsayinDetroit,"I really enjoyed watching your thought process throughout this process 🤔🙄, and your supporting cast is really cool.  Great video ❤",1년 전,0,
@long_term_karma9899,why?,5개월 전,1,
@415baby,Such a pretty face 🙂,1년 전,0,
@trey1424,Ugh I miss this show SO MUCH,1년 전,9,
@talma-vj1mz,"Five years ago, this was a number 18 trending",1년 전,6,
@RetroJank,"green apple was terrible, so glad they put lime back in the original flavors.",1년 전,0,
@RKGold,This was so wonderful to watch,1년 전,0,
@Supakupa,You started to make that dragon hair cotton candy. I think that's what it's called.,2년 전,2,
@mastod0n1,I'm going to credit this video for Mars changing the green skittle flavor back to lime.,2년 전,0,
@DoctorKindMind,"you inspired many ! you are the best , please play your games with cheese and cakes",2년 전,0,
@AReed030188,I miss the green apple flavor. 😢,2년 전,0,
@Familylawgroup,I really miss Claire's series for this channel.,2년 전,26,
@TheTweetybird1122,Thank you!,2년 전,0,
@timcarbone007,I think the green is changed back to lime,2년 전,0,
@user-wc1vh7ss4e,i miss watching ba,2년 전,9,
@der.Schtefan,def. worth the effort! :) 13 Million views.,2년 전,1,
@Sean-dm6zt,WHY...,2년 전,0,
@wingding7955,I miss this time on the internet,2년 전,100,
@mkime1203,This makes me want Skittles so bad,2년 전,0,
@twothousand8,im so inlove with her,2년 전,0,
@jimmyweeks9013,Brad is a genius he just doesn't take conversations seriously enough to explain 🤣,2년 전,0,
@KaseysYouTubeChannel,I miss this girl😭 Anyone know where she went to? 😭😭😭🙏♥️,2년 전,6,
@danielneira2174,She has her own YouTube channel!,2년 전,3,
@KaseysYouTubeChannel, @danielneira2174  NO WAY!? You know the name??? I would appreciate it!!!!,2년 전(수정됨),1,
@KaseysYouTubeChannel, @danielneira2174  Nevermind I found her!!!!! THANK YOU!!!!!😍😍😍😂😂🙏🙏🙏,2년 전(수정됨),2,
@aagurrego,Remember when these videos were everything?,2년 전,8,
@ambiorixdeseburons4939,This channel used to be so good they ruined it,2년 전,6,
@MrPillowStudios,4:42 she really made a cłït,2년 전,0,
@jerrykinnin7941,People tell me I'm mean.  I think it would be 😎 to take Every kind of Skittle Reese's pieces and M&M  And dump them all into a big bowl.,2년 전,0,
@cookiegreen8297,7:50,2년 전,0,
@cookiegreen8297,6:07,2년 전,0,
@victoriaperezdelara1692,is anyone rewatching this again in 2022¿?,2년 전,1,
@LeeLondon,please! who has followed this recipe? video?!,2년 전,0,
@thethreekids212,They bring back lime!,2년 전,0,
@bo.jagger,12:54 me and uour mom when she and we but and its me your mom when i when i put my when she,2년 전,0,
