username,comment,time,likes,reply_count
@PhilipDeFranco,I'm going to bleach my brain.  brb <3,8년 전,2.3만,
@DarthDesolous,"That’s disgusting. Even if the girls were of age, that’s still disgusting and he is a manipulator. The sad part of it is he knows he is. I hope he enjoys his time in jail because he knows that his behavior was wrong by the correspondence on Facebook.",4개월 전,0,
@charlieminx1368,I believe that the punishment for predators is they have the Genitalia removed.,2년 전,1,
@jakea653,you are a silly fella  i would rather watch that guys videos than yuoe'rs seek hlep,2년 전,0,
@onalos1271,JFC I wish I hadn't clicked on this 🤮,3년 전,0,
@AVGNfan01,"I would 100% die on this hill. Pedo's does not deserve the light of day. Lock them up till they rott, before I get to them.",3년 전,1,
@JohnBlund94,"Why did this get recommended to me today, wtf. A 4 year old video that I saw 4 years ago.",3년 전,0,
@WorstCommenter2008,Thanks youtube for randomly recommending me this.,3년 전,1,
@RashaKahn,Austin was sentenced to 10 years in jail. He’s dancing and spreading his butt cheeks now. Gotta love the irony here.,3년 전,3,
@emilymariedaniel9225,mhmmm and shane dawson and james charles are what :D trending x,3년 전,0,
@dthurley8490,What the hell is going on with this shitbags hair?,3년 전,0,
@devindodge8648,What the actual €*#%? Seriously? That is so messed up,3년 전,0,
@kingsuperbus,this was on my feed today lol,3년 전,2,
@paoleonlopez,Where are the parents just asking,3년 전,1,
@TheNerdAsociation,I randomly got recommended this video today lol,3년 전,5,
@jeremysumpter8939,"This seems like mental illness, extreme mental illness and not just pedophilia",3년 전,0,
@TheyStillCallMeRicky,The damage done by sexual exploitation/crimes cannot be quantified. Generations of families could be indirectly effected by one Trauma. We need to treat sexual crimes as serious as murder. Our kids are SACRED like Human Life.,3년 전,0,
@ConceptHut,Why am I seeing this video 4 years  later?,3년 전,0,
@yookoke112,I was like didnt this guy got arrested like long long ago? Then i realized this video is 4 years ago lol,3년 전,0,
@courtofpublicopinion8189,"Young good looking white boy.  Probably has money..... Probation,....",3년 전,0,
@mikedarling905,cherry cola flavor?,8년 전,69,
@plazticbag,"FUCK YEAH, BITCH!",8년 전,21,
@kobywalker7530,That's what I feel like every time you talk about Alex jones,8년 전,24,
@Dan-xl9zt,Same....,8년 전,4,
@ambushb.monkey6575,Philip DeFranco Why not put in your coffee?,8년 전,4,
@specific3600,Philip DeFranco same,8년 전,1,
@Thottyfreedman,"I know you have a job to do, but did you have to read off the conversations? It was rough to hear. My god I feel bad for you.",8년 전,58,
@ralphanthonyespos9417,I need 6 Qtips to clean my ears of all that filth in the first minutes of the video...,8년 전,20,
@haramonyy6117,"Take me with you, today was rough and I'm hoping your show will keep  me going for a bit! Thanks, Phil!",8년 전,4,
@inferno3080,Philip DeFranco lmaoo,8년 전,0,
@Zince,dye it pink after you bleach it,8년 전,12,
@JoeChristian02,"Philip DeFranco nice, I'll come with alright?",8년 전,3,
@ashishgohil_,Philip DeFranco I have no words for this I am done,8년 전,3,
@thexen,"I couldn't agree with you more, Phil.  What a disgusting pos.",8년 전,11,
@rachelknightonline,Philip DeFranco I love you but this Austin guy Is just as bad as Onision. PLEASE talk about him and the scummy shit he's done over the years,8년 전,19,
@KitKat-te8el,I feel you all the way! I just wanna hug all of the girls that have been victims of this gross fuck <3,8년 전,14,
@azuleslight,"oh, this is going to be FAR FAR worse.....this guy is a predator...",8년 전,16,
@saint1515,Philip DeFranco Same,8년 전,1,
@MitchellHang,Philip DeFranco   ^ me irl,8년 전,1,
@cameronw.2775,Imma bleach my asshole,8년 전,2,
@navonmyhand7999,"+Cam Winter Ohhh, spicy!",8년 전,0,
@quidnick,Philip DeFranco why are we giving guys life in prison for being douchebags? This seems like a couple years max charge. If they were in his physical proximity/ violence was used that would be very different of course. Debate me if u disagree.,8년 전,4,
@mrcurvybanana1060,Well have fun with that. I'ma go blow my brains out.,8년 전,1,
@wavedplays9729,Philip DeFranco am only 14,8년 전,0,
@pedrov7037,can we talk about how lionmaker was acussed of sleeping with underage paige the panda and now shes running his youtube. hmmmm suspicious,8년 전,3,
@MARCOLEONELCA,quidnick he might become something worse if he wasn't punished. The potential to being worse later.,8년 전,12,
@Marinanor,"He's a looker, I hope they don't do the same things to him in prison. Yikes. This is so disturbing.",8년 전,2,
@jasonhostler138,Is bleach strong enough? OMG Disgusting!,8년 전,2,
@TrukPooner,"Philip DeFranco this dude is messed up, seriously messed up. His hair is absolutely terrible, but that beside the point, his obsession with their age and the fact that it's under 18 is really disturbing. This is disgusting.",8년 전,16,
@louisrandolph4153,You know it's a sad day when you have to tell people to not fuck kids.,8년 전,20,
@jse92,Loving the longer videos. I used to get a giddy on when vids were 11 minutes and you go bless us with 17. Yes Phil.,8년 전,11,
@MuricaTurkey,"Philip DeFranco As someone who survived child molestation and rape, the information was personally disturbing, but I am glad you did read them and show video. People need to face that sickos do this. That a 23 year old messing with a 14 or 15 year old is really creepy and gross, despite what some people say. There are way too many people who want to pretend stuff doesn't happen or that this isn't ""that bad"". You showed that, yes, it really is that bad. Yes, it involves grooming and other predatory behavior, and that this is what that behavior actually looks like. We need to face horrors, not trigger warn them constantly or whitewash them, so that people can be in denial even easier. Ugh. 30 years isn't enough for this guy.",8년 전,45,
@MultiLussebulleN,same,8년 전,0,
@darknebulis9430,MrCurvyBanana  bruh LMAO agree,8년 전,0,
@shadowywarrior,"Death.....Just death.....  TBH, i would like him to die...but that would be too harsh...  So i would say far more years in jail....i feel like we do need to make examples of these types of people otherwise nothing is going to change",8년 전,3,
@simongoj,Philip DeFranco I still think it's fucked up that people are trying normalize pedophilia.,8년 전,15,
@thesupertendent8973,"Philip DeFranco: if you have gun control.. It's not just that the ""protectors"" have less guns, but there's nobody to shoot because there's gun control.. Please for the love of God aline facts with logic in this situation.. Saying that the other person will have a gun during gun control (not you Philip) because that's exactly the opposite to what it does.. Restricts people, from shooting other people.",8년 전,5,
@ChrisKingOutdoors,Philip DeFranco There isn't enough bleach to go around for this one...,8년 전,3,
@yudhiadhyatmikosiswono9082,Cyanide always do miracle job.,8년 전,1,
@ChristofAbsolution,"Best quote of all time:  ""Main point, stop fucking kids you disgusting fuck.""  Put that on a T-shirt and I will buy it.",8년 전,13,
@vonveedersound,I have never heard of that Dumpster Fire of a human but I hope he gets to make it clap in prison for many many years.,8년 전,6,
@Leon_Sullivan,"I laughed solely at your use of the completely appropriate title of ""disgusting fuck"" for pedos, and I would support any number of horrendous punishments for these kinds of manipulative predators. That sort of behavior is, at least for me, completely nauseating and abhorrent.",8년 전,2,
@UmbreonMessiah,"Hey, save some for the rest of us, Phil :(",8년 전,2,
@MaskinJunior,"I don't think the stigma around pedophilia is helpful. In my opinion it hurts the victims telling them the crime they have been subjected too is basically worse than being murdered, and it deters non active pedophiles from seeking help. Potentially making them into more predators.",8년 전,4,
@brianmurphy8811,"Jones - Nah, this story isn't over, just wait until he hits prison.  Inmates typically have a whole different set of punishments for what they view as worst offenders.  Rapists, Child molesters, and wife beaters.  Depending on where he goes, he can probably expect to have all of his shit stolen daily/weekly (whenever he gets any mail), likely physical assault, possibly sexual assault, and then whatever the inmates feel like doing to him, just to make things worse.  A <redacted> spent some time in jail, <redacted> would tell me all these stories of what it was like there.  One thing inmates would do is take a dump in your shoes, and then use a plastic bag to push it up into the toe area, so you couldn't see it before putting your shoes on.   That's just one example.  So yeah, Mr. Jones is about to spend the worst possible time you can possibly spend, in jail.  Virginia - I think right now, at this time in American history, we can all agree that political rhetoric/venom, has ratcheted up, and yes, higher than it was during Obama's presidency (This does not mean, that Obama was always treated with respect...that's an utter fallacy, it just means it's getting worse), and I have to say, this act, and the stabbing, etc... are a natural escalation of the rhetoric (At least, I've expected it to go this route for awhile now).  You may think no sane person would go there, but, not everyone is sane.   There are truly those out there who think that just by killing all political opponents, it will solve some problems.  And with the rhetoric getting worse and worse and worse, I don't think it's any surprise that it starts translating into real world violence.  And, until we do start acting like adults, and behaving in a manner befitting the ideals/principles of our Democracy, this will continue to get worse, and we will continue to see more people justifying violence towards political opposites.  Grenfell Tower - I don't really have words for this one...  The footage of that guy really hit me hard.  I hope the best for all the survivors, their families, the responder's, friends and anyone else affected. Utter tragedy.",8년 전(수정됨),12,
@sweetchocolatesecret,Yeah...and I need somekind of medication for nausea because... WOAH that made me sick.,8년 전,1,
@IntrigueAndWhimsy,Philip DeFranco Same,8년 전,0,
@arcadistorias3202,Phillip Defranco Same....,8년 전,0,
@anthonycranston9843,"While I firmly believe the pedophilia is wrong, especially when it harms children, I do believe that we as a society need to make it more easy to get help for it. It is a psychological problem, and some states even allow for psychiatrists to report and get people put in jail just for admitting that they have had thoughts about children, there seems to be no way for people to get proper help for it, due to the fact that everyone around them will hate them as soon as they find out. It seems to be quite backwards to hate something without trying to fix it. Everyone seems to be perfectly fine and feel so self righteous when they talk about how disgusting pedophiles are,even if they didn't do anything wrong. All it does is push these people further and further away,until they feel like they have no escape but the actually commit a crime.      Don't get me wrong though, as soon as they touch a child or anything of the sort, they need to be punished to the fullest extend of the law. These people often were abused children themselves, and need the proper psychological help.",8년 전,17,
@pandapalace11,"Open conversation is fine and all, but kids and pedophilia is a goddamned red line in the sand if there ever was one. There is no discussion about it. None",8년 전,6,
@jedbelmonte2049,You think he is going to get worse charges than Brock Turner or the California Man Who Raped his Sister?,8년 전,4,
@Umbra_Watcher,Cheers,8년 전,0,
@coreyh4156,thegodoflions exactly.,8년 전,0,
@Eanna_JPG,"Philip DeFranco you missed one bit of info about the tenants in the fire. From what im hearing from Irish news, residents were told to STAY INDOORS and open windows incase of emergency. Now, I'm no expert but if I there was there, the last thing I'd want to do is stay where I am and allow more oxygen to reach an already out of control blaze. That's just me though, would love to see what others think.",8년 전(수정됨),4,
@PresidentDrPeper,Philip DeFranco yo I thought that the story was going to involve 17 or 16 year olds not 14 year old kids,8년 전,0,
@richardgibs701,they are suspecting the new cladding for the spreading of the fire,8년 전,0,
@yuothineyesasian,Philip DeFranco HAHHAHAHAHAHAHAHAHHAHAHAHAHZ!,8년 전,0,
@ILoveAnime1121,"I passed by the crime scene on my way to my therapist! My brother was in the car too and we saw the road closed off, and thought it was just construction or something. i thought it was bigger because there was a police car and camera crews, but didn't hear about what happened til I got home.",8년 전,2,
@PierceArner,"Man, today was just stuffed with gut-wrenching and stomach-turning news. Thanks for helping us get through it, man.",8년 전,1,
