username,comment,time,likes,reply_count
@AbroadinJapan,"NOTIFICATION SQUAD: Where'd you want to see Natsuki and I travel to next?! We're hoping to do more of these excursions throughout 2021! And a special thanks to Sharla & Shiori from Tokyo Creative who came along on short notice to help us film our journey. They're lurking in the background throughout the video. I have to say the Tottori sand dunes exceeded my expectations, and I'd love to re-visit the region if not to explore, then certainly to shoot NATSUKI OF ARABIA. (ALSO stick around the for the outtakes right at the end of the video 😂).",4년 전,4.1천,
@plaguedoct0r,...But it's just a pile of sand?,2일 전,1,
@JibberJabberWithJim,How does Natsuki look so young???,1개월 전,0,
@TheHorzabora,Sleeper trains are the best.  Even if they take you to the set of Dune and leave you to the worms :-),3개월 전,0,
@Tonnimon_Games-se6op,this was my first abroad in japan video i saw. and i became i fan then and im still here now,4개월 전,0,
@floatinsun,Amazing train 😅,5개월 전,0,
@Jonathan_M59,You should name one of the LOST bar drinks “Magic in the water” if you haven’t already.,5개월 전,0,
@Nathalieleblanc-j9n,"I'm taking that train in May, it was lovely to get a nice preview like this. Loved the video!",5개월 전,0,
@bblairwich,"""You're better off facing the wall blow against it"" lol.",5개월 전,0,
@jessicaluchesi,KURISU... HOW... THE FU$%... DID YOU MANAGE TO SPEND... ICHIMANYEN... ON SNAKCS FOR A SINGLE NIGHT????  I would barely on Kombini real food spend 1500 yen FOR A NIGHT :/ OMG!!! EXTRA SALAMI IS EXPENSIVE!!!  lol,6개월 전,0,
@theaveragejoe5781,Camels seem so friendly. Is it just me?,6개월 전,0,
@brcoutlook1482,I'm coming over in November with a good mate and you'll find us at lost waiting for you guys to join us with that magic cheese of yours Chris lol,7개월 전,0,
@UnkaSamTX,Team Taksuki,7개월 전,0,
@Johnnythefirst,This is so much better than the shitty sleeper trains we have in Europe.,8개월 전,0,
@NinjaRabbitpro,In America we'd be riding dirt bikes out there daily.,10개월 전,0,
@henning_jasper,Love you 😘,1년 전,0,
@mothiest-man,"It's very sweet how, in every video with Natsuki, it's clear he's picked up sine aggressively British phrases fron Chris. Like ""Good man"".",1년 전,1,
@Couchienz,Where's your boogie board for sliding down the sand dunes?,1년 전,0,
@TomCollins-c4h,Japan is so amazing wish I could go there.,1년 전,0,
@lorekeepermeerah,"Natsuki is such a treasure. Thank you guys for making content, your videos always brighten my day",1년 전,1,
@jogrimes,Hey dave !,4년 전,28,
@saoirse2175,"have to say Chris, the videos just keep getting better",4년 전,57,
@zarach11,How about the extraordinary sleeper coaches next time?,4년 전,17,
@grandmasterjunaid1471,The US to find the grave once and for all,4년 전,17,
@dedasdude,Hello,4년 전,1,
@Seiberus_,how about wherever YOUR favourite place is,4년 전,43,
@kevinhildebrand6245,Somewhere scary.,4년 전,10,
@knightwing7672,Do another journey across japan,4년 전,5,
@jinxchiaki9289,"Please dress up as maids and go to a maid cafe like Connor because it would legendary. On the other hand, Himeji castle and Kiyomizu if you haven't been there yet!",4년 전(수정됨),17,
@Joe-eq8dx,Nightmarkets!,4년 전,22,
@ryanstorm7050,I'd love to see you guys do a series on some of the comedy acts around Japan specifically  Most of all anything of any of Gaki no Tsukai.,4년 전,7,
@yourbestinfluence,I would love to see you go to the darkest place in Japan during the new moon to shoot the milky way and look at the stars! Japan is full of light pollution but there are little pockets of dark areas that I would love to see,4년 전,10,
@RiversEagle_,"I think some of the less popular islands would be cool such as; Naoshima, Shikoku, Tsushima, and Miyajima. Also would love to see you and Natsuki go skiing or something up in the Japanese mountains.",4년 전(수정됨),17,
@kashvik7499,"Go to another haunted place, those are peak entertainment",4년 전,4,
@-A-c,Explore the gaming arcades while they are still around,4년 전,3,
@clarebyrne3586,Do something like Race across the World except it's Race across Japan. Pick a destination. Have 3 teams of 2. First couple there wins. And you could make rules such as no planes or bullet trains. Each couple gets a limited budget and no smartphones are allowed. JAJ: The Race,4년 전,19,
@pustepuste540,I'd love to see more Sharla and Natsuki in your videos! Perfect trio 🔥,4년 전,11,
@AbroadinJapan, @Seiberus_  FAMILY MART IT IS,4년 전,145,
@sanskriti8740,Some part of Tokyo ig?,4년 전,0,
@coffee9172,You should go to Fuchū Prison!,4년 전,2,
@requiem165,Abroad in a pan,4년 전,4,
@requiem165, @AbroadinJapan  fr,4년 전,3,
@requiem165, @Seiberus_  lol,4년 전,1,
@dragonsmith9012,"More train videos, kudasai.",4년 전,0,
@rodney7780,This quick vlog style video video is awesome. 15minutes of pure entertainment. Japan is so unique I love how contentious the people are. A very special place.,4년 전,4,
@Shiroar,Bring Natsuki when you take Pete to replace his periscope 😂,4년 전,1,
@Seiberus_, @AbroadinJapan  sounds like fun,4년 전,2,
@mimilove9722,Winter is coming so maybe a tour around the best/weirdest/most underrated onsen? Or a video on the different expat communities that live in Japan?,4년 전,6,
@apefu,"So.. I naturally ask myself: if there is another sleeper train, where does it go?",4년 전,2,
@MrOfigenko,Sakhalin please! :),4년 전,2,
@LosCarlos5678,Would be lit if you went to the Ogasawara islands,4년 전,4,
@Eric-sy1xu,"Chris! Could you do a vid on Sumo wrestling & some of the bits? So like in November there's the Fukuoka honbasho, it would be Super cool if you did something relating to Sumo 🥳🥳 I recently got Really into watching the coverage on YT from like people like Chris Sumo and Jason's All Sumo Channel and Sumostew, I think it's just The Tops and it would be Grand if you were interested at all 🥳🥳",4년 전,3,
@morioh_cho_8595,Definitely to that weird place from JAJ 2,4년 전,0,
@SisyphusOnBreak,Adachi Museum of Art Gardens!,4년 전,2,
@Nynke_K,"Ah, Norm was there! That explains the 360 camera :)",4년 전,1,
@gman-vg8ly,Maybe Kyoto?,4년 전,0,
@xamuchixxi8675,Natsuki is so wholesome ✨,4년 전,0,
@xamuchixxi8675, @kevinhildebrand6245  ooooh yasss 👻,4년 전,0,
@diodelvino3048,Castles and Cliffs in Fukui,4년 전,2,
@Ultrajamz,They say the ghost of filthy frank haunts the night trains,4년 전,0,
@ericrinehart477,If you know ya going for a full train ride on the sleeper train best to bring earplugs or headphones to cancel out the sound,4년 전,1,
@naydenov.nicola,Can you go to a traditional mountain village that specialises in making katanas or like metalware in general? Would love to see that.,4년 전,4,
@mylifee449,Did u get the sleeper train back to Tokyo and did u have a better experience ?,4년 전,0,
@masterz7201,Go to the Nagoro Doll Village it is a town with only a few people and a bunch of dolls.,4년 전,1,
@frankthetank6339,More time in like a Osaka,4년 전,2,
@neanight222,"This almost felt like a ""Journey Across Japan"" episode! Loved every second of it! Also I love the music you used after arriving when the sand dune was shot, you used this track in previous videos before and I always love it, it just sounds like an epic movie soundtrack, it's so beautiful! 🤗❤ Always love adventures with Natsuki and seeing him having a good time is just super fun. Also thanks Sharla and Shiori for being amazing camera women! 🙌",4년 전,4,
@frankthetank6339,Japan’s garbage system is interesting and I’d like to know where it ends up. I bet it’s all stacked super neat and just stinks of efficiency and precision.,4년 전,3,
@dumbbellenjoyer,"You should get one of the overnight ferries! You can go from Tokyo to Sendai fairly easily, or Sendai to Hokkaido",4년 전,1,
@sic5141,Can you try doing some weird foods? I think the reactions would be very funny,4년 전,0,
@sophiesteele2106,I want to see you guys go on a deep sea fishing trip because I enjoy seeing you in pain 😃,4년 전,0,
@Cr1x,Tsushima!,4년 전,1,
@TheRealWatterx,America on a super first class japanese plane,4년 전,0,
