username,comment,time,likes,reply_count
@mateivisalon,TAMAS,7시간 전,0,
@mateivisalon,INVIDIE,7시간 전,0,
@mateivisalon,DIFORM,7시간 전,0,
@DanielNunes-s6m,MEU  IDOLO  EU AMO O BASKÉT,1일 전,0,
@DanielNunes-s6m,MEU.     IDOLO. AMO. O.   BASKÉT,1일 전,0,
@DanielNunes-s6m,❤,1일 전,0,
@DanielNunes-s6m,❤,1일 전,0,
@DanielNunes-s6m,❤,1일 전,0,
@DanielNunes-s6m,❤,1일 전,0,
@DanielNunes-s6m,❤,1일 전,0,
@DanielNunes-s6m,INCRIBLE,1일 전,0,
@Mekuska,Hes d 🐐  at all times,4일 전,0,
@sebastiankamkowski4985,Legend,6일 전,0,
@KtośInny-k9l,PPL don't see propa but after MJ u can't find a guard or sf who was as FAST as MJ... MJ was a like a car from F1,6일 전,0,
@emrecck,🐐🐐🐐❤,9일 전,0,
@الهام-ف7ط,❤❤❤,13일 전,0,
@FrankieFrenchy,Self inflicted,13일 전,0,
@FrankieFrenchy,"CHICAGO PACING AND PACING AT THE FRONT OF THE COURTS COMPLAINING THAT: ""EVERYONE IS INVOLVED""",13일 전,0,
@KeidrickGT,He is a legend !,2주 전,0,
@JoshuaPosadas-t1s,0:28,3주 전,0,
@BoomBapBellic,this human is not normal he is relentless,3주 전,0,
@Trabitrazie,He is a beast 🎉😂❤,3주 전,0,
@TomaKinez,jordan king serbia,3주 전,0,
@Keith-hc9js,Id thefts dany Taylor Lesley Bartlet of lake Alfred intricacy are blackwater hard left others are wanted Volusia county Orlando four door buckeye 30 Street last address tiger eye court Humphrey etc aka holly Jim pope etc Jim Davis .etc Davenport Florida by way these are a group are African ancestry not American or are playing forien or are intermix of shore . carful of actual interactions of early year  Prety dangerous  If we meet up again would like catch plane ride with address are around the fed x shooting receiving etc in desguises on stilts thing is these guys map areas with similar aperaing height's age etc other made mistakes following these are from years on Orlando Florida St cloud Providence of Alberta Kissimmee Florida mostly with relatives in UK Canada etc idiots if thefted my business and law enforcement helped them then charged me my family I owners operator Klaus's aka Kellogg's and few other grains wheats etc took over six years burn all our cropland down not te opening wasted effort especially with sleech mc Donald's pursuing cargiver and three others fore a none existent client hope sonsabitches starve to death ours was vast enough to make impact big James bad news great skin other colors involved same hit emmit Smith brown few other,3주 전,0,
@XaoaMzaak,Τής πλάκας παίκτης ήτανε ο Μαικλ Τζόρνταν δεν μου αρέσε καθόλου 🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,3주 전,0,
@danielplainview2360,2:17 MJ made Barkley look like he fell off a ladder.,3주 전,2,
@elliottnenemse1334,Who is watching in 2025?,3주 전,1,
@633Matt,Jordan born and raised Christan you can do all things through Jesus Christ,4주 전,0,
@LearnToWin9683,Michael Jordan’s mid range game was one of the greatest things to ever happen for the game of basketball.  Real talk 💯,4주 전,0,
@RonMoney-f8c,U right,1개월 전,0,
@fallen2fearless,This is THE example of a very strong will to win and an unbelievable drive to compete! Simply the GOAT! 🐐,1개월 전,0,
@ELO-n4y,"MJ often left his opponents dazed and amazed, at his jaw dropping defying gravity.",1개월 전,0,
@samsonmubanga8596,He inspired the world everyone wanted to be like him.,1개월 전,0,
@XaoaMzaak,Τής πλάκας παίκτης ήτανε ο Τζόρνταν δεν μου αρέσε καθόλου αυτός ο Μπασκεμπολιστας 🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1개월 전,0,
@bolvan217,The greatest icon in sports history,1개월 전,0,
@nightquick5543,Yessir 🔥🔥😎,1개월 전,0,
@erickufeketaerickufeketa5341,2025here like,1개월 전,0,
@XaoaMzaak,Τής πλάκας παίκτης ήτανε ο Τζόρνταν δεν μου αρέσε καθόλου αυτός ο παίκτης 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢,1개월 전,0,
@sammo3969,"Now, I really am convinced he's the GOAT.",1개월 전,0,
@mariapilargarciacoll7612,Simple the best,1개월 전,0,
@michaellynch8709,"LeBron has a case for sure. If he gets another ring as an elder. Sure.   Right now, MJ still the GOAT",1개월 전,0,
