username,comment,time,likes,reply_count
@bigthink,What ways can you think of to become antifragile?,3년 전,2.3천,
@jesussanchezherrero5659,"Depends on your working definition of ""happiness"". Check out Aristotle's and how he ties it to the pursue of ""virtue""",10시간 전,1,
@SICRoosterKido,Real,20시간 전,0,
@WarzoneTales,"In the long term, we are all dead, as we are for most of the universe's lifecycle. One has to try to be more grateful for this gift and give tribute to it by fighting for a happier life, if he or she isn't already.",3일 전,0,
@KarlTheKonrad,"Idea: get rid of expectations - Problem Solved, happy life",4일 전,0,
@henrybug2827,You know whats crazy. I’ve watched this video once and forget the substance entirely,4일 전,0,
@shawnburnham1,4:00,6일 전,0,
@gislainelee3181,This is the essence of Islam,12일 전,0,
@jimdanial5735,Similar to Arthur Brook’s framework.,2주 전,0,
@FoolViews,Golly. Great pictures too.,2주 전,1,
@DillWhiteWater,"where there is happiness, there is sadness",3주 전,0,
@PsyenceUp,"I like the bodybuilding example, it's so true!",3주 전,0,
@Microbubbles683,Life is suffering. Choose a suffering that is worth bearing…,3주 전,0,
@offnl_,I find it incoherent,3주 전,0,
@dynamicgecko1213,I just came here to say antifragile is a ridiculous word,3주 전,0,
@rhian3175,This comment section is so powerful 🎉❤,3주 전,0,
@nguyênnguyễn-b7l6l,"well, your channel seems to really attract me, but it would be much great if you make it more specific",4주 전,0,
@гонин,"Happiness is byproduct of function, purpose and conflict, those who seek happiness for itself seek victory without war.",4주 전,1,
@SurnameName-q5c,"What really blows my mind is how little curiosity people have when it comes to manifestation and the deeper mechanics behind it. Most folks are satisfied with the recycled 'think positive and visualize' narrative — which, sure, has its place — but that’s just the surface. There’s a whole architecture of laws and principles underneath that most never even touch. The fact that so few have heard of Luna Rivers, someone who spent years decoding this hidden structure and laid it all out in Manifest the Unseen, says everything. People aren’t necessarily lacking potential — they’re just not willing to question beyond the obvious. And that comfort zone? It’s costing them their freedom.💰✨",1개월 전,195,
@DeepakSahu-o9e,"""A human with purpose is highest form of life.""",1개월 전,0,
@ZYX84,"Well, if you can’t fix it… At least you can laugh at it… Wink wink… always consider the source of where your feelings are coming from… Before you talk or even think of talking… Assess yourself & then express yourself! That’s pretty good huh!",3년 전,277,
@bink865,Live on a very low budget for a while,3년 전,307,
@abhayverma4715,By accepting that pain is a part of life and we can't eliminate it. By learning to deal with difficult situations in the most positive way possible.,3년 전,269,
@Ibrahim-jy5js,"Putting a definition for happiness makes it limited. Everytime you get happy, you compare it with your definition which makes you less happier.  Human mind is a mix of self thoughts  and thoughts from other people around us  To become anything you need to change these thoughts, by: 1. Practice saying good things 2. Prove to yourself, you have good things in life 3. Lower expectations, your happiness is not what you think it is. We know the meaning of something if we know the opposite of it (Happiness vs. sadness) 4. Be Convinced that people you see on social media are not happy as you think they are. 5. Delete social media or use it properly and follow people who share knowledge not their life",3년 전,207,
@BlackMita,Engaging this terrible video.,3년 전,44,
