username,comment,time,likes,reply_count
@Ashleyree,2:03  67,5시간 전,0,
@PricelessInternational,Priceless 🤟🏾🤟🏾🤟🏾🌹🌹🌹❤️❤️❤️,15시간 전,0,
@Tehreemfatimaashraf,Am come from facebook,2일 전,0,
@achiever7025,Seven Deadly Sins of Speaking: 1. Gossiping 2. Judging 3. Negativity 4. Complaining 5. Excuses 6. Lying 7. Dogmatism  H - Honesty be clear and straight A - Authenticity be yourself  I - Integrity be your word L - Love wish them well  Toolbox: 1. Register 2. Timber 3. Prosody 4. Pace  5. Pitch  6. Volume,3일 전,6,
@mrinnocent1115,Who come here from Instagram,3일 전,0,
@YoloRam,Who All came from Pinterest,4일 전,0,
@Gunnn-hb9wh,"""People prefer to listen voices that are rich , warm , and sweet just like a hot coffee. """,4일 전,0,
@iqraansari4821,Anybody in 2025?,4일 전,1,
@ixv2v,Who comes here to prepare that speech for the exam.,4일 전,0,
@edut1653,No está en castellano? Aunque sea con subtítulos 🤷🏻‍♂️. Thanks! And Aúpa Alavés 💪🏻💪🏻💪🏻,5일 전,0,
@A.sharan-i6e,😂😂,5일 전,0,
@A.sharan-i6e,I,5일 전,0,
@Mushfiq-t2h,I became a good Listener rather than becoming a good Speaker after watching this video 😀,5일 전,0,
@FactableAkash0,Instagram wale,5일 전,0,
@HarmainSalahkhan-d9k,Bilkul,5일 전,0,
@positiveallthetimes5902,Who is listening September 2025,6일 전,1,
@HwksbsuJshfsjsg,Tolong terjemah bahasa Indonesia ❤❤❤❤❤❤,7일 전,0,
@Mrnilesh14,😂,7일 전,0,
@Aishwaryakhatri09,👏,7일 전,0,
@brinleystringam9495,"Ok sooo if I struggle with the negative one(of the ""7 sins"") Any ideas??? Like it is bad!!!! I am also just negative in everything!  SPACIFICALLY MY THOUGHTS!!!",7일 전,0,
@E-abc-q1f,7:50 how to turn ceo's into children. professional children of course...,8일 전(수정됨),0,
@huyisme,Phụ đề bị sớm hơn hình ảnh khoảng 9 giây. Các bạn Truc H.Le và An Walker có thể sửa được không? Dù sao cũng cảm ơn các bạn rất nhiều!,8일 전,0,
@AynurHalmyradowna,Vidyoyu izlerken yorumlara bile bakamadım.o kadar sardı,9일 전,0,
@Chimesphere1200,Chat does it work?,9일 전,0,
@elifpnarcop6568,I have nothing left to talk about,11일 전,0,
@ArumitaNandi,"The seven deadly sins of speaking 1. Gossip 2. Judging 3. Negativity 4. complaining 5. Excuses 6. Embroidery/Exaggeration - lying 7. Dogmatism - confusing facts with opinion   The four foundations  HAIL - Honesty, Authenticity, Integrity, Love  What affects your voice  Register, Timbre, prosody, pace, silence, pitch, volume",12일 전,0,
@PritikBandera-ky4gt,Is there anyone from india ❤,12일 전,0,
@user-vi8yr9fh4n,"Mass media video. The multilayered context of interaction is reduced to primitive ideas, which I believe degenerate into collective sentiments, hindering development.",12일 전,0,
@Sstudent__04.,Thank you so much 🙌🏻✨✨,12일 전,0,
@danial6869,Anyone 2025?,13일 전,0,
@ZahraAbd-l4k,That is funny😂,13일 전,0,
@Jennifer-nf7df,❤,13일 전,0,
@gayanzone31,Is that place of ballen dor ceremony,2주 전,0,
@Yemen11000,What level this Video,2주 전,0,
@SAXOBSODIQOV,This is my dream speaking accent😮❤,2주 전,1,
@jamied2082,"I’m a teenager and as most people may know ,teenagers judge a lot and they like to talk about gossip and complain about stuff ,I want to apply these techniques to my life but I feel like if I do I will be considered boring and weird, so I’m not sure what I should do, can anyone give me advice?",2주 전,0,
@Satyamgaming_123-45,Exactly,2주 전,0,
@silvanabrambilla4805,"Muy mala traducción al inglés, es mejor escuchar al disertante y no prestar atención al subtitulado, que no tiene que ver con lo expuesto por el panelista.",2주 전,0,
@AbyeiUnion,Bro truly poured his heart out on this topic,2주 전,2,
@palakshrivastava1307,I love the way of delivering such a powerful speech. I became a huge fan of you. Would you provide training also??,2주 전,0,
@itaxchi_444,Yeahhh,12일 전,0,
@raviontrip,I’m listening in 2025,2주 전,1,
@ms_0308,Who is watching in 2025😅,2주 전,3,
