username,comment,time,likes,reply_count
@wsg1231,brah I didn't play this to have nostalgia for it yet feels like my childhood,13일 전,2,
@maleficco,how the f are doom bots from 11 years ago better than this years version,2주 전,3,
@JohnFarmFP,"dam, it's really 11 year :face-purple-crying:",2주 전,1,
@NguyenPhong-rw9bh,dont know why this get on my news feed but this is definitely good old time to look back,2주 전,0,
@dimsumgor,YouTube’s recommendation algorithm brought me back here after watching Veigar Doom Bots 2025.,2주 전,2,
@furo822,Cinema,3주 전,2,
@KevinJohnStoney,weird how this got recommended to me right now,4주 전,11,
@HieuNguyen-yx3pe,Old doom lux is better than new doom lux. Old lux make u cant hide a root,4주 전,0,
@caesaaar,What?,1개월 전,0,
@zn4everreee,Here we are once more.,1개월 전,0,
@0-Sven,2025 ?,1개월 전,1,
@48kuroko,Doom bots have returned but these guys aren't around anymore 😢,1개월 전,1,
@phongpham226,why that video in my recommend video ?,1개월 전,2,
@fubukichun2688,Good old days,1개월 전,6,
@Arahan96,This got recommended to me now. I aint complaining,1개월 전,5,
@qniquu,lmao y'all were so young back then.,1개월 전,0,
@noumafantasyy,dün gibi hatırlıyorum bu anı vay be oyunun grafiği bile çok güzel,1개월 전,0,
@kibeschannel8590,Doom bots are back ❤,1개월 전,0,
@Iøwkeyy,Haven't played league in a while but the comeback of doom bots makes me want to come back too,1개월 전,0,
@apocc116,Bring back doom bots!!!,1개월 전,0,
@horyss5496,"Nowadays, they dont rly care about the players like 11 years ago..",13일 전,0,
@oyunlariseviyoruzfatih,me 2,3주 전,0,
@ciitrix3529,I miss this play mod so much. I wish it had come back with this version rather than a pointless boss fight at the end of the game... A wink to Teemo and Veigar,1개월 전,1,
@casscauu,why is this recommended to me after 11 years?,1개월 전,0,
@TrueShadowMR,and now they return😈,1개월 전,0,
@Cavalier_1,Why did I get this suddenly recommended ???😂,1개월 전,2,
@toanluuuc7655,We are blessed,1개월 전,0,
@mertanl2970,Back when Riot was not a chinese company. I really missed these days...,1개월 전,2,
@VanillaDesu1,aaaaaaaaaaaand they are back,1개월 전,0,
@Tin_Tran39,See you next patch,1개월 전,0,
@meteidac5913,Dont worry you are not the only one youtube recommended this. See you in the next patch figthing Doom Veigar.,1개월 전,23,
@tonytony2276,doom bots are back!,1개월 전,0,
@sswwaaggyyzadar,It’s crazy that this was recommended me after I watched doom bots for the first time,1개월 전,0,
@JustDanceTWRyanStarrr,"29:54  Did he just ignore that pink ward? God, he's like the LCS pros",1개월 전(수정됨),1,
@gachi_ricardo,DOOMBOTS ARE BACK BABYYYYYYY,1개월 전,0,
@pinguru7384,Who came back for doom bots 2025?!,1개월 전,10,
@F1REPROOFED,I came here after the annoucement,1개월 전,17,
@cjalmighty,"Phreak @ 19:12 ""This is going poorly"" LMAO 😂",3개월 전,0,
@WhozMimzy,"Bring back doom bots, it was fun.",6개월 전,2,
@Fifthless,I really missed the good old days 😭,1년 전,3,
@gasury8927,before tencent,1년 전,4,
@allexgabriel8760,Fun video,1년 전,0,
@El9ahweji,hahahhaha,1개월 전,0,
@Physsiallis,"So, what do you guys think about new doom bots ? Personally, I wish I could play this old one...",3주 전,0,
@kyanbiddle,i have amazing news bro,1개월 전,1,
@CH_Guild,"they did, they bring it back 🔥🔥 (give me any signs that you still alive)",1개월 전,0,
@Iceyy64,This was the greatest thing ever in todays league this would be phenomenal,1년 전,3,
@MinhAnh-zy1ix,We need this back,1년 전,3,
@mnyesil,they got no body in the audience why do they add voices and acts like hat throwing into the crowd. SO cringe.,1년 전,0,
@ryanmoye6951,so after seeing this ive leaned where the neeko ability came from,1년 전,0,
@TheBaTmaNWHOSmilez,Bring this sh it BACK!!,1년 전,6,
@SirCatbeard,hope they do a showmatch like this but with markz and flowers. the engery would be crazy,1년 전,0,
@kevinjude22,2023?,1년 전,4,
@andreassenju8528,funny how the mid bushes are the new season's update XD,1년 전,0,
@realBillyjones,Just bring this back.....,1년 전,0,
@pauldangvu9720,Notice how the game is 30 minutes long and people are still having fun instead of today's where everyone is just queing up 15-20 minute game modes and just mindlessly spamming abilities and going next asap. This was when league was a chill game you could play with friends for hours instead of sweating profusely and mashing buttons being tilted asf.,1년 전,1,
@mateszucs8192,freddy fazbear,1년 전,1,
@nhattruonghuynh8485,lol,1년 전,0,
@ChesterBunglay,Bring this back.,1년 전,1,
@SlayerMasterKaty,bring back the doom bots,1년 전,1,
@WhatTheGame,God i miss this,1년 전,2,
@rvalent9366,Doom Bots when,1년 전,1,
@akinamori1615,Cant imagine what Karthus would be doing in this fight as Doom Bot.,1년 전,0,
@DBasedAlex,"I can’t believe they got rid of Dash, Zirene, and Riv Some of the most passionate people this game has ever seen",1년 전,0,
@g1Tron,I miss when Riot was actually an indie company,1년 전,1,
@Demonic-i9j,I miss this,1년 전,1,
@Dubstequtie,It's back!,1개월 전,0,
@BigBadBatch,it was like a private event for their staff and for our entertainment. not everything has to make sense in life just enjoy it :),1년 전,5,
@Dubstequtie,"IT""S BACK!!!",1개월 전,0,
@Dubstequtie,It's back! :D,1개월 전,0,
@Dubstequtie,ITS BACKKKK,1개월 전,0,
@ChesterBunglay,⁠ @Dubstequtie don’t do that to me,1개월 전,0,
@Dubstequtie, @ChesterBunglay  I promise! Go look! They're coming back!,1개월 전(수정됨),0,
@Dubstequtie,The doom bots are back!,1개월 전,0,
@Dubstequtie,NOW!!,1개월 전,0,
@CharonsObols,Bring it backkkkk! :(,1년 전,1,
@madeonearthbyhumans,hoho,1년 전,0,
@jbo8546,We need this game mode or TT back for the og gamers. I’m not referring to team fight tactics.,1년 전,1,
@lolb4udie,Back when Riot was in it's golden era,1년 전,2,
@pizza7368,i want to enjoy league again like this,1년 전,1,
@BigQuadsOnCampus,interesting 🤔,1년 전,0,
@enisif50,Please bring this Mode (and/or Oddysee) back O-O,1년 전,1,
@jazzybeatss5960,9 years ago,1년 전,1,
@NeeL-ZzZz,this came up reccomended in 2023. bring back doombots,2년 전,5,
@JonKronbach,I'd rather play the fun modes than summoners rift.  I wouldn't have quit playing league if they had left the fun modes available,2년 전,0,
@BakemonoHunter,"RITO Please bring back Doom Bots, i'ts been too long... :(",2년 전,0,
@Brian-bb9bl,Bring this back!,2년 전,1,
@rosarenmisaki1676,In Wild Rift I so saw a few doom bots and I had no Clue at all why they shown up and I was playing Arcade Ahri XD,2년 전(수정됨),1,
@stackcryptofromnothing8922,they stopped this and urf because everytime the event ends long time players quit more often than if it didnt get put in at all bc the huge dopamine releases then getting cut off,2년 전,1,
@SinkroHrvatska,when Riot actualy cared About player Base lol,2년 전,0,
@OneOfTheLoveless,Seems like an average buggy ranked game to me.,2년 전,0,
@BobombGaming,"Wow, what a cool and exciting game mode! I'm sure Riot Games will reuse this fun mode for many years to come :)",2년 전,96,
@fragarach,I miss the fun modes. And I miss Dash already.,2년 전,1,
@zacksterxenres8589,I Got This Is Recommendation And Its Good!,2년 전,0,
@guti_____v1232,Bring back doom bots,2년 전,1,
@Dubstequtie,It's backkkkkkk (:,1개월 전,0,
@Dubstequtie,Come back and do so! Cause doom bots are back! give it a shot again feel that fun,1개월 전,0,
@Dubstequtie,It's back! O.O,1개월 전,0,
@enisif50, @Dubstequtie  i just saw the video. my jaw is still on the floor and holy moly i was never this excited in years. Thanks for letting me know !,1개월 전,0,
@wnazgul,poor you,2년 전,0,
@Dubstequtie,"Too long indeed, that's why they're back now!",1개월 전,0,
@grimnir2142,brings up the question why they would remove events in the first place if they are that popular,1년 전,0,
@phytus18,they revived it once and back to the grave it goes XD,2년 전,2,
@cristofp, @phytus18  its back,1개월 전,0,
@Dubstequtie,It's back!!!!!,1개월 전,0,
@guti_____v1232,​ @Dubstequtie no way,1개월 전,0,
@CH_Guild, @guti_____v1232  yes its back again i can't believe that they did really bring it back,1개월 전,0,
@ryanparina1380,when you were a kid and didn't have to care about money..,2년 전,6,
@pedalatadabqgat,"You will never be this good again.  And it's not because you can't, you just don't want it.",2년 전,1,
@VanillaDesu1,i wish they come back,2년 전,1,
@BobJason1,They should bring back doom bots  “ DOOM BOTS: RETOLD “,2년 전,1,
@twofacehardy9234,New Champions today be just like that,2년 전(수정됨),1,
@nicobao489,When lol was a good game...,2년 전,3,
@DThRe,Strange that this is what I get recommen ded,2년 전,1,
@longnguyen-fm8sf,"Bruh this video just came from Youtube Recommend for me, miss the old LOL",2년 전,0,
@Mockermay,Those days... so fun 👴,2년 전,3,
@themodernking384,i was going to say ping his flash but you couldnt back then hahahahahaha,2년 전,0,
@katschrodinger1293,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2년 전,0,
@puffxz,wheres my doom bots rito gib it bacc,2년 전,1,
@Pandoraboy23,"bring back doom bots, rito pls",2년 전,6,
@rhen4610,i miss doom bots. Odyssey was the peak game mode,2년 전,2,
@phrmir,확실히 요즘 라이엇은 나태해진 것 같다,2년 전,0,
@meep-4272,All that left is just selling skin now....,2년 전,1,
@meep-4272,Aint fun like this anymore sadly.....,2년 전,0,
@林-s8z,now RITO just selling more and more skins,2년 전,1,
@YourName-gg2hf,The time when NA LCS was entertaining as f*** . Now it's 2023 and LCS is dying. Help,2년 전,1,
@weijeff9837,Good old days,2년 전,0,
@Yvsdaddy,Stopp 😭,2년 전,0,
@iWhyYT,and they are back!,1개월 전,0,
@michael_vizcaya,Seeing Jinx Lulu here is so funny. Still one of the best bot duo today,2년 전,1,
@dragunov99cc,so this is on everyone's recommended again?,2년 전,20,
@annaxuldraugworc7832,"This is one of the most unfair game mode ever created alongside teammates ranked queing , but at least this one is fun",2년 전,3,
@MatheusLima-tk1kk,SDDS,2년 전,0,
@yesuahjirahlorenzo3388,BRING THIS BACK GODDAMANIT,2년 전,2,
@duyhungnguyen6810,Rito bring it back pls,2년 전,1,
@renatoarrieta3517,pretty shure riot made them win,2년 전,0,
@sigma_hk,This is the Riot i loved,2년 전,3,
@drakina9790,youtube suggested me this video.. after 8 years lol..😂😂😂,2년 전,2,
@TheOneWhoGivesUp,Im glad i beat doombots even it's only one time.,2년 전,0,
@pizdaloverbby,LEAGUE PEAK,2년 전,1,
@Luna-wk7kf,"Ah, back when League was actually fun.",2년 전,1,
@masterlplays4439,I hope this will also come to wildrift,2년 전,0,
@zhen1299,BRING BACk DOOM BBOTSsSS,2년 전,1,
@TheMrMister01,"My god, Dash was so young",2년 전,2,
@BenchSung,🤔🤔,2년 전,0,
@tsanghoyeung,I want to play this one more time!,2년 전,2,
@pingu_nootnoot,"I can't believe there are no recent comments on this, but RIOT BRING THIS KIND OF EVENTS BACK! SOMETHING FRESH",2년 전,2,
@KiwiKiwi145,Back when Riot cared about the game and not just money,2년 전,4,
@stormrunner3358,Back on the days when Na was fun. Ah long no see,2년 전,1,
@sswwaaggyyzadar,Yes,1개월 전,0,
@Shirokroete,It's always been about money they just realised they don't have to invest as much to make the same amount.,2년 전,2,
@berlin5895,"best game mode in LoL history, sadly LoL care more about making music and skins now",2년 전,2,
@schweinsteiger7516,what an amazing map,2년 전,7,
@G42Shady,"RIP Dash, you will be missed, riot is stupid",2년 전,14,
@Solid_Fuel,dash babyface? pog!,2년 전,2,
@valentinriedel7301,RETURN THIS GAME MODE,3년 전,5,
@yudoball,2:19 lee sin instalocked,3년 전,4,
@darkhime7005,I miss doom bots,3년 전,3,
@tagginondawal3961,"I miss this mode. This version was my fave. I know they had the demon temmo version, but that wasn't as fun.",3년 전,5,
@sasanqua6537,Why is this recommended to me now? To cry from memories?,3년 전,2,
