username,comment,time,likes,reply_count
@Tomorrowandtomorrowandtomorrow,"THAT'S your problem with Neo? That there is a gap in their marketing communication? What about using technology to create a brand new SLAVE CLASS of humans who control the robots? No problem with that, my guy?",6분 전,0,
@ДиасСейдали,"Роботы Китая лучше, они танцуют и двигаются как люди. США отстали от китая",57분 전(수정됨),1,
@MrBowdown234,"Whats crazy about the stuff you talk about like it needs to be able to learn, what and how to do certain things, there an app called worksmart thats used for side jobs and a little after the release of the robot ad, job postings started popping up where you can record yourself doing chores for ai data research",4시간 전,0,
@kentrader2489,It has to get the real world experience to have enough data to be efficient. I might consider this when Version 3 is hitting the market.,6시간 전,0,
@evagray6736,Irobot movie we living we just not finished watching in real life 😂that's scary 😮,11시간 전(수정됨),0,
@Reindeerstube,This robot Is a scam 😂,12시간 전,0,
@Bratzbratzbratz,Detroit become human already warned us about this,13시간 전,0,
@sampotts9666,powered by indians,18시간 전,0,
@lebogangmawaya3354,"This is the ultimate life hack! The idea of VR-controlled humanoid robots handling home chores is pure genius. Imagine ticking off your entire to-do list: dishes, tidying, laundry - all while comfortably relaxing on your couch or bed. That’s not just convenient; that’s maximum productivity with minimum physical effort. I'm ready for the 'Digital Twin' lifestyle!",18시간 전,0,
@WhatIThink45,"6:08 Wait, they have to have someone remotely guiding it. They will have to hire people to actually navigate the robot for most chores!",19시간 전,0,
@SenorNeo,"Yeah, but this is just in his infancy. The same thing happened with Tesla and their cars in the beginning it has to learn first before you know it gets better. It has to crawl before It can walk.",22시간 전,0,
@antimol4593,It will drown maid companies,23시간 전,0,
@480purgatory,bicentennial man rip-offffffffffffffffffffffffffffff,23시간 전,0,
@tlgmc1908,"500 for someone with mobility issues may actually be cheaper than getting help. and it's way cheaper than going into a senior home. if it actually works next year, people will be buying it",1일 전,0,
@crystalmaxwell2768,Boring,1일 전,0,
@NoomerINCE,Imagine getting a drink at 3am and seeing that monster looking at you while doing the laundry,1일 전,1,
@Rifmulya,"If a Tesla car crashes into a pole with me in the cab, my house won't burn down. But if this robot doesn't turn off the gas in the kitchen or the water completely, well...",1일 전,0,
@JLeeAgency,"""All these AI products are promising the world way before they have a product that's ready to actually show anyone and take money for"" I had this same sentiment after really trying to shoehorn AI into my business operations 2 years ago and gave up on anything to do with it unless it's absolutely simple, menial tasks. Not surprised the same dance is dancing today.",1일 전,0,
@tonyv33ee,I need this ASAP if its real,1일 전,0,
@trinitybrian2807,6:45 AI Bubble in the economy.,1일 전,0,
@David-qe9po,Can it hide in my front yard in the middle of the night and then scare the crap out of the raccoons so they don’t come back and keep digging up the grass to eat the grubs?,1일 전,0,
@Neogentronyx,"Your concerns are totally and completely valid, your points are valid, as is your conclusion. Of course time will tell but I absolutely agree!",1일 전,0,
