username,comment,time,likes,reply_count
@TopGear,Fancy another off-road showdown? See how the Suzuki Jimny stacks up against the Dacia Duster: https://youtu.be/m-RYrOVr-rI,5년 전,614,
@warrenbuffetquotes,I tried this once before completion my mom wake me up,6일 전,0,
@OliverMc-k4c,Incredible from the RR and please remember it’s on road tyers lol,12일 전,0,
@Lorenco-o9j,"It’s not a difficult terrain at all for a 4.4 diesel SUV with 4x4 traction. Bet with whatever you want — where a Range Rover has passed, I’ve gone through with a Golf 5 1.9 TDI. The only disadvantage is that it’s a bit low, but I’m sure I can handle it since the road is dry. I'm from Albania",2주 전,0,
@kerryh2096,i recently got a 2021 RR Velar R Dynamic and love it!!! though im not sure if I have the ability to raise my suspension or atleast I cant tell when i get out the car after pressing the button for these terrains,4주 전,0,
@sumitbhardwaj2390,Isse jayada ghatiya road to hmari delhi k h,1개월 전,0,
@بندربندر-س2د,هذي الطرق الوعره عاديه عندنا في جنوب السعوديه,1개월 전,0,
@SainRzayev-s7j,"4:44 Something is sticking out from underneath the Rencha. This is a car for comfort.  For such roads, it is better to take a Mercedes  Galenwagen.",2개월 전,2,
@王耀宗-u6f,路虎宣传片,2개월 전,0,
@ItzLaggy08,"I watch this since I was 5 to 6 years old, and it’s still a legendary video 🙌",2개월 전,1,
@JD-tn5lz,Yep. Except...how many 155mm rounds  can the Rover haul?,2개월 전,1,
@yaadsingh2937,when you say this is  Land Rover Range Rover made by  Britain add one more thing and that is most important and that is Own By Tata Group of India . Your ne Owner and Boss 😅😅,3개월 전,1,
@RubyEdwards-t3b,Chris Takker ?,3개월 전,0,
@RubyEdwards-t3b,amazong,3개월 전,0,
@tl3565,The ultimate off-road vehicle,5개월 전,0,
@shakawathossainrafi691,this is 11 years old video 😵,5개월 전,0,
@ItzYash575,Ayyyy,5개월 전,0,
@ChromeConnoisseur08,0/10 i thought they meant mustang terminator,6개월 전,0,
@Everest82808,The most shameful car ever built is this stupid Range Rover,6개월 전,0,
@deepak9741,Irony is using a helicopter for shooting,7개월 전,0,
@christosstamato527,"Nah, Schwarzenegger is better",5년 전,60,
@abramo7700,i liked the terminator :( I don’t think the dacia or suzuki has 6 wheels and a kind of it’s own,5년 전(수정됨),21,
@jesminakhatub8448,Y,5년 전,6,
@koungleangheng820,Chris Stamato ០,5년 전,1,
@ShubhamSharma-wn3ic,Top Gear I’ve bought a Jimmy!,5년 전,0,
@justdom5951,wont watch a knockoff of the real top gear,5년 전,49,
@Jackson-qi5ce,Nobody watches new top gear,5년 전,38,
@mubeenaanjum4147,of my to get get think about about it p,5년 전,1,
@seonsiikasaatanakullikikke6607,old top gear os beter,5년 전,9,
@savageblade9092,new top gear is so bad you have to resort to going back to this old videos and appetize the new crappy top gear videos huh??? so sad...,5년 전,18,
@adityashete8241,Ok,5년 전,0,
@บุ้สายบันเทง1412, @seonsiikasaatanakullikikke6607  ่,5년 전,0,
@edbrown5665,"Nope I'll watch grand tour instead.. Aka ""real top gear"". I haven't watched one episode of the knock off and I wont",5년 전,8,
@bucky2523,Io ho visto delle mani al controllo del terramax poi sta andando a due allora,5년 전(수정됨),0,
@fairyguzman1868,11i1,5년 전,0,
@baatarsukh4533, @christosstamato527  ююююююююююе,5년 전,0,
@VivekSingh-nl6hs,Listen new top gear is shit !,5년 전,1,
@elethaduffy976,Only with another Range Rover.,5년 전,0,
@infinitydreamzz,"@Top Gear ... What we fancy is the old trio. You still have the name, but you have lost your essense",5년 전(수정됨),2,
@Archtechnician,"Give it up, you had gold and you traded for cat sick, trying to staple gold leaf to the cat sick you end up with gold covered sick that noone is interested in. Waste of money cant be defunded faster",5년 전,1,
@widelinebondyeapbeninousui7150,],5년 전,0,
@twingolord,Bad news! James can’t review the Dacia,5년 전,1,
@pghudd,Bring back Clarkson,5년 전,1,
@techhelpportalextras3007,I would rather wacth the grand tour,4년 전,2,
@homersimpson6397,No the new top gear is crap and is an embarsment to the orginal trio. They build this show from the ground up and you are just wrecking it by your foolish presentation. I believe you are bland and should just end the show and let the three take over again,4년 전,1,
@homersimpson6397,You  dog shit you can make up your own vids so f*cl off and don’t reck the reputation of top gear anymore. You have ruined the name of the show that was one the most popular car shows in existence.,4년 전,1,
@lpiosd,No,4년 전,1,
@jacekbakowski2640,"woo, how did you do this video! I love how the man was saying about range rover and can you do audi stacks up with range rover?? because I had audi now I have range rover and great work on this.",4년 전,0,
@johndone5998,110 LANDROVER,4년 전,0,
@shhure, @Jackson-qi5ce  why would they watch the new top gear,4년 전,0,
@akrampasha443, @christosstamato527  aaa,3년 전,0,
@kevinprior3549,Another one buys a Duster!,3년 전,0,
@brucegarde9967, @christosstamato527  a1,3년 전,0,
@АлександраУрянская,Robotic automous army truck,3년 전,0,
@whiteplumcat,#bringbackjeremyjamesrichard,3년 전(수정됨),0,
@driveyourwayshorts,Watch real Range Rover Luxury Off-Road Test Drive and Review-175000 Euro tested by the desert https://youtu.be/KvhETWes-Eo,3년 전,0,
@francyferreyra5016, @christosstamato527  l,2년 전(수정됨),0,
@КымбатбекАскарбекуулу,​ @christosstamato527 😊,2년 전(수정됨),0,
@crickshenal3605,​ @abramo7700 😂🎉🎉,2년 전(수정됨),0,
@نعيمةبواسكيون,​ @abramo7700 je on n un. Mp pp pp m0Lea pp PM un p,2년 전(수정됨),0,
@sulthanali1113,​ @abramo7700 qqaaaàaaqaqqqqaqaqqqqqq aarghhqabhszbxbvxbgsshdhdgyffhtfffgtftttttttttt nik ok un kk jijuhjjuuuuuuuuíiiii98888ieeudjfueuddjeuerjrueudhdhdhdjdhdhduduuddudueueududhdhhhhsshßuyduududuxjdxjdjhddhdhdhdhdhsjdushhsn,2년 전(수정됨),0,
@katimboallan4605,True but still interesting,3개월 전,0,
@AbradolfLincler,6:00 lel check engine light orange red warnings.. seems ok,7개월 전,4,
@lubnanaz9204,4:52,8개월 전,0,
@connorjordan9138,4:39 May not subtly breaking the front undercarriage plastic lol,8개월 전,0,
@PradeepImmanuel-d5o,Its nothing infront of Mahindra Thar 4x4 The Indian Machine Monster 😎,8개월 전,0,
@raphaelcazenave-leveque7991,Terminator 🎉,9개월 전,0,
@koshanm-jw5jo,🇬🇧= 👑,9개월 전,1,
@deepeshranjan6496,I wonder the air suspension malfunction happened how long after this,9개월 전,0,
@vegan_soldier,LAND ROVER the offroading king,9개월 전,0,
@tomthesailor5564,All the time waiting for something interesting and nothing comes 🤔,9개월 전,0,
@flowerofash4439,"this is 11 years ago, imagine what kind of vehicle the gov have today that they do not show to public",10개월 전,0,
@BeyouFashionstudio,The car still looks good in 2025,10개월 전,0,
@jrmagana,"6 years later, still cheering on from Birmingham",10개월 전,0,
@anonymous17367,They literally chose the worst possible human for human vs machine,10개월 전,0,
@avyarkhaleel,One of the greatest car commercials ever….,10개월 전,0,
@gvishwajith1739,"11 years later, That Terminator probably has better Autopilot systems than a modern day Tesla",10개월 전,0,
@SD_1212-k1d,Very impressive i am a big fan of 4 wheel drive specially when they drive in such extreme conditions,10개월 전,0,
@Yahyaclipz07,This is how you Advertise ❤😂,10개월 전,1,
@Supermanedit7,I am shocked then I watch nobody drive the truck,11개월 전,0,
@Ananda_k_Nag,Yutube recommend me this video after 11 years😊😊,11개월 전,1,
@Silvos29,Don't they have Toyota Land Cruiser's over there?,11개월 전,0,
@Idiotfarmlandfernlog,You mean the jeep wrangler knock-off? 😂,4개월 전,0,
@FarmYardGaming,"Teslas went from radar to standard cameras, if anything they've gone backwards. I agree though, but I wonder what they've got now.",7개월 전,0,
@FarmYardGaming,"He was reviewing the Range Rover, but yeah they sell them here.",7개월 전,0,
@RoverOverland,Imagine the Range Rover with AT tires and even some mods. This one was stock!,1년 전,0,
@Imenijebitno108,It wouldn't be range rover if there was no check engine light😂😂,1년 전,1,
@WindyBowers,Nice driving james🎉😊😊,1년 전,0,
@himaocean4120,Can't drive rage rover like this it' has lot of problems,1년 전,0,
@himaocean4120,This is nota  true,1년 전,0,
@tekpic04,I'll be BACK!!! Hahahaha hahahaha,1년 전,0,
@armandolll,"Boring the flat road, where is the fun?",1년 전,0,
@tolymoem1728,I have one Question why it is make smoke when parking? This is proof I saw https://youtu.be/jY56he3KDe0?t=27&si=3AOx_QRXwxMlyNLc,1년 전,1,
@Rust-eze01,0:21 erm,1년 전,0,
@ethancampbell6076,6:58 Range Rover moment after buying your first vehicle.,1년 전,0,
@itstasier,"""Team Terminator with The TerraMax that can go in Terrain""",1년 전,0,
@7major664,5:43 как он не получил гидроудар здесь??,1년 전,0,
@ryantownsend2730,When did this series turn in to commercials?  I miss the challanges,1년 전,0,
@BhavyaGupta-z5g,Bro come to india you know the truth,1년 전,0,
@Krusty_fingers,Are we not talking about how this dude kinda said the n word?💀,1년 전,0,
@cardude9353,Im honestly surprised how it didn’t break during the challenge,1년 전,0,
@deva8068,"I love ❤️ Range Rover SUV, my dream car from India 🇮🇳",1년 전,1,
@HA-pw6if,love you range Rover,1년 전,0,
@Tempulee,Wo that's massive 😂,1년 전,0,
@coopsnoop29,"ive always wanted to buy one of those supercharged range rovers, chuck some bead lock rims and proper all terrain tires on, possibly snorkel and a couple other little things and really see what it can do. they are clearly sensationally designed and capable, just held back by the things that make them so comfortable on the road",1년 전,0,
@FarmYardGaming,it's not like they weren't going on at similar times y'know,7개월 전,1,
@Idiotfarmlandfernlog,He already did in the top gear indian special with Jeremy clarkson and Richard hammond...,1년 전,0,
@7major664,timecode pls,1년 전,0,
@FarmYardGaming,"I suppose that's where the Land Rovers come in, no? Range Rovers are the more comfortable ones, Land Rovers are hellbent on working offroad.",7개월 전,0,
@SomeThingGamingYT,5:59 its quite ironic it has a check engine light,1년 전,0,
@simonecavicchioli3188,Come sempre la RR è sempre al top!,1년 전,0,
@FaisalMithinMithin,Lol.  British Lier 😂,1년 전,0,
@yaboigaming1675,These guys are walking advert for Land Rover💀,1년 전,0,
@BeRkimweiRD,How is this 10 years ago,1년 전,0,
@mmedley9894,Bruh Man always coming with the solutions...respect 👍🏾👍🏾,1년 전,0,
@christopherspringer2764,"Honestly, one of the greatest car reviews of all time. On the same level as the Ariel Atom IMHO.",1년 전,0,
@AsrAsr-y5b,RR❤🎉😢😮😊TATA 👍👍👍👍👍👍,1년 전,0,
@BlueOx2277,Possibly the greatest off road vehicle in the world-   With street tires and a check engine lite on🤣,1년 전,1,
@ticker_trend.08,Off roading best suv,1년 전,0,
@ArashSharifi-x3c,Yooo He say schwarznegger,1년 전,0,
@ankitbishwas9424,We will miss these beasts.,1년 전,0,
@Eunicesonnzulu,The driver less swine😂,1년 전,0,
@immerging,"If you freeze the frame at 2:57, you'll notice a rather subtle censor over the driver's face. James May doesn't drive this way. So they get stunt drivers to do the flashy bits for the camera (where they have to censor that driver's face) and then back to JM for the easier shots.",1년 전(수정됨),0,
@Twerkulies,"Ever notice how like 1/2 the vehicles Top Gear ever drives, even brand new, always have the check engine light on?",1년 전,1,
@kevinprior3549,6:08... James swore! Wow,1년 전,0,
@aung3627,လမ်းကျမ်းများပေါ်မောင်ပြတာကောင်လှပါသည်သင်၏ကားမျဝေလိုက်သည်,1년 전,0,
@Vanishedxs,"Range Rover, The Best off road vehicle ever made. Better than G klasse",1년 전,0,
@gdthegreat,"Wow, this is awesome, I am gonna ask my mom to buy this one for me, I love this toy.",1년 전,0,
@santiagodemarco547,The best off road.,1년 전,0,
@nottimhortons,"James May can drive, not really powerslide crazy the his two colleagues, but he can still prove his worth.",1년 전,1,
@FarmYardGaming,I've noticed similar on the GT86 review but this kind of stuff coincided with photography for Top Gear Magazine too.  I imagine since it's just B-roll of the car on a sand track it was just lobbed in regardless of who drove it.,7개월 전,0,
@dreamer9124,i've never seen any car's brand do the same advertisement like Range rover do 😂😂 😂😂😂. So amazing,1년 전,6,
@jellu798,Toyota is the best & the toughest vehicle,1년 전,1,
