username,comment,time,likes,reply_count
@johnk8700,BIG MIKE,13일 전,0,
@sw9923,Hard pressed to believe melania would ever get this reaction,2주 전,0,
@Wzci12,Back when intelligent people were running our country.,3주 전,3,
@Moneymark1979,2025.... Please come back Aunti🙏🙏🙏,1개월 전,0,
@DubbleTee,1:39 They raiseded their kids in the white house,1개월 전,1,
@Alyssa-ux8ke,Truly didn't expect to cry watching this and yet....😭😭😭,1개월 전,1,
@5678CSU,A bit risque. Not classy.,1개월 전,1,
@obliviate-88,It's the year 2025 and I'm watching it yet again.,1개월 전,1,
@EmilymBanda,"I just adore Michelle and her husband the former US President...they really are good...lovely people.And yet so humble,this world is a better place because of them.I pray for them every day 😂😂",1개월 전,1,
@OsaOmon,But trump today is been mocked by such people today.,1개월 전,1,
@RidgeyDidgeDude,"She's fake..Fake..FAKE..F A K E ! Why don't you ask her how ""she"" & Barry ended up with $70mill in the bank when  15 years ago they were BROKE?? 😀",1개월 전(수정됨),0,
@MrBumcleaver,The year is 2025 and I still wish she should be the next USA President ❤,2개월 전(수정됨),2,
@Hannah-zq3fq,One of the most beloved First Ladies ever. And for good reason.,2개월 전,3,
@nspector,It's utterly heartbreaking to watch this.  I'm almost in tears.,2개월 전,4,
@RochelleFrederick-f3n4f,Go Michelle!,2개월 전,0,
@sammymarum7638,An inspiring woman Obama's better half.,3개월 전,0,
@Indie-w6f,"God, it's 2025 and this video is just making me emotional 😭",3개월 전,2,
@Christheonetruechris,In 2025. I genuinely miss when the first lady acted like someone you could respect,3개월 전,4,
@Those_Evilnines,An interview with Big Mike!,3개월 전,0,
@edemnickk,It’s 2025 and I’m watching this again,3개월 전,1,
@aalyson9423,Trump's not gonna let you hit buddy 🥀,1개월 전,1,
@Bunnyboo1786,sis stfu,4주 전,0,
@RidgeyDidgeDude,​ @Bunnyboo1786  ditto,4주 전,0,
@Bunnyboo1786,when?  was it after Michelle?,1개월 전,0,
@Those_Evilnines, @Bunnyboo1786 …there is no Michelle.  Just big Mike,1개월 전,0,
@Bunnyboo1786,​ @Those_Evilnines yeah Michelle is in the video.  Don't know who big Mike is.,1개월 전,0,
@Those_Evilnines," @Bunnyboo1786 …Michelle is the undercover trans name for Big Mike.  There is no Michelle.  Michelle is actually Big Mike with a bigger package than his husband, Barack.",1개월 전(수정됨),0,
@Bunnyboo1786, @Those_Evilnines  oooohhhh you're talking about your bum buddy.  irrelevant to the video.,4주 전,0,
@andreathompson-bg4hl,Did someone tell her those pants looked good on her?,3개월 전,0,
@stanbrad13,"Here in 2025, reminding myself of the good old days smh",4개월 전,3,
@lrichie5756,My First Lady,4개월 전,0,
@ttrueclou,"2025: ‚Please welcome the First Lady of the United States, Melania Trump! Audience: ————",4개월 전(수정됨),2,
@victoriaz-n2r,"Now this is a true intelligent First Lady. Not like the porn queen we have now who is never there now or during the first time in office. ""I really don't care"" and ""f**k christmas"" decorations.",4개월 전,2,
@marinag1799,"Watching this in 2025, feeling there must still be hope",4개월 전,1,
@bob80q,Colbert is just another leftist turd,4개월 전,0,
@lydiawaithira3616,In addition to elegance and class she is also a comedian😂i love her,4개월 전,0,
@PZHBQb-r1y,0 came before 1 right 10?,4개월 전,0,
@greenbeagle13,"God, bring the Obama's back to the White House. Dear God, look at the shit in there now, and his immigrant wife doesn't even live with him. She played him though, just had to suffer one humiliating night with the Orange Lump and BOOM!, she's now a citizen. Well played, Melania.   But Jesus, what a difference between them and this Orange POS.  😡😡😡😡😡😡",4개월 전,2,
@SailingAway99,Who's here in 2025 and sad 😭,5개월 전,3,
@rheaedwards3528,Smart and classy.,5개월 전,0,
@thezmanchar,She is beautiful.  I miss her so much.,5개월 전,2,
@TheE71462,"You shouldn't have exaggerated the applause either. It's good for respect and esteem, but she's not campaigning for her husband. So stop the Americans with your theatrics... but all the same, she's her husband's spokeswoman.",6개월 전(수정됨),0,
@nabilaabu-hantash8048,The most intelligent articulate First Lady …  But that outfit .. why ????,6개월 전,0,
@Sjalabais,"""Touchy"" about Stephen, not Steve, then she goes: ""If you don't know what swag is, Steve, you don't have it"". Those guns are smiling, and double-barrelled.",6개월 전,0,
@Sjalabais,"Revisiting about a decade later, this was such a saner time. And a first lady with everything: Brains, charme and looks. She would have been a fantastic president, but they couldn't start a dynasty, unfortunately.",6개월 전,0,
@bostoncityofchampions6581,Almost as big a round of applause as Melania got when she was on the show.,6개월 전,0,
@MutasigaIsmail,Missing theme caple + Theme children's forever ❤,6개월 전,0,
@NaturalDivineGoddess,”If you don’t know what SWAG is Steve?!” “You definitely don’t have it.” Got to love her sense of humor. 💞👌💞,6개월 전,1,
@gilnahnu,yeah it was me,3개월 전,0,
@PZHBQb-r1y,0rigin,4개월 전,0,
@NaturalDivineGoddess,First Lady: “It’s ME and MY BOOH!!” 💞👌💞,6개월 전,1,
@NaturalDivineGoddess,Michelle is so PRETTY. 💞👌💞,6개월 전,1,
@BEEFSExplained,Do you think their marriage will stand? https://youtu.be/VA5q9-Dq3v8?si=lX1zkDne1Y6NpQCi,6개월 전,0,
@mccicicily,back when politics was so chill,6개월 전,0,
@tenbel1,It's hard for us who live in developed countries and not the developing country of the USA how the Republicans hate Obama but love the mentally ill sex offender Donald Trump.,7개월 전,4,
@monsterwilliam7156,The Obamas are the epitome of decency. I just miss those times when everyone was proud to be an American,7개월 전,0,
@Brandon-bw720,Big Mike in da house,8개월 전,4,
@decibellone696,She was a good 1st lady as well.,8개월 전,1,
@terrytownsend5583,Are her servants white? Bet that makes her feel good.,9개월 전,0,
@lizgander9172,Here in 2025. ‘Nough said.,9개월 전,4,
@KalynLubinsky,Best First Lady EVER,9개월 전,5,
@bekas79,Good old times...,9개월 전,2,
@Suspicious_Spongebob,"Watching this in 2025 and realizing that Michelle ""Big Mike"" Obama was using his real voice to impersonate his husband..",9개월 전,3,
@carlosreyes207,"THEY MAKE THESE PROVERBS COME TRUE   :    "" A DOG RETURNS TO IT'S VOMIT ,  ""  * AND "" A WASHED PIG RETURNS TO THE MUD . """,9개월 전,1,
@tarheelhurricanegirl9991,It is 2025 and I am watching this.  The classless is about to move into the White House again.,10개월 전,1,
@RidgeyDidgeDude,Big Mike! 😘,10개월 전,5,
@MindfulMantraSpace,love her,11개월 전,1,
@MarilyncarolCornell,My Dad used to do that,11개월 전,0,
@shaina2323,Its a man.,11개월 전,2,
@Billsbillsbillsbills,"Looking back at this, Beyoncé being brought up twice by Michael is almost like hearing her praise the dev. OPEN YOUR EYES",11개월 전,0,
@bostoncityofchampions6581,I know. Sane Americans are puzzled as well.,6개월 전,1,
@gilnahnu,one word: racism! another word: cult!,3개월 전,0,
@ParkerMudsen,How do you have the time to stalk Michelle Obama videos in the middle of cheering on fascism from your king?,7개월 전,2,
@Brandon-bw720, @ParkerMudsen Who da hell is that? I’m talking about Big Mike😂,5개월 전,1,
@Bunnyboo1786,his name is Stephen,1개월 전,0,
@ParkerMudsen,How do you have the time to stalk Michelle Obama videos in the middle of cheering on fascism from your king?,7개월 전,0,
@CharleyRobertson-f2w,"Hi,can I ask you a question?",5개월 전,0,
@Bunnyboo1786,it's Stephen.  who the hell is Mike?,1개월 전,0,
@RidgeyDidgeDude,​ @Bunnyboo1786   👉Michelle Obumma👈 BIG Mike 😆,1개월 전,0,
@Bunnyboo1786,​ @RidgeyDidgeDude no idea what you are saying,1개월 전,0,
@RidgeyDidgeDude,"​​ @Bunnyboo1786  Ok.. Here goes.. For 2 decades there have been rumours/""conspiracy theories"" that Michelle Obumma is actually a transvestite ie Born male but changed to female in her late teens.  It's also been whispered for yonks that Obama is actually homosexual. This is backed up by his Own Autobiography & his first girlfriend.  Bizarrely, Joan Rivers outed both Obama & ""Big Mike"" only weeks before she died mysteriously during a routine operation.  There's also a viral clip of Michelle dancing on the Ellen DeGeneres Show where you can plainly see Michelle's ""willy"" shaking around under her loose fitting slacks ( it's HUGE). Ps I hope your not winding me up? So .. anyway.. That explains it 👌 Avagreatweek 😎",1개월 전(수정됨),0,
@PFF-SBS,Her?,11개월 전,1,
@CharleyRobertson-f2w,"Hi,can I ask you a question?",5개월 전,0,
@Bunnyboo1786,yes Stephen is.  your point?,1개월 전,0,
@nancychandler768,Big Mike,11개월 전,3,
@sumisubba2651,For the first time I watch and trust me  i find peace here only how cool she is 💞🇳🇵,11개월 전,2,
@KingzofRhythm,Michael is Barry’s man😂,1년 전,6,
@veronicakashaka3299,Most wonderful first lady ever.,1년 전,2,
@naoldadi1799,Obama Biden Harris ruined the country 2024,1년 전,4,
@RinRin_c,Watching for the umpteenth time,1년 전,0,
@danielmokori6032,Are u crazy. He is s man not first lady,1년 전,2,
@mosesorshi6556,Knowing the back story makes the photo more cute,1년 전,1,
@venkybabu4842,Poor people wear tuxedo,1년 전,0,
@anathompson8672,Class act!!,1년 전,1,
@Ladyrena6,"Michelle tells the BEST stories of her husband Mr. Obama and their girls...I always laugh out loud listening to her ""short"" stories of them......",1년 전,3,
@karieammuhammond5327,MICHELLE IS THAT INTELLIGENT GOR GEOUS QUEEN!!!!!!!!!!!,1년 전,4,
@TrueReality-p8o,lol..😂😂😂😂. Liberal garbage 😂😂😂😂,1년 전,3,
@Stevenyoung100,I hate it when transexuals act like women.,1년 전,9,
@BillyAPOSTOLAKOS-pc6qt,"Who is screaming, monkeys  from outside, ha,ha",1년 전,1,
@--ag,She is the definition of wonderful and amazing 😊,1년 전(수정됨),1,
@AngelaPennock,"Just a wonderful, intelligent woman",1년 전,1,
@virtualwhispers,"She is lovely, I just lover her and can listen to her talk all day",1년 전,1,
@toddcorey3190,Oh look…dumb and dumber!,1년 전,1,
@venkybabu4842,MIT chell. Or me shell. She is rich and famous 🎉. She was the first one to bring in support for equality of gender. Which means a higher wages for women.,1년 전(수정됨),1,
@Bunnyboo1786,no his name is Stephen,1개월 전,0,
@PFF-SBS,He,11개월 전,0,
@EricPowell-g1g,😂😂,1년 전,2,
@Bunnyboo1786,what the hell are you talking about?,1개월 전,0,
@CharleyRobertson-f2w,"Hi,can I ask you a question?",5개월 전,0,
@Bunnyboo1786,no you did,1개월 전,0,
@Gee2311-i4u,"And after we had this kind of great & charming lady, we got Melania?",1년 전,0,
@SuzanneMatthews-lt4fp,She is really a “ HE”… Michael Levon…..,1년 전,6,
@straycats6,No problem shopping at the grocery store,1년 전,0,
@petermiller3774,Hey Michelle tell us how your chef died. Because we know he was a good swimmer. Did he catch Obama going down on a guy or was it one of his daughters.,1년 전,1,
@MarilynOday-x1l,Michelle is a very smart Lady.   Barack you are one lucky man!!,1년 전,1,
