username,comment,time,likes,reply_count
@KevinDartez,I remember when I got my first tattoo I thought it was gonna hurt bad but nope it’s not that bad I got addicted to it real quick,4일 전,0,
@A-AronWWG1WGA,I have 46 tattoos great therapy,5일 전,0,
@gabrialhopper8699,I watched this with no tattoos and now after randomly thinking about how it worked after getting my first.,10일 전,0,
@garylaird1134,"Guys, this is brilliant. After seeing this horror video, I will never ever get a tattoo. No offence Leah.  Next thing is SmarterEveryDay, you need to apply this same video technique to smoking.   If you show what smoking does up close to your insides, I think you might just stop the next generation of kids smoking...",3주 전(수정됨),0,
@m.e.c.1007,I have new admiration for my tattoo!,3주 전,0,
@GoogleTecno-k3t,Cool,4주 전,0,
@StarWolf-j5m,I’ve been meaning to get a tattoo but I needed to see it close up and see how people react to the pain. This encouraged me to get a tattoo. Thank you so much ☺️,2개월 전,0,
@westonlitz,Native Son is one powerful piece of literature. Had to read that in my literature class like 10 years ago.,2개월 전,0,
@HCWarrior,Ok,2개월 전,0,
@missbellaiza,They can be really addicting,3개월 전,0,
@merwyngranger2943,This was so awesome!! Great detail!,3개월 전,0,
@GamingBelladonna229,"Oh god! I saw blood on his skin, now I see why I don’t want a tattoo. It’s looks too painful! 😖",3개월 전,0,
@chef1d92,great ❤,4개월 전,0,
@niaa4president,watching this for my anatomy class 😭,5개월 전,0,
@skunkman9815,One part of me wants to get a tattoo while another part is scared of the pain,5개월 전,0,
@andreatyson9233,None of mine have bothered me. Childbirth makes tattoos feel like a breeze!!!,6개월 전,0,
@skiptisdale3912,0:18 that's definitely Louisiana with a Fleur-di-lis  ⚜,6개월 전,0,
@Piitaa_Pain,as someone who has a couple of tats .. that sound is unmistakable,6개월 전,0,
@masoudmohamed9038,Who is here 2025😅❤,7개월 전,2,
@Marcuk2024,That didn’t hurt 😂,8개월 전,0,
@remaain,hi,8개월 전,0,
@MRSALG,Make it real! Get that “Smarter Every Day” Tattoo! 👏🏼🙌🏼💪🏼🔥❤️,8개월 전,0,
@lucasscott_94,"Tattoos hurt, but most people can handle it. It’s not that bad lol Especially when it’s something you want",9개월 전,0,
@sonyaavery2967,I almost passed out watching this. 🥴,9개월 전,0,
@SpeakerTitanMan-s27,🗿🗿🗿,10개월 전,0,
@lilreeskii,I’ll Come Back To Comment Whenever I Get My First Tattoo 🙂‍↕️,10개월 전,1,
@Lexthe_gamer95,Good to know this because I'm planning on getting an outline tatto soon will be my first lol,10개월 전,0,
@CASAJAPON-b8t,what type of lens do you use? a macro?,10개월 전,0,
@simonfischer9919,Tattoos. Hawk. Eli,11개월 전,0,
@zsanettaminaharczi6869,Best feeling ever,11개월 전,0,
@ZekeTheElder,But Tattoos are simply ugly. Am I wrong?,1년 전,0,
@Romeo99XOG,"I want to get tattoos off Guns N Roses, my Dad's name, my granny, and her son and my brother's name",1년 전,0,
@freeatlast7384,Get some ink p**,1년 전,0,
@alextryan,"Were they stretching the skin for those close-ups?  Doesn't look like it, and the skin is just bouncing away, and I don't see any ink going in... which is why you have to stretch the skin.",1년 전,0,
@WavhudiSigebe-h2k,😘,1년 전,0,
@joanadasilva7993,If I saw this before getting a tattoo I would of never have gotten it 😂,1년 전,1,
@seandillon9007,Cool 🎥,1년 전,0,
@elnamayberry,"Very cool to see how the tattoo needles actually work! I have many but of course could never see it in slow motion!  And even cooler - the book Leah (sp?) recommended, ""Native Son"" by Richard Wright, was written by my high school English teacher!  So many coincidences in the world!  :)",1년 전,0,
@spinnenbein1,"Now, i will never get a tattoo!",1년 전,0,
@RobertHouston-i8d,"Man, that was a great opportunity to get her to do your logo, on your arm, in her studio. Advertisement for the both of you.",1년 전,0,
@dancer20617,Your wrong 😊,1년 전,2,
@LavFloofNoodle,Yes.,6일 전,0,
@Jiayz-s5r,Is it painful😮😮😮😮,1년 전,1,
@joanadasilva7993,"Depends where it is, some hurt more than others but if I was to describe the pain its like when you fall as a kid and you get turf burn haha",1년 전,1,
@Jiayz-s5r, @joanadasilva7993  Did you cry when doing the tattoo😮,1년 전,0,
@tylernickerson2200,"I have the front and back of my forearm tattooed, the back hurt way worse.",1년 전,0,
@Sensible-Immigrant,"5:27 awkward, you were supposed to ask further about the book.",1년 전,0,
@chosen1one930,You didn't even get tattooed in a painful place come on,1년 전,0,
@OBIWANCANOLI77,I would consider it a bad bee sting. I wouldn't go as far as hurt. Maybe some of the female or softer gentleman say it hurts but anyone who has one will agree with me,1년 전,0,
@MrCody6925,I call it a machine gun,1년 전,1,
@dalledeceng3487,Mantap dan keren sekali,1년 전,0,
@michellesimpsons356,"Great Video. This is what my kids have been doing. As a mother, I don’t like to see these needles go into the skin, but it is slow motion.",1년 전,0,
@OfficeLinebacker,Thousands of years and this is still the best way humanity has figured out to do tattoos?,1년 전,0,
@russell2952,Some parts of your skin are going to be fine while others hurt like a bleeping bleep motherbleeping bleep.,1년 전,0,
@KnottyBuoy,"Video idea: Could you look into the forces (in detail) that make a car lift when on a dynamometer?   Just wondering, watching TRC and FuelTech vids and these machines are insane, it’s just difficult to visualize exactly how the power translates into the chassis rising up from the rear end.",1년 전,0,
@jedidr4918,I have 1 tattoo so far and lemme tell you the pain aint bad. If you think tattoos are bad or taboo dont forget it basically collecting art.,1년 전,0,
@mr_broken_gaming1392,I watch in 2024 😂,1년 전,0,
@tasnime4598,I will never ever do this to myself..,1년 전,1,
@erickweichert3531,Awesome stuff dude gyatt skibidi toilet 👍,1년 전,1,
@StreetsOfTheEarth,Tatoo removal please,1년 전,1,
@G.Freeman92,"Oh no, we don’t call it a gun, that’s a no-no!",1년 전,0,
@JG-ym5mo,Did you actually get a tattoo at the end?,1년 전,0,
@aariontae6864,Don’t even hurt,1년 전,0,
@flylooper,"I think tatooing is silly and in most cases I've met subjects who regret at least part of what they've tatooed on their bodies. For instance, my son had his girlfriend's first name tatooed on his forearm. When they (inevitably) split up and he married another girl, he now  wishes he could get that tat off his arm.",1년 전,0,
@ReneDavis-l2f,Wow PPL know how to make pain feel good,1년 전,0,
@LavFloofNoodle,Got better ideas?,6일 전,0,
@samsignorelli,"When I got my tat, the outlining felt like my skin was being separated by a scalpel....wasn't that bad or painful at all.  Shading was different, but only really bad the closer it got to my shoulder.",1년 전,0,
@kerrymillar1267,Never seen a less likely owner of a neck tattoo than that lady.,1년 전,0,
@peter_smyth,You don't say how slowed down the slow motion clips are.,1년 전,0,
@PaisleyPatchouli,This was fun! Why didn't you get yourself a Smater Every Day tatt dude? I think you would have loved it...,1년 전,0,
@justinbuchignani4008,Tattoos don't hurt its rather relaxing in my opinion,2년 전,0,
@sreynolds777,"No thank you - not for me 😂 And no condemnation at all towards anyone who does 🙂 But if you are led by the Spirit, you are not under the law.",2년 전,0,
@shazniazhar,"8 years ago, I watched this video. 8 years after I watched the video, I finally get myself a tattoo.",2년 전,1,
@KMS_Admiral_Hipper,Tattoos suck and are gross,2년 전,1,
@Matisyahuwu,"Here because of The SloMo Guys, and its crazy that I 100% remember seeing this video back in the day. I feel like the vibes were just so specific back then lol.",2년 전,0,
@Creepingdeathx81,"I’m good. There is nothing I want on my skin for the rest of my life I want to look at and to go through all that,  this video reinforces that. But if that’s what you’re in to. Go for it",2년 전(수정됨),1,
@abd3elo,الحمد لله الذي عافانا مما ابتلى به كثيرا من الخلق,2년 전,0,
@samuelikonallaholokpo9063,"He didnt like the mention of NATIVE SON, caught him off guard.",2년 전,0,
@ACE-cs5cm,"3:22  i just had a tattoo with my best friend,,  and im getting emotional of this video lolll",2년 전,0,
