username,comment,time,likes,reply_count
@TranGiaThinhA-qc3bb,Legend never die  They respawn ✔️,6년 전,3.4만,
@Rot7siu,"Insanely good song, insanely good show. Absolutely perfect",1일 전,0,
@diduladesilva787,Why does this make me emotional 😭,3일 전,1,
@lancelots-e3d,이때가 전성기다,4일 전,0,
@tuanhoanganh7193,"Time flies, it's been 8 years already",4일 전,1,
@Jhmomhs,피아노 주걸륜이 치는거 ㄷㄷ,5일 전,1,
@kynrdarkside7652,here in 2025,6일 전,0,
@ferdinandweigert1219,Klingt vom Text her so als ob Jinja den Song als Dankeschön für die Fans gemacht hat😍😍😍😍,7일 전,0,
@skibbsoce,Its that time of the year,8일 전,0,
@Lym1n0s,"Ive watched this about 14 times and still cannot believe that and actual dragon flew over the crowd and landed on the stage. I dont even like lol, in fact, i hate it. But what i would give to see this in person...",9일 전,0,
@ДеянАнгелов-щ6ж,Legends never die! Wohooo!,10일 전,0,
@ДеянАнгелов-щ6ж,What do the signs mean on her left hand on her jacket?,10일 전,0,
@ДеянАнгелов-щ6ж,I dont understand the music symbolysm but I loved this one! Must be feeling awesome to be  on stage like this one and experience all of this infront of this huge crowd!,10일 전,0,
@AnhVu-tq7ih,2025 ai còn xem không,10일 전,1,
@maytube.tv.,la mejor presentacion de un internacional,10일 전,0,
@josuazeroo2011,3:28 this always gives me goosebumps,10일 전,0,
@PhoebeHercules,Holy shirrrr,10일 전,0,
@leonardofernandes3103,"2025 e essa abertura ainda foi a melhor , saudades do league of legends 2017  <3",11일 전,0,
@bachyen9096,the best song of LOL,12일 전,0,
@reald1624,"""The Return of the T1 Dynasty"" 🔥",13일 전,2,
@Gvlst4,Video games lol,6년 전,231,
@mlg_flickz3831,Got im,6년 전,60,
@LawnGraal,35-1-9,6년 전,74,
@user-Vmann,"in order to respawn you have to die, right? =)",6년 전,189,
@khaipinaulak485,"Ya all forget the most important thing, THEY RESPAWN AND FEED",6년 전,90,
@asha2180,😂😂😂😂,6년 전,10,
@s.mharan2450,Lol,6년 전,9,
@nauq_277,:v,6년 전,9,
@faisalleo123,L V can iron man respawn 😭😭😭😭😭😭,6년 전,30,
@최황일-q2p,Respawn and repeat especially yasuo,6년 전,11,
@mrEbraheem,I was feeling down after dying for the 18th time as Vayne but now I feel better knowing that I'm a legend. Thanks.,6년 전,5,
@sarahgordon9787,But iron man and gamora havent respawned yet?,6년 전,6,
@safwansadid_,Lol,6년 전,1,
@alterrrstrife3203,Legends never die For a price that is,6년 전,1,
@Hasnayn1,what a legend!,6년 전,1,
@bradpandafsa5155,u right,6년 전,1,
@davidchaikovsky3625,A joke about Apex lagends and Respawn Entertainment,6년 전,3,
@_edoardo_,Lol ahahahah,6년 전,0,
@koe3588,They run it down mid,6년 전,0,
@conckobua8519,vn,6년 전,0,
@-NguyenTungDuong-lopA,Are you mean they the turtles,6년 전,0,
@pr3sken664,Imagine if she actually says that LMAO,6년 전,1,
@FeetEnjoyer76,and say then ff 15,6년 전,0,
@batmanlord5474,"haha,good one",6년 전,0,
@scrumdelicious,Em Chị Lam But my bed was destroyed,6년 전,0,
@madkilla707,They Die When Internet Dies,6년 전,1,
@indydinoth586,Ye XDD,6년 전,0,
@lowellluizlaqui2375,"Unless they die if the base is destroyed, but gamers don't quit at playing just win like a legend!",5년 전,1,
@exoniaq6755,"The people that play lol are legends, not the champs",5년 전,1,
@ronnxc,Cute picccc🤗,5년 전,1,
@ok92800,Lol yeah,5년 전,1,
@clarkcagampang7520,I bet 1b you won't respawn,5년 전,0,
@bobthetrader8078,It's gamers not legends LoL      Gamers don't die they respawn 🤘🤘,5년 전,0,
@justynawnuk-lipinsks9070,My favourite is this,5년 전,0,
@nargacuga4597,Tell me this after a hundred years. 😊,5년 전,0,
@hahala2368,But when they lose They will never respawn again,5년 전,0,
@sankareasss6166,i- just gnna use digie lol,5년 전,0,
@indraneeldao4296,True that,5년 전,0,
@harmony796,Yes légends naver die ✔✔✔✔✔✔✔✔✔✔✔ yes vevuoi good,5년 전,0,
@donquaviousdigglebottom652,mad lad lmao,5년 전,0,
@jasonsolomon1991,O have record of 44 kills and 0 deaths,5년 전,0,
@minhthiennguyen5139,Shut up your mount .... Your comment make me being sad all day 😥,5년 전(수정됨),0,
@donquaviousdigglebottom652, @minhthiennguyen5139   shut up  your coment made me impotent,5년 전,0,
@ykzuuk,Em Chị Lam nothing new,5년 전,0,
@marcquinchad9042,Resurrecting in 10 seconds.,5년 전,0,
@marcquinchad9042,Oof,5년 전,0,
