username,comment,time,likes,reply_count
@Vox,"From popping knuckles to wiggling ears, some of our strangest bodily traits can be traced back to our Triassic mammal ancestors. Watch the video: http://bit.ly/2K0eo8d",6년 전,2.2만,
@Valedaster,Why did this get recommend to me 10 years later after I knew the hard,1일 전,1,
@CrimsonCrimix,GWOM,2일 전,0,
@lostianoffical,Who got this recommended in 2025,2일 전,2,
@H_star12,I’m scared of cracking my knuckles why am i watching this 😢,3일 전,1,
@ULTRA_NOOB_007,What's the summary of this Video ?,3일 전,0,
@siddhantsahoo-k8o,This video is 10 years old but still for no reasons it just popped up in my feed,4일 전(수정됨),3,
@UnlimitedBaconHair,"guys i cant stop doing this, help",4일 전,0,
@Awmia_dw,I tried cracking my knuckle after watching this lol,5일 전,0,
@MaxWilbur,Seeing if this comment gets any likes even tho there are over 30k comments,5일 전,2,
@rabindranathmistry3597,Raise your hand if you cracked your knuckles while watching this video ✋✋,5일 전,2,
@sunwinwonৎ,Recommend this right after I cracked my knuckles,6일 전,2,
@SmokingSharks,I have an addiction,6일 전,1,
@miyoo-I23,right before this i cracked my knuckles,6일 전(수정됨),0,
@Lizzy-p5m,Bee,6일 전,0,
@hemlatapandey2510,I do that everywhere and my fingers have now became thick(it was very thin) abd when i do in my neck Day by day i am started to feel pain in my neck a lot! But normally in foot it doesn't 😅,6일 전,0,
@Arkoscoolpix,Isn't cracking bones relaxes our body?? 👁️👄👁️,6일 전,0,
@ChibiAWE,Maybe that’s why I can’t hold a cup of tea without my hand hurting when holding the handle..🤔,7일 전,1,
@diane70416,😢,7일 전,0,
@Christiang3212,Thank you for this 10 years later,7일 전,2,
@elgeorge437,Vox what about the knees??? Is that bad???,6년 전,76,
@ballersoup4938,Interesting...      cracks knuckles cracks toes cracks back cracks neck   Very interesting...,6년 전,140,
@arturobojhay2362,I can wiggle my ears,6년 전,80,
@ballersoup4938, @arturobojhay2362  creepo,6년 전,24,
@lilianailayian4947,Vox I always crack my back and my neck since I was very little it's like an buble right ?,6년 전,10,
@krishnanath6905,http://www.faithfreedom.org/the-challenge-2/,6년 전,0,
@XavierSarmientoC,Wrist,6년 전,1,
@matkim7284, @arturobojhay2362  Me too,6년 전,6,
@signaturerush,I have this weird thing were I can pop my right hand index finger over and over again with out needing to wait,6년 전,20,
@matkim7284, @signaturerush  Dude we are thr same.,6년 전,6,
@thatsavage1202,Vox I cracked my knuckles before watching,6년 전,0,
@phantomaviator1318,I cracked a single knuckle 3 times in one minute. Is this ok?,6년 전,0,
@matkim7284, Tony Lowe  so do you.,6년 전,0,
@matkim7284, Tony Lowe  idk what are you typing.,6년 전,0,
@adiaheamaibeua2135,I can wiggle my ears,6년 전,4,
@wingoflife3140,I CAN DO THAT ON MY THUMBs,6년 전,0,
@lui_frndo,"I don't need to wait, I can make it 24/7 hahaha",6년 전,0,
@notkruger7347,I crack every bone in my body... is that all right?,6년 전,2,
@lryxnl,I can wiggle my ears lol,6년 전,0,
@esw04,Same with my ankles,6년 전,0,
@nelidaguajardo5447,I've been popping my knuckles for some time now and my hand is exhausted to the point that I can't fully make a fist,6년 전,1,
@ModernVintageFilm,Oh that intro :'( hahaha,6년 전,0,
@Immuneaxis," @nelidaguajardo5447  I been popping my fingers, elbow, and knee forever now and I'll be 28 in a couple weeks. When I was 19 I started having problems in my knees, I'm assuming from that and I couldn't bend it nor keep it straight for periods of time, so I started taking glucosamine. Off the shelf from any CVS or Walgreens and it's helped so much for pain.. it's like it refreshes whatever part you made a habit of popping and had help tremendously.. hope that helps ya plz research it B4 taking. Never know if your allergic or not",6년 전,2,
@nelidaguajardo5447, @Immuneaxis  thank you,6년 전,0,
@notrehtahannah5008,"I can wiggle my ears. So can my dad, my aunties, my little sister and my grandad.",6년 전,0,
@valerie680,"Hi.I Can wiggle my ears.i can do things that the majority of humans cant do,I can pop any knuckle and when I tell people they say I’m dying.BUT HOW EXPLAIN.I HAVE A BUMP NEXT TO MY ANKLE THAT LOOKS LIKE A SECOND AND IT HURTS",6년 전,0,
@valerie680,"Phantom Aviator I can pop my head,arm,ankle,jaw,elbow without waiting",6년 전,0,
@jbd_crash7955,I can make a cracking sound without stoping,5년 전,0,
@beautaylor4367,Isnt wierd i have it too left hand wedding ring finger!,5년 전,0,
@Shi._.Qingxuan,What about cracking your back,5년 전,0,
@konoyuchilan971, @signaturerush  Kaneki hello,5년 전,0,
@johnblankenship1805,Vox we don’t have mammal ancestors that is evolution and on my opinion is not true,5년 전,6,
@SpeedyFAST2006,"Uh duh ""saying it to myself"" why should it be bad it just helps you muscle and bones",5년 전(수정됨),0,
@KakashiHatake-sz4kd,I cracked my knuckles after this video,5년 전,0,
@adraper30,"Sooo, we went created by god?",5년 전,1,
@KakashiHatake-sz4kd,Baba Loo Yes we Where created by GOD,5년 전,4,
@David-l1d9c,Vox no I can keep doing over and over again and only meet one person who can also do it,5년 전,0,
@DamnItMantis,"We don't have ""ancestors"".",5년 전,2,
@agungguritno7458,"Please give an Indonesia subtitle, thanks bro",5년 전,0,
@lerooo5713,I can wiggle my ears,5년 전,0,
@EngrNaLabo, @signaturerush   i can also do that its effortless to do also. But i dont know the cause.,5년 전,0,
@alraeecell5358,Sooo its not bad?,5년 전,0,
@texodus148,Can i wiggle my thumb now?😂,5년 전,0,
@A23-o6x," @arturobojhay2362  same. Apparently it's thing you learn when you're younger, but you have discover it. If you dont, you won't know how to do it",5년 전,0,
@annonymousgoose115,I can wiggle my ears O. O,5년 전,0,
@A23-o6x,I can wiggle my ears,5년 전,0,
@tvirusnoodle8608,I can wiggle my ears but I can’t pop my knuckles,5년 전,0,
@STANDYOURSHORTYBULLS,Popping your back well cause the ribs that connect to the spine to loosen up and dislocate it's called rib subluxation,5년 전,0,
@annonymousgoose115, @STANDYOURSHORTYBULLS  Cool- Oh.,5년 전,0,
@igglepiggle8447,I’m sorry but we weren’t mammals...because evolution isn’t real...and Jesus loves you!,5년 전,2,
@lymf9157,"what about the knee? My knee keeps popping everytime I move and also my other body joints. It just keep popping whether I like it or not, is it bad? I'm kind of worried...😟",5년 전,0,
@Inferno_TLT,but what about cracking my neck,5년 전,0,
@yourstrulytk12,ok,5년 전,0,
@bananaart6481,I can wiggle my ears,5년 전,0,
@godsplay3220,"If knuckles happens in every a second,then what do we call that?",5년 전,0,
@hugs4bruce496, @arturobojhay2362  same i thought i was weird--,5년 전,0,
@maxbennett2596,This comment is false. Evolution is not real. The only way you can find true joy is by having faith,5년 전,3,
@bineyblobmaster3872, Nikita Potapov  ummm literally no one asked for your opinion based solely on how they talk and most people don't finish school that is why general education degrees exist. So please calm down.,5년 전,1,
@crypto2633,It's funny looking at this when you know evolution isn't even real lol.,5년 전,0,
@beboplikesu,Wow 😯,5년 전,0,
@SolarGaming4,Ym,5년 전,0,
@signingoffbye,Ok,5년 전,0,
@mostwestwyatt1863,But i can pop my knuckles almost instantly and repeatedly after i pop them each time. How?,4년 전,0,
@HelenFeyborn, @arturobojhay2362  me too 😂😂😂,4년 전,0,
@DamnItMantis,Common ancestors aren't real.,4년 전,0,
@protoz4575,"Good thing that I don't pop my knuckles, I feel like something will happen",4년 전,0,
@TheZarric,"Gas bubbles....  What a poorly designed description and hypothesis.  Your tendons and muscles pull your bones against the others creating joints. As such, what you hear is a vacuum being released, allowing fluid to fill the space to further 'polish' the cartilage.",4년 전,0,
@atlaxxedits564,ao not late but i can wiggle my ears but its annoying when they by themselves are staying tense and up for hours because of the fact that i have a really low tolerance towards crowded/high pitched sounds lol,4년 전,0,
@rev_clan3690,Maybe not popping knuckles but wiggling ears Ye most likely or it’s just a natural trait to detect danger and communicate,4년 전,0,
@umm.nothing439,Holy moly,4년 전,0,
@madiglow3765,interesting!!,4년 전,0,
@alanawhiteside8741,"What is the song name in this video, and where can I find it?",4년 전,0,
@ay.1a10,OoOoOoOoOoOoOo,4년 전,0,
@mattedriellebarberan6554, @arturobojhay2362  same,4년 전,0,
@jeffwvu4602,Vox...I thought for sure you'd find a way to bring race into this.,4년 전,1,
@CodeNameCheese_,That makes me uncomfortable,4년 전,0,
@needhealing2228, @joeldejonge2986  why is evolution true,4년 전,0,
@revemooaena, @arturobojhay2362  same i think,4년 전,0,
@Vaso_Vic, @arturobojhay2362  same,4년 전,0,
@Blueblood_R,Is it bad the when I do a backbend I can twist myself backwards?,4년 전,0,
@BraydenDavisLifts,Anyone else cracking their joints while watching this?,4년 전,1,
@GabrielRodrigues23372,KNUCKLES,4년 전,0,
@honeycombust8715,Mi parents hate went i pop my arm,4년 전,0,
@r0cky000,"@Baller Soup Me: sees this also me: cracks elbow I'm double jointed in a lot of diff parts, but I can also make the knuckles in my hand move side to side when my hand is in a fist",4년 전,0,
@lridiium,I can pop my wrist over and over,4년 전,0,
@Lee-qy8zs,Please spread the word of GOD :),4년 전,1,
@natemye2018,6 years later to be exact,4년 전,0,
@imsithl0rd121,6,4년 전,0,
@anameorsomething894,"Hey, I can wiggle my ears",4년 전,0,
@axel_axolotl7405,Me after the video:                  c r a c k s  e v e r y   b o n e,4년 전,1,
@Mr_Socks21,111 reply,4년 전,1,
@burntyogurt96,What about popping ur shoulder,4년 전,0,
@boba8530,I can pop my knuckles non-stop... Is that normal?,4년 전,0,
@catboy9066,Wiggle ears wdym? Of course you csn do that just take your hand and wiggle your ear? 🤔🤨,4년 전,0,
@namanmati8429,Lol I can wiggle my ears,4년 전,0,
@Redneck322,Try popping your spine and neck without your hands or twisting your body. I have done that since 2017 and it’s like having the weight of the world dragging you down just disappear. However the first time I popped my upper spine by just stretching out vertically the feeling went from feeling like an ox pulling a giant church bell while the yoke is putting pressure on your shoulder blades and spine to feeling like you have archangel wings that haven’t been used since Lucifer was cast out of heaven with his rebel angels.,4년 전,0,
@LUSTROUSAsMr,👍👍👍👍👍,4년 전,0,
@boba8530, @Redneck322  thanks for the advice! Your comparisons are very creative,4년 전,0,
@thunder2ndacc513,I can move my ears,4년 전,0,
@ericanderson6068, @elgeorge437  88o,4년 전,0,
@anormalguy-t42,idc,4년 전,0,
@anormalguy-t42," @arturobojhay2362  me too , but can you rotate your eye without moving your body?",4년 전,0,
@emamartikanova93,my ear is ceacking,4년 전,0,
@anormalguy-t42, Elie Rizk  yes,4년 전,0,
@sagarsudhirganu8735,Good information,4년 전,0,
@teal.650,wow,4년 전,0,
@yamahawsome9335,Pick up a bible my freind,4년 전,1,
@eddienlynn1,Stop spreading lies there is no facts on evolution look up living waters and evolution vs God and you will see a basic pastor stump college evolutions believing majors. Look it up if you want truth,4년 전,1,
@TheShadow1347,🌈 the more you know 🌈,4년 전,0,
@TeasingBadger,Haha my ears go ⬆️⬇️⬆️⬇️,4년 전,0,
@anotherone5926,Are you KIDDING?! BWAAHAhahahaha,4년 전,0,
@Idk-vg4tx,Is popping my knees bad or am I ok because I’ve been told that it could injure my knee?,4년 전,0,
@krisleaport6980,How bout a cramps on my back o.O?,4년 전,0,
@colt9758, @ballersoup4938  jealous,4년 전,0,
@SpiritSlayer1,Hi,4년 전,0,
@kalv7444, @arturobojhay2362  same,4년 전,0,
@blank6470, @ballersoup4938  ? What is your damage son? It's called muscle control and motor control,4년 전,0,
@JosamaBinSchladen, @arturobojhay2362  same but I can do it only on my right ear,4년 전,0,
@trenellloc47,Been doing it since 5 years old I’m 51 now…..my hands look normal to me,4년 전,0,
@pooloo_loopoo,No it doesn't go made us,4년 전,0,
@pooloo_loopoo,God made  us,4년 전,1,
