username,comment,time,likes,reply_count
@ysgonutz,Who got this recommended after jake vs joshua got announced lol,8시간 전,0,
@wizardofaus23,Unlike everyone else. Threw from the hip.,3일 전,0,
@oussama103,That was a very lite one btw😅,6일 전,0,
@XxDyneXxFreeEnergyx,Ivan drago got 1850 pounds per square inch of punching power that's equivalent to a charging rhinoceros.,7일 전(수정됨),0,
@Razer117,"I came from Croatia.I'm not a boxer, I'm athletic and I work in construction, I hit 862. Plus, I was drunk ! Maybe I can more.",4주 전(수정됨),0,
@mammontustado9680,Rachel's so adorable 🫠,1개월 전,1,
@Pes60,"It's good having a big punch but not good on someone who doesn't want to get hit.You just have to get your opponent to stand still for a second or two,thats the problem.😂",1개월 전,0,
@Tallorder101,"Don't use their shops, hit them where it hurts. We haven't forgotten your little racist rant Joshua !",1개월 전,0,
@thinleswangdus2810,Is she the Constantine actress??,1개월 전,0,
@mikemorris4548,"Get the right boxing technique, with speed and some power, and anyone like his size can easily get at least 900.",2개월 전,0,
@an8dr2a,Back then.. .Now that  his career is Deranged you Realize the Stupidity of this Show,2개월 전,0,
@Underhills,I wish he could do that punch on Graham Norton's face instead. Now THAT would be entertaining.,2개월 전,1,
@echolalia682,Uysk's measurement: JAIYB,2개월 전,0,
@micaiahcooley4349,Didn’t even give any effort at all really,3개월 전,0,
@sebastianquijano6029,I thought a 999 bro,3개월 전,0,
@Maxar188,Я 924,3개월 전,0,
@Henrychamber-r8w,Ukraine 😂,3개월 전,0,
@caleblim6890,3:43 Greg hit that like he was trying to hit a human shrew.,3개월 전,0,
@Mustafa-z3v6f,"Please fcuk, show love and peace to everyone",3개월 전,0,
@TheRisen-sj2ef,They'd have invent one with at least 7 digits for me...I regularly break these machines,3개월 전,0,
@AndiWard,"Last time I hit one of those, I broke it. The machine hit the wall behind it and alarms sounded, so I legged it.",3주 전,0,
@TweazicBeats,Bro threw a 40% strenght punch 😂,3개월 전,0,
@Korallenflüsterer,Wennst den auf die schnutze kriegst bist im oarsch daham,3개월 전,0,
@oriondoublecrossed,God damn his leg are too long for his height wth,4개월 전,1,
@alexanderbattin4227,Crazy dudes a pro boxer n I hit a better score,4개월 전,1,
@LucianRajuPrivate,Free biology class to everyone,4개월 전,0,
@Will-hg6zs,Greg Davies was pretty impressive! He didnt even wind  up!,5개월 전,1,
@mrh.r.p6758,Turkey wants to give AJ a foot rub,5개월 전,0,
@stevendavis2122,Joshua did well to avoid getting ko’d again.,5개월 전(수정됨),0,
@johnmcmullen7510,Well done AJ 😊,5개월 전,1,
@NievaAndAnt,i have seen 954,5개월 전,0,
@titomijangos9942,se ve que no le fue con todo su tecnica de golpeo es muy buena,5개월 전,0,
@JohnZBaeZ,All that blood rushing to the hand kinda hurts,5개월 전,0,
@bungah_lestari,Can you imagine if at that time an ordinary person was hit by Anthony...😮😅,5개월 전,0,
@restitutorebucassr.5984,mr snickers teletubs from mexico destroyed the score.,5개월 전,0,
@Boeing-y3v,"If they would invite Sonny Liston, machine would probably said : nah you are alone with that guys 😭 🙏",5개월 전,0,
@scottleighrobinson2412,Daniel dubois could break that record 😂😂,5개월 전,1,
@oswaldmosley7584,"You are not British, you are African",5개월 전,0,
@nileshVJAIsforMystinicalBlue,"Nilesh Yadav DESTROYS Punching Bag Record! Gurrl, You Need to Venture in A Quest to Go Linked Out, too! ✨❣️",6개월 전,0,
@alexlamont4470,It's a pity he can't do in the ring.,6개월 전,2,
@brandonreed2175,Bro I’m no pro fighter and I hit over 900 Every Time,6개월 전,1,
@davidowen2629,Punching mean what when you don't have fighters heart or veracity!,6개월 전,0,
@leonardsilitonga8144,I think there are different punching machines. This one on the show scores lower than the one i tried at Belmont Park San Diego to which I got a score of 868.,6개월 전,0,
@abdulshohid162,Use body weight and swing,6개월 전,0,
@Axel1051,Now let's see what Tyson Fury can do.,6개월 전,0,
@jamesashton2291,God damn. That british guy is loud and cringy.,6개월 전,0,
@danielr.8345,I bet one of his millions i can do better,6개월 전,0,
@JohnMaki-u3t,Weak I got 970 my first time and I was drunk,6개월 전,0,
@ilovebenchpress5315,I punch these machines a little bit harder,6개월 전,0,
@romeolajh1602,and today anthony joshua become a punching bag,7개월 전,0,
@snickerdoodle1,“Boards don’t hit back.” - Bruce Lee,7개월 전,0,
@skinny1968,We had the machine in our local bar. For a long time a 110 pound girl held the title. It was all technique. Funny to watch her beat a bunch of big rednecks.,7개월 전,0,
@Per12189,The first gentleman cross technique was better than Joshua's,7개월 전,0,
@dfuneral,Teeeeeeeeeed,7개월 전,0,
@neinzumrassismus3532,Anthony is a 🎈,8개월 전,0,
@maximisatwat,"Didnt look to me like he did that as full power as he could have, like he didn't want to do an all out full power hit at his full capacity.  I wonder what his 100% power would be",8개월 전,0,
@livedwardo,Bilbo can throw hands 😈,8개월 전,0,
@matiassanchez2432,"Ni uso el impulso de su cuerpo sino pegaba más fuerte, yo que peso 60kilos le pegue y me dio 861 la máquina",8개월 전,0,
@rockinginafreeworld3256,Shame he cannot do that in the ring.,8개월 전,0,
@bestgrimbarianever,"what an absolutely stunning woman rachel weisz is... imagine my shock when i found out she was 47 (when this was filmed). i'm 31, and not usually a guy who goes for older women... i literally thought she was in her 30s 😧 unbelievable.",8개월 전(수정됨),0,
@ranjanbiswas3233,He can punch better than this no?,8개월 전,0,
@LargeGeorgeForeman,Do you really think you punch harder than Anthony joshua lol,5개월 전,0,
@JohnMaki-u3t, @LargeGeorgeForeman yea I do .!I think fighters are overrated. In USA only rich kids grow up boxing . I’ve also won state in weightlifting in high school so I bet I’m definitely stronger then him to. 🤡,5개월 전,0,
@LargeGeorgeForeman, @JohnMaki-u3t  In the UK boxing isn't for the rich ones and you train how to lift weights not to punch,5개월 전,0,
@LargeGeorgeForeman,Anthony threw a hook lol,5개월 전,0,
@mrsplosh999,Usyk laughing in the comments 😂,8개월 전,0,
@Leonardofficial_1,4:30 thank me later,8개월 전,11,
@srnbbgshorts284,My score 875😮,9개월 전,0,
@vicioussnake3398,Und seine Karriere,9개월 전,0,
@elijahknox4421,I'm just here to brag that I got 812 on one of these,9개월 전,0,
@Бекзат-з3ъ,3:15,9개월 전,0,
