username,comment,time,likes,reply_count
@PhilipDeFranco,"Since we constantly say, ""Listen to the experts"" it felt right to have one on.  Hope you're having a good friday. 😀",5년 전,5.8천,
@eye_straindigital,"Aged like milk. Fauci, Biden and bill gates should all be in jail for the fake pandemic",1개월 전(수정됨),0,
@Roamingronald,Fauci should be in jail,1개월 전,1,
@somethingsomething404,"Wow, I watch phill so often I didn’t realize how dramatic his weight loss was until seeing this in 2025",1개월 전,2,
@audan2006,This aged like smegma... don't look up smegma,1개월 전,3,
@forTehMemes,Can’t believe I liked a video that was pure propaganda for Fauci. He lied during the pandemic and got a fucking preemptive pardon from Biden. I can only hope he gets prison time,2개월 전,2,
@anon2466,philip defranco smells like shit,3개월 전,2,
@jay-t8l2y,Whos here after the biden pardon,7개월 전,7,
@danrandlehandle,So many crazies in here,7개월 전,2,
@westoest124,this video is one of those that don't age so well....,8개월 전,9,
@marcpena266,This video aged well. “Trust the experts”,8개월 전,6,
@CuriousMisterG,And this is why I hate Defranco and Coyote Peterson. Couldn't stay out of it,1년 전,6,
@istyleonu,"Looking back on this video and the comments years later really makes me realize how great a job Phil did with it. He very effectively spread false information and illogical fear which contributed to Pfizer making billions of dollars! Phil should do another episode like this and bring on another ""expert"" to tell us how Pfizer's pain relief medications are non-addictive and bring joy to millions of Americans.",1년 전,10,
@IAMYOU-.,My comment got removed immediately.,1년 전,7,
@Sharkster32,This aged well.,1년 전,8,
@LuckyQT1,WH coming4u.,1년 전,0,
@H.V.C_Shino,Dr fraudster lies to Defrankster,2년 전,16,
@mikevids342,So glad I’m pureblood . This dude is complete scum,2년 전,13,
@asghhpphfd9199,Phil quick b4 it’s to late bud,2년 전,2,
@JaimeKingz7,Well this video didn’t age well huh Phil?🤣 two 🤡s at work. Beautiful 😍,2년 전,12,
@emily-9619,you're doing good work here. Thank you!,5년 전,51,
@ianalvord3903,Thank you for doing this.,5년 전,37,
@JoeyKlu,Seriously. Thank you.,5년 전,34,
@33presunto,Muchas gracias sr De Franco.gracias en verdad buena entrevista,5년 전,17,
@J0SHUAKANE,Don't listen to experts. Research everything they say on your own.,5년 전,33,
@jackalano4100,This feels like such a big step for the show! Good work!,5년 전,19,
@Laremy,"Why didn’t you ask him about loosening US regulations so Bats can be tested, also what about Fort Detrick Shutdown and reopen same day they begin working on VAXXXine",5년 전,8,
@frijolitodr,Amazing work Phil!,5년 전,8,
@timtabutops,Thanks Phil.    You too,5년 전,3,
@EatShiz,Really impressed to see you have the expert my parents swear by!,5년 전,2,
@f.garrettlondon7611,Thanks Phil!,5년 전,2,
@anlcankacar2298,"Philip DeFranco man to see you get this interview, like a TV hotshot!!! I am so happy and proud. Love you man, keep up the good work!",5년 전,4,
@JennRighter,Philip DeFranco hair looking sharp.,5년 전,0,
@tayloj9,Thanks for this information!!,5년 전,1,
@AnglefanGaming,Good episode. I thought going in it was going to be a lefty phil undermining the Dr. Good job keep up the neutrality.,5년 전,1,
@Wax_Lavish,"My neighbor thinks COVID19 is a scam, and Fauci is making it out to be worse to push some agenda. 🙄 Why did I move here?",5년 전,14,
@marmer1327,"I am glad you did this, this is why I prefer to listen to you than other media sources",5년 전,2,
@roughsword5344,Got a pair of those shoes always love to support a cause,5년 전,0,
@justifydwarrior,"Loved your questions, plus the viewer Q & A!  This is much better than the TDS interview.",5년 전,3,
@stormynightpictures,Philip DeFranco are you going to talk about the sexual allegations that Tara Reade has put out about Joe Biden? It seems like EVERYONE in the MSM is trying to run away from it like it’s the plague. https://youtu.be/6vZTuU-NDV4,5년 전,6,
@arnoldmanuel3311,Good job on sticking question only about the virus and the steps they are taking to minimize the spread of it. No need to make this a political matter since lives are on the line. Let some other news outlet how bad Trump is handling this pandemic.,5년 전,5,
@DLeeGriff,How in hell did the virus get to Africa!? No seriously. There had got to be a easy connect the dots chart as to who brought it there.,5년 전,6,
@Malithar,"Moving on up in the world. 5 years ago, I woulda never imagined any YouTuber getting such an interview. Keep rockin you beautiful bastard!",5년 전,2,
@ladyluck1512,Philip DeFranco thank you for always going above and beyond to keep us informed.,5년 전,0,
@MikeGlasses,Philip DeFranco why even make Friday and weekend videos if they’re just corona virus episodes. Get enough of that during the regular show.,5년 전,0,
