username,comment,time,likes,reply_count
@Beverleypops,Even if a skit I can't stand Stephen,5일 전,0,
@ProjectAzorian,Sad,6일 전,0,
@IntaGash,Colferry is not funny and never has been. He sucks shit through a dead rat's ass!,6일 전,0,
@1000000man1,The fact that they used really obvious stunt doubles as well 🤣,12일 전,0,
@waynethurman2144,"My World And Welcome To It"" was #1 when cancelled; ""Marcus Welby, M.D."" was #2.",2주 전,0,
@stonerflynn2023,That was awesome nothing but love for both Bruce Willis & Stephen Colbert 🤣❤️,3주 전,0,
@boatlover8856,I bet this was a great show to see in person... LOL,3주 전,1,
@marios3202,I can't believe anyone thought this was a good idea..,3주 전,0,
@whiskeycat-i6h,Robert Conrad used to do all his own stunts until he fractured his neck. He made a full recovery but the set closed down for weeks. Most studios 😅,3주 전,0,
@rsar61,When Stephen was funny. Without the politics.     What happened to late night tv?,3주 전,0,
@LashaXizanishvili-x3f,😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘,3주 전,0,
@LashaXizanishvili-x3f,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,3주 전,0,
@ANTONYTHEDRAWINGMAN,this is so brilliantly done....so much skill and experience otherwise massive injuries.,3주 전,0,
@JurieKnoechl-p3w,Listen to that stupid brainwashed crowed that got payed to give a good laugh. It's all so fake,3주 전(수정됨),0,
