username,comment,time,likes,reply_count
@ronaldreid5762,"Respect to the brother, that bought the tickets, to Disneyland...",2일 전,0,
@Claudejr1234,"EVERY BLACK PERSON IN AMERICA SHOULD BOYCOTT THIS COMPANY, ACCEPT NO APOLOGY.",2일 전(수정됨),0,
@MrCapeman1,"Blacks are responsible for half of the crime in this country , and only make up 12 percent of the population",4일 전,0,
@imanijaldinhartsough1342,"the family the Phoenix police drew guns on settled with the city for over $470,000 in August 2020.",6일 전,0,
@imanijaldinhartsough1342,"Christopher Meyer who drew is his gun and cursed out the pregnant woman and her small children. Was fired in 2019 after he also threatened a man, kicked his leg, and cursed at his family while they complied with his orders.",6일 전,0,
@imanijaldinhartsough1342,Cornerstore Caroline (Teresa Sue Klein).,6일 전,0,
@imanijaldinhartsough1342,"""Permit Patty"" Alison Ettel resigned as CEO of a medical cannabis company called TreatWell. The company released a statement expressing regret over the incident.",6일 전,0,
@imanijaldinhartsough1342,Cornerstone Caroline,6일 전,0,
@asher8912,and they all chopped asf ☠,7일 전,0,
@ruthngavavia122,"COLOR IS NOTHING, HUMAN RACE IS, MULTICULTURAL IS HUMAN RACE. WHITE PPL ARE SO INSECURE IT'S MIND BLOWING 😊. NZ",7일 전,0,
@Horn6900,❤,7일 전,0,
@ronaldsullivan769,IT'S NOT 🚫 FUNNY ANYMORE!!!!!!✊🏿,9일 전,0,
@billlangston6571,This Happened to Emmit Till,10일 전,0,
@marshallsmith6038,"Travore, you were not brought up in America! This is American as apple pie!",11일 전,0,
@Doodookakadoodoo,its better to call the police even if you are suspicious of them! you could save lives!!!,13일 전,0,
@martasuljic3661,"And you all make fun of it . Well ,,,,gotcha",2주 전,0,
@martasuljic3661,U    S     and    A,2주 전,0,
@thembekamngomezulu2710,Black people in the US must all join the police force!!!! Simple 😊,2주 전,0,
@aadger01,"The ground hog killing. GEEZ, WHITE  PEOPLE ARE NOT JUST AFRAID OF SMALL BLACK CHILDREN,  BUT GROUND HOGS TO. 😂😂😂😂😂😂😂😂😂😂😂",2주 전,1,
@aadger01,"That video about the little girl stealing a doll was not funny at all. It was appalling and painful to watch. My blood was literally boiling after viewing that video. One of those cops was terminated. However, both of them should have been fired. 😡",2주 전,1,
@ANTIFAxxkillallNazi,"The claim ""13/50"" is a racist and misleading talking point that is untrue because it conflates and misrepresents crime data to promote harmful stereotypes. Used as a dog whistle by white supremacists, it suggests that Black people (roughly 13% of the U.S. population) are responsible for 50% of violent crime. The assertion is faulty for several key reasons. ❤",1시간 전,1,
@aadger01,"This dude is hilarious. I loved his show so funny. But all jokes aside, this is the let's make America great again policy. Our freedoms  in this country are being sowly taken away each day. No matter what your race you are. However, racism will always be a failed systemic in this country. I hope those two guys sued. 😐",2주 전,1,
@SinisterMark45-o1b,If a cop threatened you can you selfdefense?,2주 전,0,
@Alucard-j7l,U guys are obsessed with race,2주 전,0,
@th-cc6ei,Black on black crime is the real problem.,2주 전,0,
@th-cc6ei,Ugh who cares? Everyone is racist so move on already,2주 전,0,
@jupso-sn6jl,"This is sick, America.",2주 전,1,
@danchan5028,She wanted to be sexually harassed.  She was just disappointed it turned out to be a 9 yr old kid who bumped into her.,2주 전,1,
@faiyazsakib7620,When noah peaked,2주 전,0,
@TerpNikolaus,"Boycott Starbucks, they are too expensive anyway !!!",2주 전,0,
@TheGentlemanPlumber,Trevor Noah wants to bed white women but shame all the white men such a hypocrite,2주 전,0,
@damanybrown5036,disney was a certified racist,3주 전,0,
@evertderuiter9300,Ypu are a 🌟  Treva ❤,3주 전,0,
@CarolynJackson-d5f,‘*682,3주 전,0,
@mariogastelum1498,The cops in Phoenix are operating by RACIST attitudes,3주 전,2,
@cyclenut,"Framing someone is a crime, a felony. The law needs to start cracking down on false 911 calls.",3주 전,1,
@Argo3351,Im so glad I dont live in america,3주 전,1,
