username,comment,time,likes,reply_count
@pikapicachu24,im revisiting. look at you 6 years ago Luke aweeeeeeee :'),4개월 전,0,
@SharmaneCat,39:25 lrd,4개월 전,0,
@sebastianromine1271,Well. That sure was an opinion.,4개월 전,0,
@stacilee9057,Hilarious! You really make fashion fun.,8개월 전,1,
@WisKrisKar,"This is my favorite fashion roast review on the channel. More ""F Bombs"" dropped than any other episode, Luke becoming exponentially more frustrated and angry as the minutes go by,  and my favorite quote on Lena Dunham ever ""She was doing such a bad job of being campy, she was campy.""",8개월 전,0,
@marypeters1928,Joan Collins referencing her own Dynasty character is the ultimate camp.,9개월 전,0,
@kevenpeoples,"I'm not sure if it was intentional, but at 20:17 you perfectly nailed a Sandra Bernhard impression. I'm obsessed with watching her old interviews on Letterman, and she was obviously camp af in her heyday.",10개월 전,0,
@saoirsemaimcmahon10,Nick Jonas looks like Gomez of The Addams Family.🖤🎇,11개월 전(수정됨),0,
@catecoleman9852,"LoL the captions for Halsey said she ""is wearing probably wrong""",1년 전,0,
@catecoleman9852,When I heard the theme and I thought someone would surely wear a vintage Bob Mackie with headdress! Disappointed 😞 but Emily R came close,1년 전,0,
@jennelowens8813,"I understand I’m years late, but Kendall Jenner was supposed to be imitating little Kim from the MTV video music awards when she wore purple hair and the pasties let’s give credit with credit is due to black women thank you have a great day",1년 전,0,
@judyengle7728,Love how you are wearing a boys winter ski jacket,1년 전,1,
@alexismcdonell2192,Why is the swearing comforting me like a sweater,1년 전,0,
@zaccamden5016,"I hate James Charles, periodt. He's a pedophile",1년 전,0,
@claudiagrady5309,Stop with the “F” bombs. Not classy,1년 전,0,
@carmenmcgowan3968,I love how you got grumpier and grumpier as this went on … I bet you needed a cup of tea and a lie down after that my love. 😬🫖,1년 전,0,
@queenscylla90,You know. Harry Styles wearing a big tulle gown like he did on that vogue cover or something like that would've been major.,1년 전,0,
@Matrraka,I love this video,1년 전,0,
@susanpowers2997,"your so great, very funny!  love watching you.................",1년 전,0,
@ahzen3106,"Camp party  I love you, thank you so so so so so so much! I can’t wait to throw a camp party for charity, of course, but you’ve given me ideas and if it takes me two years to make it happen, don’t worry it’s going to happen! I was trying to explain what camp was to a friend, and I said, I think, camp is, the Addams family meets RuPaul drag queen Show on Halloween with a tinge of Quentin Tarantino.  Cha!",1년 전,0,
@sharonoconnor2849,"I love this video, so savage 😂 and the fact you're doing it whilst looking like a trainspotter in winter just makes it even better! 🤣❤",1년 전,0,
@christinasuozzo,This basically proves that Hollywood people have no taste of imagination. They’re not true artists,1년 전,0,
@pcassidy42000,"""Fuuuck you. This sucks."" I enjoy this verbal carnage so much. Its by far my favorite review. Like why do they come if they're not putting in effort? Stay home. Its free.",1년 전(수정됨),1,
@lochieearl6613,"(Kate Moss not Hudson :-)  But YES! Couldn’t agree more, girl has so much access to camp - a bit of a wasted opportunity. It’s a shame so many were doing what the average Normal Person does for Halloween- trying to retain ‘hot’ over properly theme-dressed. I love this episode as you are putting honest and accurate over diplomacy",1년 전,1,
@wendybond2848,"I’m not a prude and I swear, but I thought so much swearing by you as such a young man was not attractive. Glad you don’t swear so much 4 years on! Love your work though.",1년 전,0,
@amairhapokala,harry's met gala look is iconic bc so many people still try to emulate it to this day,1년 전,0,
@nesspresso,this video is so savage compared to the newer ones!  I fucking love this,2년 전,2,
@allsixxes,"tbh i didn’t think that was a take on pride, i thought it was based on the children’s book a bad case of the stripes lol",2년 전,0,
@sandywheeler5500,"Excellent!! Would prefer less f bombs, but just love you to pieces. 😘❤️",2년 전,0,
@pichipie,Cardigan Backyardigan 😂,2년 전,0,
@hanifahibrahim7451,"Oh my gosh , I’m a new listener this past year and love your videos. I listened to this video of a few years ago, I appreciate your more professional reviews with no foul language of your more recent posts.",2년 전,0,
