username,comment,time,likes,reply_count
@ภคธัชประพฤทธิกุล,Who watch in 2025 it so fast just 4 years,1시간 전(수정됨),0,
@ErickSebastiánVázquezZuñiga,En 2026 el mundial,1시간 전,0,
@guillermojuarez4498,Alguien en 2025😓,5시간 전(수정됨),0,
@SleepyPoppyFlowers-qx3hq,Me hearing this peak while arranging my players😢,10시간 전,1,
@MARWANBRAZIL,2022💔💔😭FIFA PLAY,10시간 전,0,
@NittahMazonde,Bro davido wow ur also singing,10시간 전,0,
@Shanqs3111,Song fifa mobile 2022😢,12시간 전,1,
@Ilyguvgu,2026 🎉,15시간 전,0,
@Zxter7,Watching hearing 2 year,16시간 전,0,
@brayanvalencia8325,"No me importa lo que diga la FIFA ni Qatar, está es para mí la canción oficial deo mundial 2022",21시간 전,0,
@juancastro9296,Te extraño 2022,1일 전,0,
@fernandoalonsogimenezrodri2325,Who remember fifa😢,1일 전,0,
@IsmRa-g5i,1000 day ago 😓,1일 전,0,
@Girl-v6j,November 2025,1일 전,0,
@Bzin999,99000 comments with me,1일 전,0,
@taranumjp,Who’s watching in.2025 ❤😢,1일 전,2,
@AbhrajitSaha-k9m,Authentic!!❤,1일 전,0,
@ikerzv-h5m,2026??? NOOO PLEASE 2022,1일 전,0,
@spacegaming-q1m,Anyone in November 2025?,1일 전,2,
@flippykanka,"Cómo que 3 años desde su publicación?... Me acuerdo cuando decía ""hace 1 mes""🥀😭",2일 전,2,
@MariaJovaniParedesPerez-z6b,Ahora Qatar ❤,2일 전,0,
@ridgeback-guido,Bonito vídeo grabado en Perú,2일 전,1,
@DESZATHLETIC,I watch in 16 Nov 2025,2일 전,0,
@othmaneosmane8342,Abdeljlil hadda ❤morocco,3일 전,0,
@Sarp753,ohh sh,3일 전,0,
@YORDYANGELACOSTAREYES,"Que infravalorado está Red One, sin duda uno de los mejores productos musicales de todos los tiempos.",3일 전,0,
@THEKING-c1l,Fifa 2022😢,3일 전,0,
@Tiagodointer,2026,3일 전,0,
@АлияУтарбаева-к4п,Que recuerdos😢😢,3일 전,0,
@JoseSantiagoHernandezHuerta,Que recuerdos😢😢,4일 전,2,
@YerlisDehoyos-lu9ur,Who watch in 2026,4일 전,1,
@MilovanDjilas-p8x,Syper Crazy COSMO+!?,4일 전,0,
@alex_garcia1960,Confio Que Iremos Al Mundial❤🇭🇳 Vamos Honduras!!!,4일 전,0,
@arabic-r6y,Fifa mobile 2022😭,4일 전,3,
@aneth-t8n,sounds like yesterday ❤🎉🎉❤❤,4일 전,2,
@dragon-y-y4o,OP Song 😢😢 nice The old song 😍 🎉,4일 전,7,
@Dasilah-k6x,Memories 😢 2026 comeback,4일 전,2,
@HSRAVENS,I'm not sure this song + Arhbo can be beaten by any future world cup soundtrack. Just oozing with nostalgia,4일 전,2,
@speedefxxx,2026?,4일 전,1,
@ericklapo5315,La verdad que era un temazo. Como no lo valoramos 😢,4일 전,7,
@NURADILGALYMZHANULY,hii,2일 전,0,
@NoushiNoushija-tk4dc,😢,3일 전,0,
@elektrisimooljubisavljevic4684,The song is pure peak,4일 전,0,
@DOL96editz, @elektrisimooljubisavljevic4684 honestly,4일 전,0,
@dragon-y-y4o,❤❤❤,4일 전,0,
@conga-b6d,Ya bro,4일 전,0,
@NicknamedGoal,guys i will be playing in the 2026 world cup... as benchwarmer,5일 전,2,
@DerekCastillo-ox6xt,Alguien que vino para olvidar la concion del 2026😢,5일 전,2,
@MOATASSIMidjellidain,Time is goooo😢❤❤❤,5일 전,1,
@UltraStagee,Memories ✨🥲,5일 전(수정됨),0,
@sanmotiva,Como ya pasaron 3 años😔😔,5일 전,0,
@허태원-s4u,"When I listened to this song in fifa mobile in 2022, I didn't know this song is such a masterpiece",5일 전,2,
@nmh09523,2022 ❤,5일 전,2,
@ijreditz,memory of FIFA mobile 22-23 😢😢😢,5일 전,1,
@PaulaOlivares-t7n,Todos somos equipo 😊,6일 전,1,
@PaulaOlivares-t7n,❤❤❤,6일 전,1,
@m_kvlog_mng9393,Everytime time best would cup 2022 Qatar 😢🫡❤️,6일 전,0,
@aashooq,Who watch  in today😢,6일 전,0,
@messidinhio,Tan buen tema y no lo supe apreciar mientras fue el mundial xd,6일 전,0,
@SimónBoss-y2l,Después de escuchar la del 2026 esta parece una joya,7일 전,1,
@Galilandia,bzrp session daddy yankee tiene que ser el siguiente no?,7일 전,2,
@runine_10,Who is watching this song after the Mexican national team's loss in the opening match of the 2026 World Cup?,7일 전,0,
@JonathanBolaños-k8h,Denme siempre Shakira en  el mundial,7일 전,0,
@christinamdemu9024,Hayya hayya hayya is the best,7일 전,0,
@urmimajumdar,Nostalgia,7일 전,1,
@gamingon321,Fifa mobile😢,7일 전,0,
@santysevilla5510,"¿Como no apreciamos esta joyita? Ahora que salio la cancion de ´´Somos mas ´´ me hizo apreciar las canciones de los mundiales pasados, pero todo es culpa de Shakira solo ella deberia tener el derecho de hacer canciones para los mundiales 😫🧐😪",8일 전,2,
@LG_EDDITZ2.0,I can’t thank the 2022 world cup more 😢. Sad it’s over but love the memories created❤. THaNK YOu World Cup 2022,8일 전,1,
@keylerjosequispe8776,WHO IS IN 2025? 😭🥀🥀,8일 전,1,
@Lukas.961,Fifa 22 GANGG,8일 전,0,
@MrTamim-k4p,Who wach in Bangladesh ❤❤,8일 전,0,
@ShuvamHalder-oo6pv,Miss you ২০২২😭😭😭😭😭😭😭😭😭😭😭😭😭😭 FIFA World Cup,8일 전,1,
@aymanahmad-e5l,What in the hack,8일 전,0,
@footballedits1-k8o,FC Mobile 2022😢😢❤,8일 전,0,
@Dlexs27,fifa2022💔,8일 전,0,
