username,comment,time,likes,reply_count
@roopnarayan1479,"प्रश्न. 4. विचारिए तो, क्या शान आपकी इस देश में थी और अब क्या हो गई! कितने ऊँचे होकर आप कितने नीचे गिरे। – आशय स्पष्ट कीजिए। उत्तर: यह कथन लेखक द्वारा लार्ड कर्जन को संबोधित करते हुए कहा गया है। उस समय जबकि कौंसिल में मनपसंद सदस्यों की नियुक्ति करवाने के मुद्दे पर लॉर्ड को अपमानित होना पड़ा था, लेखक याद दिला रहे हैं कि आपको भारत में बादशाह के बराबर सोने की कुरसी मिली, आपको सबसे ऊँचा ओहदा मिला। आपकी सवारी सबसे ऊँची निकलती थी और कैसी विडंबना है कि आज आप न इंग्लैंड में मान पा सके, न ही भारत में उस पद पर रह सके। कहने का तात्पर्य यह है कि जिनका हुक्म बजाने के लिए आप भारतीय जनता का शोषण करते रहे, आज उन्होंने ही आपको ठुकरा दिया। आपका मान-सम्मान सब मिट्टी में मिल गया। लेखक चाहता है कि कर्जन सोचकर देखे कि अकारण हमारे हितों को कुचलकर हमारे देश को काटकर आज उसे क्या हासिल हुआ?  प्रश्न. 5.",6시간 전,0,
@elijahgodwintz01,.,2주 전,0,
@wadmaka,Where's Story Of Israel !!? 😅 Don't say shut up 😅 .. a big hypocrisy in history..😅,3주 전,0,
@ffbdgamingyt1085,Bangladesh ❤❤ i am proud of my motherland,1개월 전,0,
@eg_tasin,"Sometimes I wonder why the guidance of extraordinary minds like Gowher Rizvi and Dr. Kamal Hossain faded away. Why were we deprived of their advice and critique? I do know, though, the toxic political environment in Bangladesh made it so. We prioritized ground-level heat to secure power over academic knowledge to lead real change.",2개월 전,0,
@SirBeauJangles,"It’s like SO kind of Google to allow slivers of Oxford speaking between their highly welcome advertisings which we all love like SO much and come here especially to view.  There was a whole MINUTE and a bit of a second before the first ad break came through.  So very generous of The Incredibly Public Spirited Google to let about 70 whole uninterrupted SECONDS before the  first commercial break arrived… Re their advertisers.  People are like SO critical about the standard of items advertised here on YTube, yet I remember well seeing an advertisement here about nine months ago that was only slightly suspect, meaning that only about 99.9% of ads here are crooked cheating bastards, so - WTF???  People are just so disrespectfully critical of Google’s “standards” - which is like SO unfair, when Google has clearly tried so hard to change this platform to one entirely FREE of the slavery of observing standards of - what’s that word again? - gottit. “Quality.” Standards of Quality - who needs such outmoded and imperfectly-commercial concepts? Not us! We’re- Googlers, and proud to be free of standards of ANY sort! Just like - Republicans!",3개월 전,0,
@thermal84,Why is this your best video lmao,4개월 전,2,
@Timeওয়ার্চড়ীণ,swbadhin indipindente the father of the nasashon,6개월 전,0,
@Timeওয়ার্চড়ীণ,work its who,6개월 전,0,
@Timeওয়ার্চড়ীণ,chukher jol amar dore rakgte parna karon bujte parina ami hasina ke valobasina kinwthu take dekhle cukger jol cole ase eken cukh amar karon ki,6개월 전,0,
