username,comment,time,likes,reply_count
@Corridor,"Don’t forget to turn on subtitles for the full experience!  Also, corridordigital.store to get one of them sweet shirts!",6년 전(수정됨),3.6천,
@UchihaHideru,Last,2일 전,0,
@phanitsoun387,❤😂😂😂😊,3일 전,0,
@BrynleeyDixon,❤🩲👈🫣🤤😍,3일 전,0,
@ZOROGamingzin1,5:10 😂😂😂,8일 전,0,
@khaerilkhaeril-o1j5e,maybe i'm the last 😢,2주 전,2,
@jembot-n8p,cb herex kang darno,2주 전,0,
@AngelGasoar,Alguien en el 2025😢,2주 전,0,
@EmilCham-o4o,2025 do you? 👇,3주 전,1,
@DADDU960,Anyone in 2025 ?,3주 전,1,
@pure_vibesshort,Can you make part 2 of that video,3주 전,0,
@itsbSUUI11,2025 anyone?,1개월 전,9,
@Dosey-87,"You might wanna reconsider a different fuel source, gypsum crystals do last longer, but they’re incredibly rare.. I suggest going with the more common cerium crystals! Sure they only last a few days at most, but they can be found in just about any cave below 55 meters.",1개월 전(수정됨),1,
@PalagiTuuaga-i5n,Sophia  very  soon to me is 6😮😮,1개월 전,1,
@imsreypov2367,ល្អមើលណាស់បង😂😂😂❤❤😢,1개월 전,0,
@TínhĐặng-e3v,2025🎉,1개월 전,0,
@saflyelnar9557,MINECRAFT IS ZOMBIE APOCALYPSE,1개월 전,0,
@saflyelnar9557,YEAH A BIKE APOCALYPSE,1개월 전,0,
@saflyelnar9557,...,1개월 전,0,
@AAYUSH_BURA,Nostalgia,1개월 전,0,
@Webberjo,Typo at 6:09. must have* (or must've),6년 전(수정됨),106,
@Foomandoonian,And to cover up all of that great FX work!,6년 전,52,
@Xenibalt,"DONCHU BE TEEZIN ME NO DND BRAH!   (love this shirt design tho, ultra fucking hot)",6년 전,40,
@sngaulin,oups.. too late,6년 전,22,
@fletcherst-germain,shut up bitch boi,6년 전,9,
@rob_i208,I wonder how many people just discovered Primitive Technology and will be spending the rest of their weekend watching those videos.,6년 전,11,
@weftin5721,TETHER SEQUEL/PREQUEL WHEN,6년 전,9,
@SentinalSlice,Corridor wish I had seen that earlier,6년 전,6,
@P.r.i.m.o,I just rewatched the video because of this comment,6년 전,18,
@npc92,"at 6.08 ""what it must of been""... come on corridor! you are better than this ;)",6년 전,6,
@lorddarthvader6289,damn it,6년 전,3,
@tws7780,Anime robots,6년 전,2,
@destroyrebelscum7930,"I had watched the video without them at first, and then rewatched the Prim Tech Universe playlist, turned on subtitles for one video, and ended up realizing there were some for this one as well. Totally changed the experience! The Munchkin graves were hilarious, I freakin love this lore.",6년 전,2,
@wiro1973,"Good job guys, you made me rewatch this",6년 전,5,
@Mitsukakex,I love the adventure these 2 kids are on ever cense the Meemaw incident.,6년 전,5,
@DerekHighet,"This made me realize, that the original PT videos probably have subtitles.... I never knew....",6년 전,4,
@hokage_smoke,I followed your motorcycle building instructions but I couldn't get it to pass inspection.... I'm probably at fault here any tips to fix it?,6년 전,4,
@jeromekhies4948,hoLy jittt.... n_,6년 전,3,
@ghostpants7930,I was just about to leave this exact comment! XD,6년 전,3,
@jyotipravadebbarma6307,you,6년 전,2,
@johnlawrenceabanid8673,I love your vid keep it up! :),6년 전,2,
@geraldcatbagan7936,Cerrideor,6년 전,3,
@thepuser8777,ควาย,6년 전,0,
@putrisikumbang1486,Bang mantap,6년 전,3,
@trucy85,8 v,6년 전,3,
@trucy85, @Xenibalt   .v,6년 전,1,
@kanifnathzole8438,Z,6년 전,2,
@ahmadmoustafa5063,Corridor سيوت,6년 전,3,
@ferhat4425," @Webberjo  nope, 'must of' works perfectly fine, too",6년 전,1,
@laylanismaeel4995, @sngaulin  ء,6년 전,2,
@thidiemly9791,VT,6년 전,5,
@សុីណេង-ឃ6ធ,Corridor េ,6년 전,0,
@romyrivera8511,I,6년 전,0,
@cintiamoreira1265,A       Aaaaaá,6년 전,0,
@زهورهالعشق-ح6ب,ز ا ؤةزلتزززززؤ,6년 전,0,
@faizanbajwa368,Good,6년 전,0,
@hackco3015,Tại coa,6년 전,0,
@fabiandrewniak3985,😂😱😁😀🙂☺👍😊😄🤔🤕💪,6년 전,0,
@arpandit1170,..,6년 전,1,
@yanibelteamo2656,Ya ni Bel,6년 전,0,
@baopchannel9298,Hello Corridor,6년 전,0,
@กฤดาการทวันเวทย์-ข4ฤ,WOW😄😄😄😄😄,6년 전,0,
@MatheusAlves-sm8ds, @weftin5721  kkkkkkkkkk,6년 전,0,
@salahmaroc2455,Zipdhuoegyug,6년 전,1,
@TV-qo3sv,😊,6년 전,0,
@จิรศักดิ์จันเทพา-ฌ4ฅ, @Misterparkour2012  ...,6년 전,1,
@TheBraddigan,I got the full+full experience of forgetting there were captions until halfway through... touche.,6년 전,0,
@venplays1088,I buyed a shirt said -_- ^_^ ?_? !_!,6년 전,0,
@saadansari1488,Corridor jata,6년 전,0,
@hlyhouvkin9595,Esay,6년 전,0,
@hlyhouvkin9595,Easy,6년 전,0,
@daphnealvarado5836,Maycol,6년 전,0,
@พรทิพย์แสนพลราช-ฒ7ล,หญิงหลอน,6년 전,0,
@ЕкатеринаПотяк,Класное видимо,6년 전,0,
@chenhaeng7527,រយ,6년 전,0,
@mobilehx9867,12€÷527_£@!&#£#₩@&,6년 전,0,
@mobilehx9867,ດຫຮກຍກກນຫ,6년 전,0,
@mobilehx9867,ິ້ຍຫາຍຍບບວປນຍຫບມງ້ຫບຫໃງ,6년 전,0,
@traninhnguyen3705,Tôdi,6년 전,0,
@jumonggoloyd9911,Part 3,6년 전,0,
@Димон-ы6щ,Foomandoonian   Тьма,6년 전,0,
@عبداللهحقوي-ج9ر,4,6년 전,0,
@mackmack534, @Webberjo  . ? ໃ    .    😈🐃;  .,6년 전,0,
@clairenmichael,Xenibalt    Fyffe,6년 전,0,
@clairenmichael,Xenibalt )). H. H h,6년 전,0,
@clairenmichael,Xenibalt **,6년 전,0,
@clairenmichael,Xenibalt  hi hhhh,6년 전,0,
@hilmiakgunlu1036,Noice,6년 전,0,
@iamjustabaddream,rwy  v ryan toy review,6년 전,0,
@sovannsvlog7673,Corridor more more,6년 전,0,
@isidroserrano8605,Jhjg a afjmm      GdsdyuujhffsssssddddddddfgolcAqg,6년 전,0,
@حدوروكذاخدوريوكذا,بليل,6년 전,0,
@grannygaming9706,next video you can buid a bunker a   but you have ediz video a bunker a,6년 전,0,
@МаретаОганнисян,A,6년 전,0,
@Mrsubiker27,"Corridor ffccffyhujjiijuhhhyyhhhssadrfzzcsNx niet)(/(/)’,kkon",6년 전,0,
@nombit2308,Thus reminded me of LDoE,6년 전,0,
@davidfireboyz2420,Cm,6년 전,0,
@mdickie6286,فلهغ🥩,6년 전,0,
@bmdvlogs3174,Khanhkzjzkyi,6년 전,0,
@arseface726,To make cloth strips?,6년 전,0,
@ANGKORCRAFT,Thanks for your video. I enjoy with so much fun.,5년 전,0,
@frances2775,No entendi,5년 전,0,
@บุญยังอนุรักษ์,3ำดำดเเดก้แเแัดัด้แ่ด่ด้พััอัีี้้่เดดอิ้่,5년 전,0,
@บุญยังอนุรักษ์,เด็กเกาะเ้ัะะ้ัั,5년 전,0,
@pawel1.7.22,Now you tell me,5년 전,0,
@amyfogden9192,Xenibalt  cmvnbnvbjb j k k lol,5년 전,0,
@boost3821,This must be a half Minecraft reference. Love it,5년 전,0,
