username,comment,time,likes,reply_count
@ThatNewsBoy,This video gave me goosebumps,13시간 전,0,
@rjngsogod,"Grabeha gyud bitaw ani.. hayyssss LeBron idol.. September 28, 2025.",2일 전,0,
@SavoxYT,9:22 Even people who don't like LeBron have to admit none of what he said here was a lie.,3일 전,0,
@ScottSturrock-x3x,Yeah,8일 전,0,
@JJwest118,Bron faking,10일 전,0,
@JJwest118,Terrible shot from klay with 8 on the clock,10일 전,1,
@stonyx420,This game is the greatest NBA finals game I’ve ever watched. I loved every moment.,11일 전(수정됨),3,
@Fameslast,This and 2018 lebron 😢,11일 전,1,
@StevenC32,"LeBron elevated 11.5 feet to block that shot, his head was nearly at the rim.  This is the moment when LeBron passed Jordan in my eyes.  Being down 3 games to 1 and the determination that it took to come back, having back to back 40 point games and then in game 7 getting a triple double to go along with 3 blocked shots, one of which was of the super human variety.  This was not just any team to come from behind on, this was a record 73 game winning team.  Coming back from 3 games to 1 against 73 win defending champion team is like playing 3 straight championship games, because they faced elimination in 3 straight games.  That is the heart of a champion, most teams would have given up being down 3 games to 1.",13일 전,2,
@Isaiahworld1,You can hear the aura of the game 7,2주 전,0,
@Donapollo_ll,Here bcuz draymond said Kevin love plays the best defense of his life on Kai twitch,2주 전,0,
@wsamuel_12,1:50 1:55 2:00 2:04 2:06,2주 전(수정됨),1,
@GatitoXdH,LEBRON JAMES THE GOAT,2주 전,0,
@ez_e3185,Bring the shirts back 💯,2주 전,0,
@Retostl,"typical american sports ""final 3 minute"" - game doesnt end for 8 minutes XD",2주 전,0,
@masterofdisaster9194,Great game winner by deserved finals mvp Irving,3주 전,0,
@FelipeSilva-rf4pk,Estava assistindo e torcendo para o Cleveland.,3주 전,0,
@ffsbasket,Want to see all out lebron again in finals 😢,3주 전,1,
@田中聖-v6f,さすがにいないか、、,3주 전,0,
@SlideFrogShock,That LeBron block gives me goosebumps everytime,3주 전(수정됨),2,
@mickeytenghalcon5648,??? Brutha won a chip for his hometown down 3-1,4일 전,1,
@JJwest118,​ @mickeytenghalcon5648  <-- vaxxed and boosted,4일 전,0,
@johnjovanovichwick4194,Well put,10일 전,1,
@wsamuel_12,4:52 4:57 5:02 5:08,13일 전(수정됨),1,
@dumbahhperson,bro football/soccer literally has +5 +9 +15 what are you talking about 😂,5일 전,1,
@ronpinkney,Dont know how warriors kept Draymon after that lost,3주 전,0,
@TheVnizzletwosteps,"you cry when your a bit older to understand how tough and damn near impossible it seemed. 73-9 Golden State Warriors team with a meatball curry maybe no KD but still.  You telling me we got to witness this. Lebron winning in 2020 for the lakers after loosing the legend Kobe Bryant. 10 year drought for the franchise he delivers once again. there are only unbelievable basketball players I’m not sure if there is a best. if you can give credit give to LeBron 2011-2018 we saw him in the finals consecutively and if you’re arriving each time, maybe a few times in a different jersey, you’re not there by accident. Lebron is just an amazing athletes to watch.",3주 전,0,
@EliTrueTV,This team is so mf dangerous. 2K16 Cavs are one of the best teams in NBA History!!,4주 전,0,
@LTDANMAN44,THANK YOU LEBRON.  EVERYBODY LOVES YOU,1개월 전,0,
@killaction0317,"73-9 ain't fine, with NO ring 72-10 however...",1개월 전,0,
@LearnToWin9683,Every June my family and friends rewatch the 2016 NBA Finals.   This is a new basketball tradition we follow ever since Cleveland Cavaliers won their first NBA championship in 2016.,1개월 전(수정됨),2,
@FiveMinutesToReview,Was that a travel by kyrie at 30 seconds  left?,1개월 전,0,
@hrln2506,"From that point on, nba playoffs never been the same, even a team up 3-0 believes that he can be defeated",1개월 전,0,
@turbobusterman,"Most amazing 3 minutes of basketball, and only 4 points scored",1개월 전,0,
@Enoughsenoughnomas,"I can’t remember any other intensity like this in my life watching sports; Jordan and Kobe just never had any moments like this. No Super Bowl, or World Series has ever come close to this; maybe the 2022 World Cup final.",1개월 전(수정됨),0,
@erjabroni,This is so much less exciting than I remember,1개월 전,0,
@jezixthepro,"3:02 ""OHHH BLOCKED BY JAMES""",1개월 전,1,
@El.Mvlatte,Whos here August 2025,1개월 전,0,
@Josh-b5z3s,"This was the biggest FLUKE ever, and I’m not even hating on LeBron I think he’s great, but c’mon man",1개월 전,0,
@GabrysJ23,"I still cry so damn hard from happiness every time I watch this, just like I did in that moment years ago",1개월 전,0,
@DrewCanTrade,"Just came back to this after a while and man, the postgame interview really ruins the vibe. Wish they gave Bron some time to rejoice instead of having a reporter stand there awkwardly as she waited for Bron to gather himself. It's a lifelong accomplishment, let them have a moment before you try to squeeze something out of them...",1개월 전,0,
@rajhenry8863,No final  has come close since !!!!!!!!!!,1개월 전,0,
@user-en3ww2oc2g,Bron kept his promise,1개월 전,0,
@t99709,My LeBron hating stopped after this,1개월 전,0,
@mdr4743,Best finals I've ever watched,1개월 전,0,
@HereIsWisdom1318,1:45--Now Lebron has 11!,1개월 전,0,
@benkrenek,Still makes me mad the broadcast cut to a highlight clip over the “Cleveland this is for you” quote,1개월 전,0,
@GrandRand10,"Everything has been said about this game already, so I’ll say something new. At 3:02, Lebron is blatantly fouled by Iggy in the biggest minute of his illustrious career. The quote unquote whining baby said nothing and got back on defense to set up his magnum opus. Remember that next time someone uses the Le-[Insert stupid nickname] nonsense.",1개월 전,1,
@usamechan3202,Greatest Player of all time,1개월 전,0,
@duffman1876,"Too bad they don't show LeBron' Three point shot to put The Cavs up two when they were down one. Now we got hating goof ball's that just repeat...""Kyrie SAVED LeBron' legacy!😩"" ""Kyrie hit the shot of shot's!😰"" 🍺🍻",1개월 전(수정됨),1,
@BartrodFinklesberg,3:03 Blocked by James 🤴🏿,1개월 전,1,
@TurkRobespierre,1:43,1개월 전,0,
