username,comment,time,likes,reply_count
@surrealistic_art,Surrealism is more than just art—it's a way to go beyond the limits of your consciousness. My life took a significant positive turn when I began creating paintings and videos in this style. I feel like I'm walking on air.,1개월 전,0,
@devo4kina,"So fast, I'm afraid I couldn't remember the half but thnx, of course",4개월 전,1,
@MarjaKorpisaari-d2r,"Or i been manipulated or guided to be an artist, to stand for a popular artists crimes.",5개월 전,0,
@pony3284,Dorm room posters 😂  I remember finding Magritte in highschool and my english teacher saying she had his posters in her college dorm ❤,7개월 전,0,
@Mario-zo1uj,Exhausting energy.,10개월 전,2,
@macropsychoanalysis,"1:05.  'Parade' ~ parade, assume at least 3 meanings + Time. 1) Freud: A DIFFICULTY IN THE PATH OF PSYCHO-ANALYSIS(1917) ""I will say at once that it is not an intellectual difficulty I am thinking of, not anything that makes psycho- analysis hard for the hearer or reader to understand, but an affective one - something that alienates the feelings of those who come into contact with it, so that they become lessinclined to believe in it or take an interest in it. As will be observed, the two kinds of difficulty amount to the same thing in the end. Where sympathy is lacking, understanding will not come very easily."" 2) Moses | Trojan Horse  | Joshua 'Karen Horney' Whores Jericho Walls  3) ""The New Mission of Judex"" serial 4) Chaplin ""The Floorwalker"" (1916) satire of Futurism and Marcel Duchamp (get one back for the 'team'). Temporal:   Gimbal's 🦃  🎁 🛷 1920 Philadelphia  ""1917"" 2019 Redbox DVD COVID-19 parade.",10개월 전,0,
@armondobbabone8556,“Just think what could have been had it not been what it was”,1년 전,1,
@SOUBHIKSARKAR-xi9qu,Excellent!!!!!!,1년 전,1,
@thecandlemaker1329,"The rumours of Surrealism's death are greatly exaggerated! It was reborn in the 1970's as pop-surrealism, which is still going strong to this day. Robert Williams, Todd Schorr and Mark Ryden are some of the most famous examples.",2년 전(수정됨),0,
@ViorelDumitru-gl4ip,Incongruenta comprehensibila enclitic este o rezonanță a unui ludic praxiologic ce frizează vetustul exhaustiv😊,2년 전,0,
@im_batman1939-3,I’m here for an assignment. Just needed to put that in.,2년 전,2,
@anastasiamurawski6179,"I've been making surreal digital collages and now that my work is starting to get a little attention, people are beginning to ask me that age old question about surrealism: What does it mean? or What am I looking at here? Often I don't know what to say, there really isn't any hidden meaning, usually I just put together elements that just seem to look right together, I like leaving room for interpretation , I like hearing what others think it's about, it may be something I never even thought about when making it. I love surrealism and I'm  not sure why , I guess it's like what what said in the video, it's a blend of the familiar and the strange. I find realism kind of boring, as an art professor once told me:""if you want realism , go take a photograph."" I like the dreamlike quality to it, I like searching for meaning in surreal work. Any other artists out there who have been asked the question of what it means, and what do you say?",2년 전,0,
@mackinleymenezes6764,Imagine trying to explain how your vision looks when it is so complicated,2년 전,0,
@MrCounsel,Expression devoid of rationality.  There are other names for that.,2년 전,0,
@Anna8765,"I've never been so bored in my life, had to rewatch this video multiple times ughhhh",2년 전,1,
@lisengel2498,"Fine info opening into a more multidementional understanding of surrealism to open into a liberation of Human imagination an use the mind and imagination and a side range of techniques, creative freedom, open into freedom,chance, encounters, spontaneoty,  the unexpected, found objects- familier yet strange 🦎🎵🖤🎶🪲",2년 전(수정됨),1,
@darylcumming7119,With advertisements  now.,2년 전(수정됨),0,
@Harold710,"Well done research, thanks for the video.",2년 전,1,
