username,comment,time,likes,reply_count
@altaackermann5807,"This was the very first vlog I watched on your channel a few years ago. Now, years later, I’m sitting with my 6-year-old daughter who absolutely loves your videos. She’s already dreaming of traveling the world one day, all thanks to the inspiration you’ve given her. Thank you for sharing your journey with us❤",2개월 전,0,
@AMicheleEsq-65,Great video guys!! We did this the same year (2017) and month that you did for one of our Honeymoon adventures! What an experience!,3개월 전,0,
@TrujilloOnthemoon,They slept on the side of the mountain,3개월 전,0,
@beckyb4564,you have such fun advetures,4개월 전,0,
@kuldeepsinghsran5927,ਬਹੁਤ ਵਧੀਆ ਨਤੀਜੇ,5개월 전,0,
@prakharpriyanshu,That was Awesome🎉,5개월 전,0,
@funnyvideoontohin7043,"Tomalika, I am here for you.",6개월 전,0,
@eventuallysomeone7619,"😂 After the airplane, that mountain wouldn't be a fear at all. I admire the bravery and courage💪",8개월 전,0,
@vincenthucknall7175,You got a really creepy smile dude..,8개월 전,0,
@roymartin6506,thank you from indonesian,8개월 전,0,
@Goosif,Anyone in 2025,8개월 전,0,
@ItsMeNanaD71,"2:15 NATE! DONT DO THAT 😱🤢   Let the marathon CONTINUE!!! 👊🏼❤️😉 👇🏻 other people getting this on algorithm in December, 2024",9개월 전(수정됨),1,
@sylviaj270,"I have so many questions. Are there actually employees that climb up there to clean & stock up? How much do you have to pay someone to show up for work everyday? If repairs such as plumbing are needed, how hard is it to get someone up there to repair or replace something?",9개월 전,0,
@crucible4silver,No thank you! It looks so claustrophobic,10개월 전(수정됨),0,
@StillYHWHs,❤ If I was only able to do this again. I have always loved this kind of adventure. Looks like so much fun!❤ Thank you for sharing.,11개월 전,0,
@karagariglio4013,"Is it normal for a regular person to be like, ""ABSOLUTELY 💯 NO!"" just saying I would vomit the entire time or pass out. Is there a password o$ rhe mountain just in case?",11개월 전,0,
@missyp6230,Silver tongued devil,1년 전,0,
@aprilhutchinson5801,"I'm thinking about doing this next year, is it difficult getting up to the pods? I'm not experienced lol",1년 전,0,
@mikelee7876,Fuck that,1년 전,0,
@noobsperspective7946,Best view on a toilet is being on the very top of a mountain at NTC while watching Abram’s an other tanks fire a your there looking off into the beautiful distance shitting. 😂 fantastic view though I’ll have to go there and stay up there for a night.,1년 전(수정됨),0,
@KaraandNate,That is so special 🥹💛🫶🏼,2개월 전,0,
@puppysyt3434,Yes. I heard in another video and online research they have staff to clean and stuff as for the pay they get I have no idea,8개월 전,0,
@puppysyt3434,Also they have to bring everything up is backpacks even building it they had to bring it up using backpacks,8개월 전,0,
@BrooklynCortezNYCsportsfan,DUUUUUUUDE WHAAAAAAAAT?!?!?! NO! WAY! 😮❤,1년 전,0,
@ACCreates15,I liked how Kara and Nate would awkwardly smile at the camera lol,1년 전,0,
@louise7552,"This is the best Extreme accommodation on any of their travels, imo. Insanely brilliant 👏 👌 😮",1년 전,0,
@QueenOfPetty21,Not only would I not do this but in the dark:  I guess maybe it would easier not seeing. I’m afraid of heights. I’m the worst.,1년 전,1,
@QueenOfPetty21,Not only would I not do this but in the dark:  I guess maybe it would easier not seeing. I’m afraid of heights. I’m the worst.,1년 전,0,
@WanderlustButterfly,Omg can you imagine climbing up there at night?,1년 전,0,
@lesterine77,You guys are insane.,1년 전,0,
@jeffcarrol9748,Why? Why? Why?  ☹️😱😮,1년 전,0,
@im-Sara-Jayne.,I love that! But I couldn't physically get up there! Oh and by the way the your love for each other is sickening! 🤢🤮 Only kidding ❤😊❤ Hope you guys have many happy years to come ! I'd love to know how much that cost tho !,1년 전,0,
@redgarcia1427,Such wonderful parents!!✌🐢,1년 전,0,
@patricknew9547,"Dummie thinks someone carried the food up. They pulled it up on a rope, probably with hydraulics.",1년 전,0,
@auntietiff2557,You guys are way more awesome than me. There is no way in heck I would do that,1년 전,0,
@LightandLov,My boyfriend knows me as his Spidermonkey and may I just say that is a spidermonkey paradise right there! ❤,1년 전,0,
@MrFallenNL,0:01 start (intro),1년 전,0,
@user-qp6vg9ho8u,That looks about as safe as my future job prospects,1년 전,0,
@MaTurtle45,I watched this episode when it just came out and here we are…. 6 years later!!! Times really fun when you’re having flies huh?,1년 전,0,
@PM-hp2io,08:25,1년 전,0,
@DanielleWarr,I don’t understand why they’d schedule it so you’d be climbing in the dark.,1년 전,0,
@rufulhilliard1963,Two questions guys one when y'all in these parts did y'all become a part of the mile high club too when are y'all going to do some more adventures with your parents,1년 전,0,
@sahm32323,No 😅 it probably costs more than my salary,1년 전,0,
@canigetahoooyyyaaaaa7319,Nate is insanely hot 😭 I want a boyfriend like him so fucking badly. It suck’s being a gay guy trying to find another sane gay guy. :( I’m sick of the woke freaks. I just want another guy that is an actual man and cute like Nate. :( it’s extremely hard to find.,1년 전,1,
@suratibrahim6417,😳🙌🙌🙌🏹✍️✨,1년 전,0,
@suratibrahim6417,😳🙌🙌🙌🏹✍️✨,1년 전,0,
@kathjacquier6635,Bugger that for a joke. What would happen if a earth tremor should happen. Not for me!,1년 전,0,
@Tonesetter-p9j,You guys are amazing ❤❤,1년 전,0,
@Mrfrontrow,"I am a long time subscriber and viewer. Just showed this video to a friend who is going too Peru next year and after she watched this she is booking a pod for a night when she goes. She says thank you guys. All the best to you from San Diego, CA.",1년 전,4,
@MeanderThisWay,I saw a more recent video where Kinging-it stayed here and it looks like the hotel has changed A LOT!!!,1년 전,0,
@kevindalton1502,Someone would throw me out because I snore real loud! JMO,1년 전,0,
@kevindalton1502,If I were 30 years  younger it would be a lot easier! JMO,1년 전,0,
@vintageroseua9670,"I have a fear of heights, but I am working on facing my. Fears. This would be a great way to Ardmore myself for concurring it",1년 전,0,
@mayagame,nightmare! wouldnt do that if they paid me a milion..,1년 전,0,
@Y0174-c6t,Hello could you tell me what kind of camera you used to filim this video?,1년 전,0,
@zoeyjohnson8724,If I had a dollar for every time Kara has said “definitely the best view I’ve ever had on a toilet” 😂 I would be on these adventures with them,1년 전,2,
@janimal119,Incredible,2년 전,0,
@jimmbling,"Amazing adventure. Glad you guys got a chance to do it and do it safely. Enjoyed y’all’s video, as usual❤❤❤❤❤❤",2년 전,1,
@merrillcrossing5676,What about your luggage,2년 전,0,
@Catflowerpower,🚫🚫🚫,2년 전,0,
@user-ssi,My toxicity telling me this is easy 💀,2년 전,0,
@gregpatrick617,I'd love to try this someday. Hopefully I wouldn't have a panic attack on the way up. Lol,2년 전,0,
@tishataray,"Hi guys , how do you get your luggage up to the pod?",2년 전,0,
@familyties9672,JAJAJAJAJAJAJAJAJAJAJAJ AAAAAA,1년 전,0,
@hopeard3512,Hell no… I would never 😂,2년 전,0,
@jamescanales3582,Incredible!!! Comming down looks interesting too.,2년 전,0,
@letsgetdowntobusiness-,I wonder if that zip line will hold my fatass.,2년 전,1,
